objectid,plantingspaceglobalid,inspectiondate,:@computed_region_efsh_h5xi,:@computed_region_yeji_bk3q,treepointdbh,:@computed_region_sbqj_enih,swclearancerating,swlocationrating,inspectiontype,createddate
95241,97F5DFDA-B1CA-4A5D-9DC8-9E3EDB83700D,2015-03-25T04:00:00.000,13093,4,8,16,,,General - Planting Space,2015-03-26T04:00:00.000
91674,8FE0F049-37A6-496B-835A-5C785F1B12B6,2015-03-19T04:00:00.000,10934,5,15,23,6.0,8.0,Sidewalk Rating,2015-03-24T04:00:00.000
87681,AB084964-EF01-41B9-9525-730BF35E8C2A,2015-03-20T04:00:00.000,16866,2,28,40,,,Level 1,2015-03-20T04:00:00.000
74437,E7C101AF-A22E-40E5-A8D2-BE9163E434CB,2015-03-11T04:00:00.000,24340,3,6,65,,,Level 1,2015-03-11T04:00:00.000
96043,4B4E244E-DAE5-4199-B703-0BDA3EBA4601,2015-03-24T04:00:00.000,10693,1,16,76,,,Level 1,2015-03-27T04:00:00.000
92439,ACF6359C-30E5-4585-8CA6-AC7E3799AD8E,2015-03-24T04:00:00.000,10700,1,20,75,,,Level 1,2015-03-25T04:00:00.000
83252,5B185C97-098A-491E-B8AB-22C461FA1040,2015-03-18T04:00:00.000,14783,3,25,73,,,Level 1,2015-03-18T04:00:00.000
92444,3D12D14F-5444-4282-A0F8-5C86AF9695F2,2015-03-02T05:00:00.000,10693,1,34,76,,,Level 1,2015-03-25T04:00:00.000
91677,74D0B306-7BAD-4AB8-AA0A-705D464284EF,2015-03-20T04:00:00.000,11274,5,6,28,,,Level 1,2015-03-24T04:00:00.000
80063,560FED46-BD30-4D1F-93EC-0432087DD409,2015-03-16T04:00:00.000,10369,1,50,74,,,Level 1,2015-03-16T04:00:00.000
94073,8FF05272-4749-45C9-813C-6123F7150603,2015-03-23T04:00:00.000,15314,3,21,64,20.0,10.0,Sidewalk Rating,2015-03-26T04:00:00.000
80081,06041913-1AAA-4D9E-B497-61DE753B7E52,2015-03-16T04:00:00.000,10934,5,15,23,20.0,8.0,Level 1,2015-03-16T04:00:00.000
79264,D79A2C04-1227-4FC5-B1E3-652C14D9E417,2015-03-16T04:00:00.000,10369,1,20,74,,,Level 1,2015-03-16T04:00:00.000
83255,FEF8E378-0AF5-44C5-AA2F-77764D051B46,2015-03-12T04:00:00.000,13509,2,18,44,,,Level 1,2015-03-18T04:00:00.000
71638,757328E2-3378-4C45-971F-886BF556E8CD,2018-03-26T09:49:21.000,15313,3,3,71,,,Level 1,2015-03-10T04:00:00.000
94478,B5001ED0-6985-46C0-B54F-2279B06B8446,2015-03-26T04:00:00.000,10700,1,31,75,20.0,8.0,Sidewalk Rating,2015-03-26T04:00:00.000
79650,7C544FE5-1337-45A4-BBB1-7451855D0041,2015-03-12T04:00:00.000,24016,3,12,64,,,Level 1,2015-03-16T04:00:00.000
86449,149550DE-7691-4468-A04B-2346C0B5B1B3,2015-03-19T04:00:00.000,14506,3,38,69,,,Level 1,2015-03-20T04:00:00.000
94473,4299DB71-CD32-49E3-BC23-5F819B2546B5,2015-03-24T04:00:00.000,10693,1,22,76,,,Level 1,2015-03-26T04:00:00.000
84842,6BED1D32-A49B-4987-9C3B-CEEAD4F253D0,2015-04-15T04:00:00.000,11605,5,26,32,,,Level 1,2015-04-15T04:00:00.000
95647,7EC84DB6-C252-4DC9-BB58-312F4A1C07A6,2015-03-24T04:00:00.000,17613,2,13,56,,,Level 1,2015-03-27T04:00:00.000
95646,F21B933A-DCE8-44BD-9DBB-090EBF3BB31A,2015-03-06T05:00:00.000,10693,1,30,76,,,Level 1,2015-03-27T04:00:00.000
84039,00E41EC1-D3BF-4E29-AA21-9C7A4BBB63B1,2015-03-18T04:00:00.000,14505,3,17,69,,,Level 1,2015-03-18T04:00:00.000
95652,A4AED130-38B8-4FB1-9CA5-4D548FB7BC01,2015-03-06T05:00:00.000,13098,4,3,22,,,Level 1,2015-03-06T05:00:00.000
70838,9EE1F9F9-E996-4447-8BBD-82437B7D1393,2015-03-09T04:00:00.000,12423,4,10,18,,,Level 1,2015-03-09T04:00:00.000
78040,1BCB4471-7A0A-451C-A09F-DDAA242F9243,2015-03-12T04:00:00.000,12424,4,14,17,,,Level 1,2015-03-15T04:00:00.000
96044,FD30633B-6743-414C-945D-365E1B007C4A,2015-03-26T04:00:00.000,10695,1,12,76,,,Level 1,2015-03-27T04:00:00.000
89238,6AD76745-F0D1-4FD2-BA01-9DB13D548347,2015-03-20T04:00:00.000,11274,5,8,28,,,Level 1,2015-03-23T04:00:00.000
82058,D2045E66-7662-4432-A750-9E268F76B4C2,2015-03-16T04:00:00.000,14191,3,28,67,,,Level 1,2015-03-17T04:00:00.000
94850,A5EE3959-7D10-41B6-BA4C-4166AE13AC06,2015-03-25T04:00:00.000,18180,2,3,45,,,Level 1,2015-03-26T04:00:00.000
90876,4062F6A9-7EF0-47A4-8549-FB30C7839AC9,2015-03-20T04:00:00.000,10693,1,20,76,,,Level 1,2015-03-24T04:00:00.000
94461,80D531EC-015A-418C-8D4C-B3B7D92AD13E,2015-03-25T04:00:00.000,17621,2,12,39,,,Level 1,2015-03-26T04:00:00.000
94868,8FF05272-4749-45C9-813C-6123F7150603,2015-03-23T04:00:00.000,15314,3,25,64,,,Level 1,2015-03-26T04:00:00.000
76449,8C1FCAAC-6EBC-4889-9D5B-D02EAC65D141,2015-03-13T04:00:00.000,11273,5,24,28,9.0,5.0,Level 1,2015-03-13T04:00:00.000
81245,4A2A805F-63BD-44CA-BAAE-2759B37A6F3F,2015-03-16T04:00:00.000,14507,3,22,65,,,Level 1,2015-03-17T04:00:00.000
90441,395FFD69-5404-4AA8-9A94-9A01A582DE9E,2015-03-09T04:00:00.000,10693,1,40,76,,,Level 1,2015-03-23T04:00:00.000
70041,5FA53832-1420-44E7-B6C2-AC7601E2729C,2015-03-09T04:00:00.000,24670,3,19,65,,,Level 1,2015-03-09T04:00:00.000
70038,C32CA533-648D-49D5-B437-AD1A5876E9DF,2015-03-09T04:00:00.000,10700,1,16,75,,,Level 1,2015-03-09T04:00:00.000
95639,00DA634B-7037-4C79-A429-0E786B1D6C8D,2015-03-26T04:00:00.000,10699,1,20,77,,,Level 1,2015-03-26T04:00:00.000
80457,F47E38DA-DB57-4F47-9025-456F2336447F,2015-03-16T04:00:00.000,15310,3,17,62,,,Level 1,2015-03-16T04:00:00.000
66838,21431016-EDB8-4A0B-B122-673125800C87,2015-03-03T05:00:00.000,11275,5,24,30,,,Level 1,2015-03-03T05:00:00.000
93252,4BD001A4-0CDD-4A6B-BE52-A160497484BF,2015-03-02T05:00:00.000,10693,1,20,76,,,Level 1,2015-03-25T04:00:00.000
94880,DD08706E-EE0B-4C97-BE69-F7D0C5B893BB,2015-03-05T05:00:00.000,10693,1,15,76,,,Level 1,2015-03-26T04:00:00.000
87254,A1427F22-91FB-40F2-81E0-8376461D431D,2015-03-18T04:00:00.000,11275,5,0,30,,,Level 1,2015-03-20T04:00:00.000
90870,B099B4D0-4A3E-49B5-8684-0BE7BAD84C49,2015-03-20T04:00:00.000,15313,3,26,63,,,Level 1,2015-03-24T04:00:00.000
96042,B1CFB65C-C56C-43FB-A357-5CDC59B1E6EE,2015-03-05T05:00:00.000,10693,1,18,76,,,Level 1,2015-03-27T04:00:00.000
67241,E4E63A70-FD87-4D95-8A1C-B135CD7CFBBF,2015-03-03T05:00:00.000,12083,4,12,11,,,Level 1,2015-03-04T05:00:00.000
94079,0350728F-19A7-411E-97E1-5F332898A305,2015-03-26T04:00:00.000,24340,3,14,65,,,Level 1,2015-03-26T04:00:00.000
94877,BDC79AC4-0F95-43F8-AD30-B0FAE3F625E5,2015-03-24T04:00:00.000,10693,1,28,76,,,Level 1,2015-03-26T04:00:00.000
77639,8B5A8AEC-48DC-4F9F-A303-E8FF23CEA779,2015-03-13T04:00:00.000,10691,1,20,74,,,Level 1,2015-03-13T04:00:00.000
92454,809DA95F-69D9-4809-A34A-AEE57D66C79A,2015-03-12T04:00:00.000,13827,2,25,40,,,Level 1,2015-03-25T04:00:00.000
94480,4DE02A64-F5DC-42E4-8148-E385307CFCFE,2015-03-26T04:00:00.000,24013,3,12,64,20.0,20.0,Sidewalk Rating,2015-03-26T04:00:00.000
83247,BBB2EB70-F1DD-4DCE-B202-16F6F1E184A2,2015-03-11T04:00:00.000,14784,3,0,68,,,Level 1,2015-03-18T04:00:00.000
70441,A783840B-36A9-475B-BEE1-E8B2248F6333,2015-03-09T04:00:00.000,10099,4,11,11,,,Level 1,2015-03-09T04:00:00.000
94479,52139F5F-A059-4CB4-A486-175C05625670,2015-03-23T04:00:00.000,17215,2,10,47,,,Level 1,2015-03-26T04:00:00.000
93650,82F87113-A2ED-44D4-8760-1E6437039CEF,2015-03-23T04:00:00.000,13509,2,9,44,,,Level 1,2015-03-25T04:00:00.000
94477,EAAF7E4F-6125-406F-BD5E-1FEEA2BFC6B5,2015-03-05T05:00:00.000,10693,1,20,76,,,Level 1,2015-03-26T04:00:00.000
73241,D309D545-9A62-4C7C-8FAB-8C7FD0619C68,2015-03-10T04:00:00.000,13516,2,10,52,,,Level 1,2015-03-11T04:00:00.000
91666,138C6510-2DEF-4165-97C8-4DA157603180,2015-03-24T04:00:00.000,13832,3,15,67,,,Level 1,2015-03-24T04:00:00.000
67238,96FB6C55-612F-466D-9449-85A3CD2178E1,2015-03-03T05:00:00.000,10696,1,10,77,,,Level 1,2015-03-04T05:00:00.000
94476,FE07C6EB-94FD-47CA-A01A-F1CEB05FE8E3,2015-03-05T05:00:00.000,10693,1,20,76,,,Level 1,2015-03-26T04:00:00.000
91265,563D1B50-43A3-44E3-B581-0964B6646DFC,2015-03-18T04:00:00.000,16866,2,31,40,,,Level 1,2015-03-24T04:00:00.000
93639,2B19D148-AF75-4D9B-B39E-BDE9490FE2FD,2015-03-24T04:00:00.000,10695,1,12,76,,,Level 1,2015-03-25T04:00:00.000
95251,EAAF7E4F-6125-406F-BD5E-1FEEA2BFC6B5,2015-03-05T05:00:00.000,10693,1,14,76,,,Level 1,2015-03-26T04:00:00.000
95642,BF668F78-5CEE-46C4-A865-A010CAC8550E,2015-03-06T05:00:00.000,10693,1,40,76,,,Level 1,2015-03-27T04:00:00.000
95649,3905D063-4E10-43EF-BCC6-A6F31DEF03BE,2015-03-26T04:00:00.000,17214,2,12,46,,,Level 1,2015-03-27T04:00:00.000
87238,FE0A82E8-5ACA-4BEA-81FE-35DCF5F14C91,2015-03-10T04:00:00.000,10692,1,14,74,,,Level 1,2015-03-20T04:00:00.000
67239,9EE1F9F9-E996-4447-8BBD-82437B7D1393,2015-03-03T05:00:00.000,12423,4,10,18,,,Level 1,2015-03-03T05:00:00.000
87652,E194EE23-6E82-4C32-B0E2-36C62EFA384D,2015-03-17T04:00:00.000,11611,5,20,26,,,Level 1,2015-03-17T04:00:00.000
95637,E5FA3091-8740-4EA8-8E5F-968CCFF7BA59,2015-03-26T10:46:35.000,12420,4,5,12,,,Level 2,2015-03-26T10:46:32.000
79655,D2782DF4-3D74-465C-A8A3-F7DC16F689D8,2015-03-11T04:00:00.000,13511,2,20,37,,,Level 1,2015-03-16T04:00:00.000
