geometry,swdamagedflagstonesrating,location,swtreeconditionrating,servicerequestglobalid
POINT (1064750.2470835596 209135.76875019073),,"{'type': 'Point', 'coordinates': [-73.7095034143039, 40.74033958348319]}",,7ABA6483-019C-4450-86D8-755376CAE09F
POINT (1001057.2537502348 178136.53708352149),,"{'type': 'Point', 'coordinates': [-73.93942577877512, 40.65560434478841]}",,6E5984C9-9E39-41DC-9939-0459CB309DC7
POINT (1058224.5489585698 202529.44479185343),,"{'type': 'Point', 'coordinates': [-73.73312480220066, 40.72226391932646]}",,
POINT (954808.23562522233 147954.52208352089),,"{'type': 'Point', 'coordinates': [-74.10597802050627, 40.5727280201626]}",,
POINT (950004.55645856261 158481.96375018358),,"{'type': 'Point', 'coordinates': [-74.12332258137972, 40.60160646792269]}",,
POINT (996506.40750022233 219274.79208351672),,"{'type': 'Point', 'coordinates': [-73.95575237109139, 40.76852650020388]}",,
POINT (999155.08354189992 202249.94645851851),,"{'type': 'Point', 'coordinates': [-73.94622795010372, 40.721793503487234]}",,
POINT (1016214.8847918957 207682.52895851433),,"{'type': 'Point', 'coordinates': [-73.88465671816513, 40.73665940890174]}",,359AE0ED-A729-4BF8-BAE4-439B8882826A
POINT (986621.69645856321 216642.62041684985),,"{'type': 'Point', 'coordinates': [-73.9914387172198, 40.76131004712333]}",,CAC2E95B-5694-4E37-9410-F38132B40A2C
POINT (940442.16812522709 168952.80375018716),15.0,"{'type': 'Point', 'coordinates': [-74.15782593612582, 40.63030459900987]}",10.0,99E425A9-3B59-4D8D-BCF9-96EA32FE3237
POINT (1043384.0400002301 246196.2420835197),9.0,"{'type': 'Point', 'coordinates': [-73.78627975523723, 40.842228958804085]}",13.0,
POINT (1012334.3918752223 195152.88375018537),,"{'type': 'Point', 'coordinates': [-73.89871149913677, 40.70228174544358]}",,850462B9-084A-4806-9AE5-F60C32BF3E48
POINT (1014923.2447918952 220337.636250183),,"{'type': 'Point', 'coordinates': [-73.88925978526217, 40.77139901065768]}",,
POINT (951244.41479189694 143482.22458352149),,"{'type': 'Point', 'coordinates': [-74.11878443808276, 40.56043989209632]}",,
POINT (1009818.8120835572 237745.01604184508),3.0,"{'type': 'Point', 'coordinates': [-73.90762212731792, 40.819193760596846]}",15.0,
POINT (1045593.2037502229 212487.20479184389),,"{'type': 'Point', 'coordinates': [-73.7786034211466, 40.74969203255695]}",,5AB169B4-ADD2-4D8E-AFA6-AB526C338322
POINT (944989.64729189873 142937.42229184508),,"{'type': 'Point', 'coordinates': [-74.14129164316535, 40.55891903022026]}",,
POINT (989152.69750022888 158368.18770851195),15.0,"{'type': 'Point', 'coordinates': [-73.98234477897763, 40.6013589857363]}",12.0,
POINT (1001479.8647918999 233876.81708352268),,"{'type': 'Point', 'coordinates': [-73.93775992890788, 40.808596838289574]}",,02835BC1-8335-4740-9E31-C3C7A69C8261
POINT (999661.79687522352 175087.37666684389),,"{'type': 'Point', 'coordinates': [-73.94446204430143, 40.647237603159404]}",,25045C8C-B62E-4FB2-B39B-C500DA9C51F7
POINT (997346.67645856738 235576.29229184985),,"{'type': 'Point', 'coordinates': [-73.95268707718013, 40.81326851855009]}",,
POINT (949503.23708356917 163159.21895851195),15.0,"{'type': 'Point', 'coordinates': [-74.12515196394493, 40.61444261100544]}",10.0,
POINT (996863.74437522888 223738.68895851076),,"{'type': 'Point', 'coordinates': [-73.9544539477792, 40.78077822199004]}",,
POINT (1040245.092916891 223528.5293751806),15.0,"{'type': 'Point', 'coordinates': [-73.79781348363412, 40.780033019296035]}",14.0,8C5AEE46-4BF5-46C5-8312-1940E8744E47
