globalid,swdamagerating,inspectionstatus
9B4AE333-88A1-45F3-93ED-509F1C47A1CC,,Closed
3AAA6FE0-5431-45F4-BD55-DFAFDDD1C46A,,Closed
1BD2B23D-5D0A-4421-AE46-E609356821AF,,Closed
B1BEF98B-DBDC-4E11-BD47-FD0E15BB7327,,Closed
82DE1637-97B0-4338-B5DD-F2240B9B2B3B,18.0,Closed
4BE8622D-0F1D-4B87-9F58-33DFE40FB165,,Closed
E9D58C21-F12C-4E0E-97FF-B8DCFF460D3B,,Closed
1192611F-3F9F-4896-A5CB-311320526EBB,,Closed
F1854F34-357B-4143-AA7B-E2439B4239B3,,Closed
14C31ED0-87A8-4B0B-AE15-121ECB2235C2,,Closed
30F1DF9B-A7E8-4884-AF2D-26B1496CFF27,18.0,Closed
52FC8B1B-B27B-4290-AFA9-52573B15E752,,Closed
9A818FB3-6385-49CA-B1AB-9E400AE5E741,,Closed
FAD57301-0A1A-444B-B537-05D9E78E86AC,,Closed
9E7A9653-EF9F-4C08-AC6F-4FB571E019DD,15.0,Closed
8DD67E57-BA4E-400E-B409-6BB04E605B0C,,Closed
35E2407C-489A-4CD6-9C40-A4B1928821DB,,Closed
4C503B95-E95F-4120-AB93-546B5408FF34,,Closed
5AB72698-D7EB-431B-9BE0-AC186C96562B,,Closed
28658D2A-616F-4743-A03E-7CAA511FDE8A,,Closed
BF33EAB5-AD1B-4CAE-9100-A492F6E53D7F,,Closed
A0613241-E32D-4D57-A596-961353128499,,Closed
89CCDD9D-F153-49AE-A3E7-570F4E87CA0C,,Closed
F3A75C37-98F8-4434-8F00-971E222D6023,,Closed
E789C926-3903-4247-8B2E-5D4CB5624AB9,,Closed
D78B8AA8-DF85-47D5-A040-5AE376800801,,Closed
24072B3B-8638-4170-8788-D7748EC4245B,,Closed
9E901028-3AA7-4DE0-838B-939038F6DE8B,24.0,Closed
06FBE602-6FBA-4404-AD93-6C07CC4D91C9,,Closed
A671022B-5379-4B86-BA47-03FEB5236F65,,Closed
D9C28582-983D-4B6C-BF78-010031972E07,,Closed
BCD421D0-88B9-4AC5-AD0A-25EC26C45590,,Closed
30FC9605-567A-49C7-9D75-1F11E5C6B594,12.0,Closed
B7820481-8A39-44DD-9CEB-B34F0F698C3B,,Closed
52DE0C9D-6EEE-4662-8136-E66333998C51,,Closed
0D00C70A-3337-4FED-8133-FB5608B824BE,,Closed
90267F84-75BE-4B25-9C06-19C01912271C,,Closed
1865A87F-9DDD-42DD-9D6F-81477FF3ED9B,21.0,Closed
791E899B-90B6-46F8-8C32-2C0BB6416C11,,Closed
6FF08F9E-4F36-4092-A84C-4F8539A0A4CD,,Closed
AA4E80E8-F885-4B35-8C4E-664006DBAC8F,,Closed
A42B31FD-1DEA-4D53-8725-BDD5AFF398A4,,Closed
A4AC93CD-3032-4740-BDC9-914CC9EE12AA,,Closed
91BC10F3-B866-4D94-8C80-8D4929B472C2,,Closed
7D294119-518E-449A-B8CF-2D4DB04CDB1A,,Closed
2BBE4CB7-116F-4C9C-9A67-7FD1F2E3E2FE,,Closed
FC67A2E3-DE63-4EB7-B373-4435F2AAC0A6,,Closed
9F5911DE-01E6-443B-BF4F-6DE8C0795751,,Closed
BC4C814A-9C06-44F6-8B8C-47CC39FF32A8,,Closed
E8248599-46B2-413B-BBC1-18BF91F7E084,,Closed
D4FF6653-D15C-4270-AD82-EDBE811231B9,,Closed
06DA549C-E7A8-4EF9-ACA1-E61794C2E8B2,,Closed
6067F872-ECEC-46A7-81C2-28AD1CDC0C6D,,Closed
9D3FF8D9-0DE0-4898-8531-01604219AECB,,Closed
B5F0FF6A-7CF1-4EB4-82F7-56AAF84F801F,,Closed
BF803FC5-E7EE-461E-AAE0-E263A1C653A0,,Closed
57C572DC-DB08-4EFB-940E-CAA0D602C44E,,Closed
94145AD1-3FBF-4852-852F-42426C1B8E71,,Closed
185C8557-C687-412B-BBAA-FD43DDF01D05,,Closed
B662910C-A613-4340-AC1A-228E1520C56C,,Closed
6B43717C-3BD1-48E5-8D4F-4BF48E29CBD0,12.0,Closed
19D58C7A-4100-47F0-952D-919B97580F20,,Closed
E96C2455-0B2A-48A7-8CD8-FD7CC27E2CA6,24.0,Closed
