objectid,globalid,updateddate,:@computed_region_f5dn_yrer,swratingtotal,inspectiontpcondition,treepointglobalid
84838,9B4AE333-88A1-45F3-93ED-509F1C47A1CC,2015-03-19T04:00:00.000,2,,Good,255BBB4F-BA87-4ACC-9C93-50A966239A44
89670,3AAA6FE0-5431-45F4-BD55-DFAFDDD1C46A,2016-10-18T13:44:34.000,16,,Good,
91260,1BD2B23D-5D0A-4421-AE46-E609356821AF,2016-10-28T13:28:34.000,7,,Good,D8ABD9AE-C163-4037-A5C6-92CF6130B8E5
90883,B1BEF98B-DBDC-4E11-BD47-FD0E15BB7327,2015-03-30T16:41:14.000,26,,Good,
90037,82DE1637-97B0-4338-B5DD-F2240B9B2B3B,2019-01-15T19:30:09.000,30,71.0,Fair,5CAA0822-BEBC-4EE4-89D7-A9E65C1F9814
94868,4BE8622D-0F1D-4B87-9F58-33DFE40FB165,2018-02-02T13:16:02.000,62,,Fair,2506BE29-576C-40AC-803C-C458F300CDF5
71240,E9D58C21-F12C-4E0E-97FF-B8DCFF460D3B,2018-02-01T17:23:12.000,26,,Fair,4D5590A2-D335-41DB-9FBA-06636D8B3E70
94857,1192611F-3F9F-4896-A5CB-311320526EBB,2015-03-31T15:42:46.000,61,,Poor,
70837,F1854F34-357B-4143-AA7B-E2439B4239B3,2015-03-09T04:00:00.000,63,,Good,
81662,14C31ED0-87A8-4B0B-AE15-121ECB2235C2,2016-10-17T14:05:53.000,65,,Good,7598747D-A607-48AC-B046-21A1F80BAF7A
94872,30F1DF9B-A7E8-4884-AF2D-26B1496CFF27,2019-02-04T14:24:01.000,39,74.0,Good,250EA4AC-602D-4500-9C92-1001D846468D
95637,52FC8B1B-B27B-4290-AFA9-52573B15E752,2015-03-26T10:46:35.000,20,,Good,1D3FB160-41B2-4A79-BA49-A0FEA19CE45A
80063,9A818FB3-6385-49CA-B1AB-9E400AE5E741,2016-10-17T16:19:28.000,4,,Good,2B7A0731-FBB7-4F6D-88A1-03B5F97CAB31
95650,FAD57301-0A1A-444B-B537-05D9E78E86AC,2016-10-18T13:07:19.000,23,,Good,A1F59967-5B76-40B1-B534-DD22F75EF51F
95645,9E7A9653-EF9F-4C08-AC6F-4FB571E019DD,2019-04-09T16:44:09.000,1,74.0,Good,5A2A78AF-9856-4AAA-A71F-22952475B339
78439,8DD67E57-BA4E-400E-B409-6BB04E605B0C,2018-08-23T15:44:25.000,37,,Critical,8EC89C42-74FC-408B-A683-39C1EB23244E
94475,35E2407C-489A-4CD6-9C40-A4B1928821DB,2016-10-12T19:18:58.000,15,,Good,1A0A12D0-51C9-4611-9BD8-735A96594A25
94075,4C503B95-E95F-4120-AB93-546B5408FF34,2015-03-26T17:29:21.000,15,,Good,D8453019-28AE-4B19-AD4B-03D275FB90D0
93639,5AB72698-D7EB-431B-9BE0-AC186C96562B,2016-10-27T20:04:37.000,15,,Poor,
96044,28658D2A-616F-4743-A03E-7CAA511FDE8A,2016-10-27T16:47:49.000,15,,Unknown,4B6562F5-B815-4D5E-B7DD-4B4FAFE13272
89640,BF33EAB5-AD1B-4CAE-9100-A492F6E53D7F,2015-03-30T04:00:00.000,48,,Dead,
67241,A0613241-E32D-4D57-A596-961353128499,2017-11-09T18:41:14.000,23,,Poor,D556E89C-D639-45AF-998B-F6819D020B18
87667,89CCDD9D-F153-49AE-A3E7-570F4E87CA0C,2015-03-20T04:00:00.000,29,,Fair,1A0001B8-E31A-47B2-B067-C61E86A1ADE7
93242,F3A75C37-98F8-4434-8F00-971E222D6023,2015-05-01T11:54:22.000,40,,Fair,F8181043-D85A-460D-B2F7-925D9DC1B980
82845,E789C926-3903-4247-8B2E-5D4CB5624AB9,2015-03-23T04:00:00.000,41,,Unknown,
94477,D78B8AA8-DF85-47D5-A040-5AE376800801,2016-10-12T20:31:49.000,15,,Good,934E0395-2850-40ED-A782-7C29204262B1
84439,24072B3B-8638-4170-8788-D7748EC4245B,2016-10-12T12:51:15.000,58,,Good,EA42612C-5F08-493E-8A52-B39116913ED4
79276,9E901028-3AA7-4DE0-838B-939038F6DE8B,2016-10-24T13:13:11.000,54,68.0,Fair,0390401D-335E-4388-8E20-FEE5448E66E7
72041,06FBE602-6FBA-4404-AD93-6C07CC4D91C9,2018-03-06T21:47:49.000,69,,Fair,5AE610CF-7ABB-416D-8852-58EF62A35DB3
96039,A671022B-5379-4B86-BA47-03FEB5236F65,2015-03-27T11:10:05.000,15,,Good,69C9AFFB-8CF6-42B3-8C6D-40A0B4C1ABA0
94076,D9C28582-983D-4B6C-BF78-010031972E07,2016-10-12T19:18:32.000,15,,Good,B4D629E5-1AB6-474B-8475-61A8139E0045
93650,BCD421D0-88B9-4AC5-AD0A-25EC26C45590,2019-05-28T17:19:54.000,17,,Fair,DB9F3CC1-B1E6-4CCD-87C1-ADD7D2D13CD8
91663,30FC9605-567A-49C7-9D75-1F11E5C6B594,2016-10-21T15:40:52.000,50,61.0,Excellent,
