plantingspaceglobalid,geometry,inspectiontpstructure,:@computed_region_92fq_4b7q,closeddate
8E21611C-CC8C-4591-BCC2-5E77D7B3A5B7,POINT (952473.08958356082 142992.81437517703),Full,14,2015-03-27T04:00:00.000
E9D2728E-E15E-4B65-82D4-DBB46C5EB766,POINT (1012208.7666668892 215366.94666685164),Full,5,2015-03-24T04:00:00.000
96962DF6-A40E-4A76-9E0B-FAE3B91F6CA2,POINT (949503.23708356917 163159.21895851195),Full,14,2015-03-25T04:00:00.000
0F95F1B5-CF2C-4E5C-B2EE-535C285989D2,POINT (994703.12333355844 184998.78041684628),Full,48,2015-03-23T04:00:00.000
149550DE-7691-4468-A04B-2346C0B5B1B3,POINT (1045593.2037502229 212487.20479184389),Full,3,2015-03-20T04:00:00.000
00DA634B-7037-4C79-A429-0E786B1D6C8D,POINT (937090.250833556 138730.51270851493),Full,9,
A98B4C27-930F-4EA2-9675-A36BC7C53938,POINT (1025926.6754169017 199798.43583351374),Full,28,2015-03-25T04:00:00.000
80D531EC-015A-418C-8D4C-B3B7D92AD13E,POINT (984209.84979189932 170095.89145851135),Full,18,2015-03-26T04:00:00.000
1E2D8F57-5E29-4211-8C17-F3FBF875735C,POINT (952743.8460419029 166820.28083351254),Full,13,
428EE78F-734A-46F2-82E5-916D6C6CBA33,POINT (940442.16812522709 168952.80375018716),Full,13,2015-03-26T04:00:00.000
13C16A49-75ED-46CE-A0C9-4BB66B50DD6F,POINT (959630.86687523127 170635.70750018954),Full,13,2016-01-22T15:33:00.000
ACF6359C-30E5-4585-8CA6-AC7E3799AD8E,POINT (939854.05979189277 162749.23062518239),Full,14,2015-03-25T04:00:00.000
3D12D14F-5444-4282-A0F8-5C86AF9695F2,POINT (952419.92083355784 142799.88937518),Full,14,2015-03-25T04:00:00.000
395FFD69-5404-4AA8-9A94-9A01A582DE9E,POINT (951932.4656252265 144629.53437517583),Full,14,2015-03-23T04:00:00.000
4299DB71-CD32-49E3-BC23-5F819B2546B5,POINT (951761.13625022769 142745.99708351493),Full,14,2015-03-26T04:00:00.000
F6FBE1E0-C633-46A4-807D-2EED2E3B32FA,POINT (989673.50187523663 171948.10958351195),Full,27,2015-03-09T04:00:00.000
BC333028-1F71-4268-A895-614048F24075,POINT (994155.8052085638 230365.35083352029),Full,23,
8FE0F049-37A6-496B-835A-5C785F1B12B6,POINT (1009818.8120835572 237745.01604184508),Full,43,2015-03-24T04:00:00.000
B5001ED0-6985-46C0-B54F-2279B06B8446,POINT (946197.110208556 165527.77854184806),Full,14,2015-10-16T12:43:00.000
D2045E66-7662-4432-A750-9E268F76B4C2,POINT (1025698.8239585608 225339.65166684985),Full,20,2016-05-17T15:23:00.000
1BCB4471-7A0A-451C-A09F-DDAA242F9243,POINT (997346.67645856738 235576.29229184985),Shaft,36,2015-03-15T04:00:00.000
BAA0D416-118A-4499-B2AE-21DCB54E4948,POINT (1001950.3602085561 240843.08833351731),Full,36,2015-03-16T04:00:00.000
6735F16F-E05B-4A79-862A-0F909970A81E,POINT (946232.89687523246 160231.20312517881),Full,14,2015-03-26T04:00:00.000
DF0041AC-F606-46EB-8587-BFBC2630EDC0,POINT (1021873.4708335698 197821.07437518239),Full,34,2015-03-20T04:00:00.000
D938E096-A1C2-4C8C-B016-7E6660F63DB8,POINT (937688.9560419023 157644.464375183),Shaft,14,2015-03-26T04:00:00.000
85868E0F-E094-44F1-A0C5-13360D0603BF,POINT (956345.29854188859 167146.13479185104),Full,13,2015-03-26T04:00:00.000
EA31AFC4-B24B-4B95-89D4-FC0DFF704A5B,POINT (951719.14062522352 142778.18354184926),Full,14,2015-03-26T04:00:00.000
FEF8E378-0AF5-44C5-AA2F-77764D051B46,POINT (999219.8677085638 180156.40750017762),Full,11,2015-03-18T04:00:00.000
075215D4-DF9A-4E3D-AC91-C48F12A470AA,POINT (1023406.6095835567 259574.06312517822),Full,2,2015-03-13T04:00:00.000
B6428955-A919-4A76-B93F-A0E9CE8D93D8,POINT (985787.71541689336 160043.61458352208),Full,45,2020-05-21T15:00:00.000
EC0343E5-F42F-4FA0-B866-E81E0C3B4642,POINT (1036674.2225002348 207828.25666685402),Full,24,2015-03-16T04:00:00.000
52812B7C-1414-49A3-B587-48FA86AC5DDE,POINT (991653.860208556 174978.26979185641),Full,27,2015-09-21T17:55:00.000
8C1FCAAC-6EBC-4889-9D5B-D02EAC65D141,POINT (1043384.0400002301 246196.2420835197),Full,12,2015-03-13T04:00:00.000
9EE1F9F9-E996-4447-8BBD-82437B7D1393,POINT (998124.308541894 232708.1116668433),Full,36,
52A708B1-F9B5-4CEB-AC0E-15CC7831819D,POINT (1014923.2447918952 220337.636250183),Full,4,2015-03-24T04:00:00.000
00E41EC1-D3BF-4E29-AA21-9C7A4BBB63B1,POINT (1052912.6683335602 224011.29000018537),Full,20,2015-03-18T04:00:00.000
EBC31CD2-2A5E-4BCA-B2BF-E4037BBCC16E,POINT (952018.01125022769 142541.31708352268),Full,14,2015-03-26T04:00:00.000
72271EEA-052A-4012-A0D9-311A2CCD32DE,POINT (954778.96916688979 167963.17270851135),Full,13,2015-03-26T04:00:00.000
E5FA3091-8740-4EA8-8E5F-968CCFF7BA59,POINT (989049.27708356082 219774.53791685402),Full,10,2015-03-26T10:46:35.000
B237E2E2-B6AE-4811-9BB8-081CE9A129A1,POINT (951622.828958556 142857.07229185104),Full,14,2015-03-26T04:00:00.000
CC8B7D22-0C5B-45ED-8ABE-AD1435F52697,POINT (953416.991458565 142931.39958351851),Full,14,2015-03-24T04:00:00.000
D08FFDB3-754E-48F4-838A-DBE97AA490E9,POINT (989152.69750022888 158368.18770851195),Full,45,2015-03-27T04:00:00.000
93D8F90B-F7DC-4D62-BAAB-8DCAC4D755D3,POINT (983454.469583556 169986.55645851791),Full,7,2015-03-23T04:00:00.000
39AD7D19-E999-45B7-BB99-2D9F503FD31B,POINT (1018396.9741668999 197887.37770850956),Full,34,2015-03-25T04:00:00.000
650D3B95-929D-46F9-86F1-507C3D7DB8DB,POINT (1002184.9354168922 177425.1489585191),Full,17,2015-03-26T04:00:00.000
82EC569F-A7DF-4A3A-9B83-54B67F6BF9AB,POINT (951638.02000023425 142844.26833350956),Full,14,2015-03-26T04:00:00.000
