year,immunocompetent_persons_boiled,persons_with_hiv_aids_filtered,persons_with_hiv_aids
2004,7%,21%,15%
2012,2%,8%,20%
2006,8%,18%,4%
1997,8%,10%,16%
2013,0%,8%,8%
2018,2%,8%,33%
1996,10%,9%,15%
1998,3%,18%,15%
2010,7%,12%,15%
