school_year,opt_code,eligible_stop_to_school,eligible_door_to_door_students
2024-2025,16018,0,4
2024-2025,21664,0,8
2024-2025,22713,0,1
2024-2025,31802,21,3
2024-2025,10553,0,8
2024-2025,14465,0,35
2024-2025,31760,20,0
2024-2025,18564,0,8
2024-2025,22007,0,1
2024-2025,6210,7,15
2024-2025,17495,0,3
2024-2025,9443,5,13
2024-2025,29445,0,49
2024-2025,21682,17,43
2024-2025,21066,0,2
2024-2025,10264,0,11
2024-2025,17652,7,3
2024-2025,30066,7,2
2024-2025,8465,98,28
2024-2025,21022,9,0
2024-2025,24013,28,25
2024-2025,11654,0,10
2024-2025,24083,49,0
2024-2025,27334,0,4
2024-2025,12464,2,9
2024-2025,31649,0,63
2024-2025,10654,127,29
2024-2025,2036,0,19
2024-2025,3185,1,13
2024-2025,5518,1,2
2024-2025,14050,5,30
2024-2025,9063,10,10
2024-2025,17397,7,10
2024-2025,9633,0,2
2024-2025,25022,75,1
2024-2025,7612,54,11
2024-2025,10716,186,1
2024-2025,2455,172,0
2024-2025,27739,21,1
2024-2025,2158,5,3
2024-2025,11013,92,2
2024-2025,15558,1,7
2024-2025,30050,0,77
2024-2025,19935,3,19
2024-2025,17434,0,9
2024-2025,24661,0,55
2024-2025,9569,0,18
2024-2025,5440,0,119
2024-2025,10807,33,2
2024-2025,7637,1,0
2024-2025,15958,1,33
2024-2025,21121,2,33
2024-2025,30013,0,99
2024-2025,8333,11,48
2024-2025,24434,0,44
2024-2025,11160,0,7
2024-2025,20009,0,1
2024-2025,24499,0,54
2024-2025,2837,71,0
2024-2025,27064,0,6
2024-2025,28038,85,4
2024-2025,5341,0,6
2024-2025,13439,0,24
2024-2025,2870,39,1
2024-2025,4661,9,18
2024-2025,5079,0,220
2024-2025,7534,0,3
2024-2025,24239,2,1
2024-2025,30361,0,2
2024-2025,10007,60,5
2024-2025,1064,5,8
2024-2025,6558,0,1
2024-2025,22001,0,94
2024-2025,24021,0,72
2024-2025,21461,0,13
2024-2025,10547,0,6
2024-2025,7085,37,48
2024-2025,3329,62,16
2024-2025,9505,3,15
2024-2025,8448,0,12
2024-2025,9564,0,1
2024-2025,28040,5,27
2024-2025,22657,0,110
2024-2025,15085,0,1
2024-2025,25164,74,5
2024-2025,27565,105,0
2024-2025,2964,16,0
2024-2025,5318,9,11
2024-2025,2986,0,67
2024-2025,31738,149,0
2024-2025,13528,0,73
2024-2025,6373,1,14
2024-2025,31547,0,43
2024-2025,2048,25,0
2024-2025,18956,1,4
2024-2025,19561,0,19
2024-2025,13113,1,9
2024-2025,30443,0,68
2024-2025,8018,0,6
2024-2025,2312,29,11
2024-2025,2993,0,3
2024-2025,24128,1,16
2024-2025,1063,11,25
2024-2025,17020,0,6
2024-2025,9053,24,36
2024-2025,6328,0,16
2024-2025,28072,10,23
2024-2025,27062,51,10
2024-2025,4678,0,80
2024-2025,20876,0,2
2024-2025,11665,21,1
2024-2025,28815,0,1
2024-2025,6055,0,1
2024-2025,28144,216,7
2024-2025,15889,0,11
2024-2025,13019,22,1
2024-2025,8705,0,1
2024-2025,9643,0,48
2024-2025,10027,0,46
2024-2025,32793,38,2
2024-2025,3421,4,17
2024-2025,5534,1,5
2024-2025,2483,0,12
2024-2025,24298,27,2
2024-2025,12463,0,7
2024-2025,12067,7,18
2024-2025,31023,238,11
2024-2025,9219,2,9
2024-2025,26703,13,0
2024-2025,75490,0,2
2024-2025,24385,248,8
2024-2025,27464,0,2
2024-2025,25209,152,0
2024-2025,4657,0,40
2024-2025,29725,6,0
2024-2025,8023,0,1
2024-2025,3661,1,2
2024-2025,19764,0,2
2024-2025,10460,0,86
2024-2025,29192,0,17
2024-2025,25237,11,18
2024-2025,13300,0,7
2024-2025,2076,0,56
2024-2025,1657,22,19
2024-2025,75580,0,6
2024-2025,19657,8,3
2024-2025,30778,25,0
2024-2025,8367,1,37
2024-2025,2840,28,1
2024-2025,22217,2,5
2024-2025,18233,0,34
2024-2025,26525,0,30
2024-2025,2138,0,9
2024-2025,17092,8,15
2024-2025,22480,0,8
2024-2025,2816,0,1
2024-2025,2308,0,1
2024-2025,28447,0,48
2024-2025,29006,0,58
2024-2025,31706,52,0
2024-2025,24520,0,23
2024-2025,1184,17,2
2024-2025,27081,0,7
2024-2025,13369,0,105
2024-2025,12479,0,5
2024-2025,30540,0,5
2024-2025,17730,7,0
2024-2025,18433,0,37
2024-2025,23775,23,3
2024-2025,6072,0,73
2024-2025,13655,0,12
2024-2025,31707,120,0
2024-2025,11087,50,17
2024-2025,30011,3,9
2024-2025,26390,0,2
2024-2025,3491,0,8
2024-2025,14586,0,15
2024-2025,24093,0,28
2024-2025,31065,133,25
2024-2025,17568,0,2
2024-2025,2698,0,63
2024-2025,7584,1,10
2024-2025,19618,0,19
2024-2025,16568,0,10
2024-2025,11255,69,0
2024-2025,3658,0,27
2024-2025,19466,0,91
2024-2025,11529,6,35
2024-2025,29132,1,19
2024-2025,19661,2,20
2024-2025,22206,36,12
2024-2025,32570,0,10
2024-2025,75779,0,1
2024-2025,4518,4,15
2024-2025,6319,1,9
2024-2025,4731,0,1
2024-2025,30010,1,8
2024-2025,13537,4,13
2024-2025,17828,0,1
2024-2025,13453,0,150
