district,building_id,school,borough,program_category
09,X022,I.S. 22,Bronx,Cafeteria / Multipurpose Room Upgrade
29,Q015,P.S. 15,Queens,School Safety
24,Q877,51 AVENUE ACADEMY,Queens,Floors
06,M143,I.S. 143,Manhattan,Accessibility
24,Q049,P.S. 49,Queens,Heating Plant Upgrade
03,M118,I.S. 118,Manhattan,Kitchen Areas
`,,,,
