highactualrent,buildingid,medianactualrent
2350.0,811250.0,1825.0
,956204.0,
,974694.0,
1428.0,805099.0,1381.0
1584.0,811858.0,1584.0
602.0,3583.0,313.0
456.0,988143.0,456.0
455.0,40049.0,392.0
1200.0,11915.0,1200.0
,74511.0,
1446.0,975847.0,1446.0
,979324.0,
1861.0,958049.0,1861.0
2350.0,811250.0,2350.0
681.0,805099.0,643.0
482.0,878727.0,482.0
,60067.0,
,947316.0,
425.0,958188.0,425.0
1584.0,811258.0,1584.0
0.0,41421.0,0.0
,927022.0,
491.0,41409.0,491.0
294.0,41897.0,294.0
,952254.0,
,965100.0,
,965149.0,
501.0,40049.0,501.0
1825.0,811251.0,1825.0
1758.0,810153.0,1758.0
704.0,3583.0,592.0
1584.0,66602.0,965.0
,965149.0,
321.0,41897.0,316.5
,40979.0,
1150.0,811858.0,1150.0
,958174.0,
1336.0,811859.0,1336.0
,2660.0,
,89051.0,
,954885.0,
752.0,186479.0,236.0
,965150.0,
,927022.0,
2350.0,811252.0,2350.0
,954885.0,
722.0,3583.0,658.0
1223.0,958049.0,1223.0
505.0,94237.0,505.0
2350.0,811254.0,2350.0
1825.0,811252.0,1825.0
318.0,4183.0,318.0
,633968.0,
,974694.0,
2100.0,811254.0,2100.0
,979325.0,
,39807.0,
,972807.0,
0.0,383480.0,0.0
,85563.0,
482.0,928040.0,482.0
403.0,42097.0,403.0
396.0,976480.0,396.0
,974382.0,
1825.0,811254.0,1825.0
1597.0,958176.0,1597.0
1861.0,975847.0,1861.0
,965150.0,
183.0,988143.0,183.0
1825.0,811255.0,1825.0
524.0,941090.0,524.0
,954885.0,
1263.0,25490.0,1142.0
2100.0,811250.0,2100.0
1584.0,811253.0,1584.0
994.0,25490.0,885.0
,966082.0,
,947316.0,
255.0,4189.0,255.0
,4060.0,
0.0,287193.0,0.0
1156.0,964992.0,762.0
,39807.0,
,966188.0,
1584.0,811858.0,1336.0
,40339.0,
1336.0,811253.0,1336.0
976.0,805099.0,886.0
1825.0,811258.0,1825.0
,947316.0,
,958174.0,
396.0,928040.0,396.0
,89051.0,
368.0,878727.0,368.0
,979325.0,
,40339.0,
879.0,186479.0,506.0
,979325.0,
,965100.0,
1150.0,811859.0,1150.0
,876943.0,
,974382.0,
368.0,958147.0,368.0
,965100.0,
283.0,,283.0
215.0,958188.0,215.0
1309.0,928130.0,1309.0
426.0,977499.0,426.0
,965150.0,
1269.0,66602.0,1023.0
,633968.0,
,122026.0,
482.0,958172.0,482.0
1584.0,811859.0,1584.0
321.0,42410.0,316.5
,958174.0,
547.0,4175.0,371.0
,966188.0,
396.0,878727.0,396.0
469.0,3583.0,469.0
312.0,4189.0,312.0
2100.0,811252.0,2100.0
412.0,7475.0,412.0
668.0,25490.0,630.0
,974382.0,
596.0,977499.0,596.0
2350.0,811255.0,2350.0
,958174.0,
499.0,,499.0
,965149.0,
0.0,383478.0,0.0
,974694.0,
,979324.0,
,979325.0,
644.0,94237.0,644.0
209.0,41417.0,209.0
395.0,977499.0,395.0
482.0,958147.0,482.0
781.0,94237.0,781.0
,89051.0,
,958149.0,
,927022.0,
,972807.0,
1208.0,964992.0,1208.0
1825.0,811256.0,1825.0
,40957.0,
,987083.0,
1597.0,958176.0,1597.0
,979324.0,
312.0,4189.0,312.0
515.0,42097.0,318.0
1439.0,964992.0,1439.0
2386.0,317083.0,1659.5
906.0,332727.0,906.0
,74511.0,
,74511.0,
,979325.0,
,979324.0,
444.0,7475.0,222.0
,974694.0,
1268.0,805099.0,1140.0
594.0,977499.0,521.0
1417.0,958188.0,283.0
,974382.0,
476.0,3437.0,476.0
396.0,958147.0,396.0
1520.0,25490.0,1387.0
2257.0,810153.0,2257.0
482.0,976480.0,482.0
359.0,4173.0,359.0
551.0,928040.0,551.0
475.0,691317.0,425.0
,958149.0,
,927022.0,
1584.0,811251.0,1584.0
396.0,958172.0,396.0
1825.0,811257.0,1825.0
,952254.0,
1658.0,811254.0,1658.0
1849.0,964992.0,1849.0
,965100.0,
551.0,958172.0,551.0
,952254.0,
,954885.0,
844.0,28109.0,844.0
2056.0,958176.0,2056.0
,41105.0,
0.0,42408.0,0.0
0.0,41419.0,0.0
551.0,958147.0,551.0
,956204.0,
,979324.0,
,972807.0,
1446.0,958049.0,1446.0
370.0,4175.0,370.0
,122026.0,
292.0,4183.0,289.0
512.0,958188.0,512.0
,966082.0,
,85563.0,
