projectid,medianinitiallegalrent
51260,1825.0
52999,
44431,
51617,
51260,1584.0
52733,313.0
44256,1870.0
52674,392.0
48650,1200.0
53473,
52722,
51302,
52722,
51260,2350.0
51617,
51719,524.0
53473,
44362,
44357,1123.0
51260,1584.0
52733,0.0
44409,395.0
52733,491.0
52733,294.0
49625,
44431,
44295,
52674,501.0
51260,1825.0
52735,1800.0
52733,592.0
51150,
44295,
52733,316.5
52674,
51260,1150.0
50411,
51260,1336.0
52674,
48753,
49607,
50370,
44295,
44409,551.0
51260,2350.0
49607,
52733,658.0
52722,
51249,
51260,2350.0
51260,1825.0
52733,318.0
50774,
44431,
51260,2100.0
51302,
52674,
49959,
50206,1531.0
51751,
44280,541.0
52733,403.0
46143,445.0
44339,
51260,1825.0
50655,1597.0
52722,
44295,
44256,1817.0
51260,1825.0
52733,524.0
49607,
51617,
51260,2100.0
51260,1584.0
51617,
52467,
44362,
52733,255.0
52674,
50206,1554.0
50942,784.5
52674,
52119,
51260,1336.0
52674,
51260,1336.0
51617,
51260,1825.0
44362,
50411,
44280,445.0
48753,
51719,408.0
51302,
52674,
50370,
51302,
44431,
51260,1150.0
51179,
44339,
53273,368.0
44431,
49248,1280.0
44357,867.0
44350,
51868,480.0
44295,
51150,
50774,
51751,
46143,541.0
51260,1584.0
52733,316.5
50411,
52733,371.0
52119,
51719,437.0
52733,469.0
52733,312.0
51260,2100.0
52733,412.0
51617,
44339,
51868,669.0
51260,2350.0
50411,
49248,1526.0
44295,
50206,1554.0
44431,
51302,
51302,
51249,
52733,209.0
51868,446.0
53273,482.0
51249,
48753,
52782,
44409,482.0
49959,
50942,1208.0
51260,1825.0
52674,
52783,
50655,1597.0
51302,
52733,312.0
52733,318.0
50942,1439.0
58589,1659.5
58589,1411.0
53473,
53473,
51302,
51302,
52733,222.0
44431,
51617,
51868,586.0
44357,931.0
44339,
52733,476.0
53273,396.0
51617,
52735,2312.0
46143,541.0
52733,359.0
44280,618.0
50895,
52782,
44409,368.0
51260,1584.0
46143,445.0
51260,1825.0
49625,
51260,1658.0
50942,1849.0
44431,
46143,618.0
49625,
49607,
59946,
50655,2056.0
52674,
52733,0.0
52733,0.0
53273,551.0
52999,
51302,
49959,
52722,
52733,370.0
51751,
52733,289.0
44357,1292.0
52467,
51751,
