maxallowableincome,lowactualrent
0%-30%,1825.0
0%-30%,
0%-30%,
0%-30%,1318.0
0%-30%,1584.0
0%-30%,0.0
0%-30%,456.0
0%-30%,182.0
0%-30%,1200.0
0%-30%,
0%-30%,1446.0
0%-30%,
0%-30%,1861.0
0%-30%,2350.0
0%-30%,583.0
0%-30%,482.0
0%-30%,
0%-30%,
0%-30%,425.0
0%-30%,1584.0
0%-30%,0.0
0%-30%,
0%-30%,491.0
0%-30%,294.0
0%-30%,
0%-30%,
0%-30%,
0%-30%,501.0
0%-30%,1825.0
0%-30%,1758.0
0%-30%,484.0
0%-30%,314.0
0%-30%,
0%-30%,312.0
0%-30%,
0%-30%,1150.0
0%-30%,
0%-30%,1336.0
0%-30%,
0%-30%,
0%-30%,
0%-30%,50.0
0%-30%,
0%-30%,
0%-30%,2350.0
0%-30%,
0%-30%,430.0
0%-30%,1223.0
0%-30%,505.0
0%-30%,2350.0
0%-30%,1825.0
0%-30%,318.0
0%-30%,
0%-30%,
0%-30%,2100.0
0%-30%,
0%-30%,
0%-30%,
0%-30%,0.0
0%-30%,
0%-30%,482.0
0%-30%,403.0
0%-30%,396.0
0%-30%,
0%-30%,1825.0
0%-30%,1597.0
0%-30%,1861.0
0%-30%,
0%-30%,183.0
0%-30%,1825.0
0%-30%,524.0
0%-30%,
0%-30%,992.0
0%-30%,2100.0
0%-30%,1584.0
0%-30%,810.0
0%-30%,
0%-30%,
0%-30%,249.0
0%-30%,
0%-30%,0.0
0%-30%,368.0
0%-30%,
0%-30%,
0%-30%,1336.0
0%-30%,
0%-30%,1336.0
0%-30%,811.0
0%-30%,1825.0
0%-30%,
0%-30%,
0%-30%,396.0
0%-30%,
0%-30%,368.0
0%-30%,
0%-30%,
0%-30%,124.0
0%-30%,
0%-30%,
0%-30%,1150.0
0%-30%,
0%-30%,
0%-30%,368.0
0%-30%,
0%-30%,283.0
0%-30%,215.0
0%-30%,378.0
0%-30%,426.0
0%-30%,
0%-30%,454.0
0%-30%,
0%-30%,
0%-30%,482.0
0%-30%,1584.0
0%-30%,312.0
0%-30%,
0%-30%,349.0
0%-30%,
0%-30%,396.0
0%-30%,469.0
0%-30%,286.0
0%-30%,2100.0
0%-30%,412.0
0%-30%,616.0
0%-30%,
0%-30%,594.0
0%-30%,2350.0
0%-30%,
0%-30%,499.0
0%-30%,
0%-30%,0.0
0%-30%,
0%-30%,
0%-30%,
0%-30%,644.0
0%-30%,209.0
0%-30%,395.0
0%-30%,482.0
0%-30%,781.0
0%-30%,
0%-30%,
0%-30%,
0%-30%,
0%-30%,396.0
0%-30%,1825.0
0%-30%,
0%-30%,
0%-30%,1597.0
0%-30%,
0%-30%,312.0
0%-30%,0.0
0%-30%,482.0
0%-30%,933.0
0%-30%,906.0
0%-30%,
0%-30%,
0%-30%,
0%-30%,
0%-30%,0.0
0%-30%,
0%-30%,1063.0
0%-30%,521.0
0%-30%,283.0
0%-30%,
0%-30%,476.0
0%-30%,396.0
0%-30%,1326.0
0%-30%,2257.0
0%-30%,482.0
0%-30%,359.0
0%-30%,551.0
0%-30%,280.0
0%-30%,
0%-30%,
0%-30%,1584.0
0%-30%,396.0
0%-30%,1825.0
0%-30%,
0%-30%,1658.0
0%-30%,1849.0
0%-30%,
0%-30%,551.0
0%-30%,
0%-30%,
0%-30%,844.0
0%-30%,2056.0
0%-30%,
0%-30%,0.0
0%-30%,0.0
0%-30%,551.0
0%-30%,
0%-30%,
0%-30%,
0%-30%,1446.0
0%-30%,370.0
0%-30%,
0%-30%,249.0
0%-30%,512.0
0%-30%,
0%-30%,
