total_amount_funded,contract_suffix
1179588,C
1620267,C
2241328,C
2222803,C
2416057,C
1314323,C
1035499,C
1563695,C
1703302,C
1934600,C
2222803,C
1649186,C
1842085,C
1842085,C
1026153,C
201440,B
1540059,C
1922911,C
2371882,C
1725962,C
1428910,C
1934600,C
1314323,C
1238271,C
1752057,C
1359464,C
1115330,C
2222803,C
2241328,C
1937638,C
1115330,C
2416057,C
2626552,C
1798664,C
235575,C*
1035499,C
1842085,C
1660377,C
1179588,C
1075792,C
1703302,C
814235,C
1885074,C
438695,C
1885074,C
1478284,C
1625565,C
1363775,C
1752057,C
1568684,C
814235,C
355507,C*
2871618,C
1877791,C
1540059,C
1620267,C
1634283,C
1515232,C
2871618,C
1922911,C
2688076,C
2416057,C
2371882,C
355507,C*
1649186,C
1778208,C
2688076,C
1596704,C
2241328,C
1605424,C
1737005,C
1380290,C
1934600,C
2674522,C
201440,B
2019330,C
1048966,C
1778208,C
438695,C
1649186,C
2071142,C
1350774,C
1515232,C
1350774,C
1885074,C
1979096,C
1838486,C
1979096,C
1625565,C
1596704,C
1478284,C
235575,C*
1428910,C
1380290,C
2071142,C
1453910,C
1596704,C
1634283,C
1660190,C
1048966,C
1605910,C
1608704,C
1218006,C
1660377,C
1428910,C
1563695,C
1453910,C
1778208,C
1238271,C
1540059,C
1737005,C
2626552,C
1075792,C
1937638,C
1605910,C
1359464,C
1896739,C
1218006,C
2037693,C
1634283,C
2003021,C
2003021,C
1491910,C
1838486,C
1048966,C
1324601,C
1162633,C
1478284,C
1238271,C
1026153,C
2019330,C
1324601,C
438695,C
1563695,C
1625565,C
1979096,C
355507,C*
1877791,C
1179588,C
1515232,C
1324601,C
1035499,C
235575,C*
1359464,C
1022125,C
2371882,C
1605910,C
1703302,C
1482819,C
1798664,C
1798664,C
1922911,C
1608704,C
1660377,C
1725962,C
179074,B
1022125,C
179074,B
1453910,C
1115330,C
1482819,C
1568684,C
1838486,C
1660190,C
1737005,C
1363775,C
1568684,C
1725962,C
1363775,C
1937638,C
2037693,C
1605424,C
1218006,C
2037693,C
1350774,C
1896739,C
1482819,C
1896739,C
1877791,C
1491910,C
1620267,C
1075792,C
814235,C
1162633,C
1660190,C
2626552,C
2688076,C
1380290,C
2019330,C
1752057,C
1162633,C
1022125,C
2071142,C
1026153,C
1314323,C
1608704,C
1491910,C
2871618,C
1605424,C
2003021,C
