school_name,effective_school_leadership,collaborative_teachers_score
P.S. 083 LUIS MUNOZ RIVERA,3.92,4.28
ESSEX STREET ACADEMY,4.38,4.72
P.S. 003 CHARRETTE SCHOOL,3.71,3.73
HUMANITIES PREPARATORY ACADEMY,4.3,4.77
HIGH SCHOOL M560 - CITY AS SCHOOL,4.31,4.34
BATTERY PARK CITY SCHOOL,,
"EAST SIDE ELEMENTARY SCHOOL, PS 267",3.43,4.34
P.S. 158 BAYARD TAYLOR,3.47,4.25
P.S. 034 FRANKLIN D. ROOSEVELT,2.59,2.69
P.S. 084 LILLIAN WEBER,3.81,4.5
CASCADES HIGH SCHOOL,3.21,3.65
TOMPKINS SQUARE MIDDLE SCHOOL,3.72,3.55
P.S. 116 MARY LINDLEY MURRAY,4.23,4.69
MARTA VALLE HIGH SCHOOL,2.63,2.03
THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,2.5,2.13
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,3.92,4.08
P.S. 001 ALFRED E. SMITH,3.11,3.2
P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,3.27,3.25
P.S. 134 HENRIETTA SZOLD,1.53,2.51
THE LEXINGTON ACADEMY,2.14,3.62
URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,4.0,3.21
MOTT HALL II,4.43,4.28
MURRAY HILL ACADEMY,4.41,4.41
P.S. 142 AMALIA CASTRO,3.73,3.55
ART AND DESIGN HIGH SCHOOL,3.36,3.21
UNITY CENTER FOR URBAN TECHNOLOGIES,3.93,3.69
WASHINGTON IRVING YABC,3.7,3.38
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,3.32,3.11
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",3.8,3.28
P.S. 199 JESSIE ISADOR STRAUS,,
"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",,
M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,,
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,4.17,3.88
MANHATTAN INTERNATIONAL HIGH SCHOOL,4.48,4.67
P.S. 111 ADOLPH S. OCHS,3.44,3.51
"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",3.44,4.2
J.H.S. 054 BOOKER T. WASHINGTON,3.63,3.64
HARVEY MILK HIGH SCHOOL,4.02,4.04
P.S. 096 JOSEPH LANZETTA,3.34,2.85
P.S. 015 ROBERTO CLEMENTE,4.19,4.1
P.S. 126 JACOB AUGUST RIIS,4.1,4.59
P.S. 042 BENJAMIN ALTMAN,4.52,4.07
URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,3.78,4.55
BARUCH COLLEGE CAMPUS HIGH SCHOOL,2.74,3.04
ORCHARD COLLEGIATE ACADEMY,3.48,3.75
ACADEMY FOR SOFTWARE ENGINEERING,4.38,3.82
N.Y.C. MUSEUM SCHOOL,2.98,3.11
PACE HIGH SCHOOL,3.35,3.71
LOWER EAST SIDE PREPARATORY HIGH SCHOOL,4.24,4.37
MANHATTAN BUSINESS ACADEMY,3.62,4.29
JAMES WELDON JOHNSON,2.7,2.39
RICHARD R. GREEN HIGH SCHOOL OF TEACHING,3.43,3.19
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2.51,2.62
MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,4.05,4.47
"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",3.66,3.73
P.S. 007 SAMUEL STERN,1.83,2.77
LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,3.02,3.43
P.S. 040 AUGUSTUS SAINT-GAUDENS,3.68,4.24
MANHATTAN BRIDGES HIGH SCHOOL,3.87,4.36
M.S. M245 THE COMPUTER SCHOOL,,
THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,3.1,3.09
FORSYTH SATELLITE ACADEMY,4.08,3.76
INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,3.64,3.95
SCHOOL FOR GLOBAL LEADERS,4.06,3.72
"P.S. 145, THE BLOOMINGDALE SCHOOL",3.46,3.18
P.S. 212 MIDTOWN WEST,4.5,4.83
