dbn,school_name,total_parent_response_rate,total_teacher_response_rate,trust_score
02M422,QUEST TO LEARN,24,100,3.85
02M150,P.S. 150,88,100,4.45
02M374,GRAMERCY ARTS HIGH SCHOOL,18,69,2.51
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,3,45,
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,24,76,2.76
02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,33,100,2.99
03M076,P.S. 076 A. PHILIP RANDOLPH,69,100,4.12
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,5,94,2.06
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,70,100,4.26
02M933,CITY KNOLL MIDDLE SCHOOL,20,61,2.73
02M655,LIFE SCIENCES SECONDARY SCHOOL,16,91,3.98
01M364,EARTH SCHOOL,59,79,3.78
02M183,P.S. 183 ROBERT L. STEVENSON,52,58,3.96
02M282,URBAN ASSEMBLY MAKER ACADEMY,46,100,4.06
02M439,MANHATTAN VILLAGE ACADEMY,51,80,3.62
02M475,STUYVESANT HIGH SCHOOL,37,72,4.07
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,45,77,3.01
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",63,93,4.27
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,26,96,3.8
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,53,80,3.93
02M527,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,62,100,4.66
02M114,EAST SIDE MIDDLE SCHOOL,64,100,4.41
02M397,SPRUCE STREET SCHOOL,68,98,3.55
01M361,THE CHILDREN'S WORKSHOP SCHOOL,31,81,4.2
02M006,P.S. 006 LILLIE D. BLAKE,54,61,3.18
03M241,STEM INSTITUTE OF MANHATTAN,47,94,2.25
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,26,68,3.16
01M064,P.S. 064 ROBERT SIMON,52,96,4.04
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,97,100,3.51
04M037,RIVER EAST ELEMENTARY,67,91,4.36
02M225,ELLA BAKER SCHOOL,87,100,3.59
03M185,THE LOCKE SCHOOL OF ARTS AND ENGINEERING,92,94,3.45
02M376,NYC ISCHOOL,66,97,4.27
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,43,79,4.04
02M167,J.H.S. 167 ROBERT F. WAGNER,56,92,3.13
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,31,81,3.21
02M290,P.S. 290 MANHATTAN NEW SCHOOL,53,88,2.85
02M519,TALENT UNLIMITED HIGH SCHOOL,31,100,3.21
02M077,P.S. 77 LOWER LAB SCHOOL,81,78,2.42
01M063,THE STAR ACADEMY - P.S.63,80,100,3.77
01M020,P.S. 020 ANNA SILVER,58,90,3.14
03M243,M.S. 243 CENTER SCHOOL,100,100,4.34
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,51,65,4.02
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,11,79,2.16
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,78,81,3.55
03M009,P.S. 009 SARAH ANDERSON,73,100,4.65
03M163,P.S. 163 ALFRED E. SMITH,50,89,2.97
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,13,97,3.63
02M124,P.S. 124 YUNG WING,100,98,3.87
02M418,MILLENNIUM HIGH SCHOOL,38,98,3.39
02M260,THE CLINTON SCHOOL,46,94,3.15
02M198,P.S. 198 ISADOR E. IDA STRAUS,92,71,4.13
02M543,NEW DESIGN HIGH SCHOOL,8,83,3.85
03M403,THE GLOBAL LEARNING COLLABORATIVE,33,83,3.76
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,34,59,3.19
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,78,92,3.62
01M110,P.S. 110 FLORENCE NIGHTINGALE,79,77,3.29
01M140,P.S. 140 NATHAN STRAUS,57,89,3.7
02M217,P.S./I.S. 217 ROOSEVELT ISLAND,63,100,3.6
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,71,100,3.68
02M234,P.S. 234 INDEPENDENCE SCHOOL,66,73,4.52
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,15,81,3.67
03M087,P.S. 087 WILLIAM SHERMAN,69,92,3.73
01M696,BARD HIGH SCHOOL EARLY COLLEGE,49,71,3.6
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,68,76,3.72
03M859,SPECIAL MUSIC SCHOOL,65,70,4.02
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,71,100,3.98
