dbn,rigorous_instruction_score,supportive_environment_score,strong_family_community_ties,total_student_response_rate
02M281,3.71,,4.57,
03M452,3.88,,4.4,
02M130,3.72,,4.32,
02M135,3.85,,3.4,9400%
03M165,3.93,,4.01,
02M305,3.43,,4.55,8700%
02M002,3.22,,4.1,
02M570,4.41,,2.71,1700%
09X443,4.15,,3.98,
01M450,4.57,,4.65,9100%
02M041,4.85,,4.74,
02M393,3.35,,3.74,7100%
02M442,4.23,,4.4,10000%
02M011,4.45,,4.4,
02M413,,,,8200%
03M256,3.58,,4.06,9200%
02M534,3.2,,3.89,5500%
03M299,1.76,,2.55,5900%
03M485,4.5,,2.45,9100%
02M407,,,,8600%
02M303,3.85,,3.95,8400%
02M255,4.17,,4.26,9700%
02M544,3.59,,,1000%
03M334,4.76,,4.32,9800%
02M399,2.39,,1.73,7400%
02M177,3.98,,3.89,9200%
02M420,,,,9000%
03M180,2.64,,3.76,8600%
02M394,3.31,,3.62,9700%
02M419,3.42,,3.7,7500%
02M297,3.4,,3.76,9100%
02M316,3.08,,3.34,3600%
02M289,4.0,,3.83,9800%
02M288,2.92,,1.92,7500%
03M291,4.82,,4.57,9800%
03M479,3.74,,2.85,8500%
03M149,3.38,,3.59,9900%
02M489,,,,7900%
02M565,4.57,,3.87,7300%
02M520,2.48,,3.22,6200%
01M019,4.8,,4.66,
01M188,3.85,,4.4,6600%
02M449,3.7,,3.79,8200%
02M059,4.92,,4.57,
02M089,4.94,,4.49,
04M012,4.66,,3.3,9500%
02M408,3.37,,3.3,8200%
02M033,4.29,,4.23,
02M051,3.63,,4.49,
03M417,3.58,,3.31,7400%
02M343,4.16,,4.4,
04M038,3.39,,3.59,
03M494,1.55,,2.45,8200%
03M541,,,,9000%
02M896,3.96,,4.32,9600%
02M131,3.86,,3.72,9200%
02M151,4.94,,4.57,
01M363,4.06,,4.23,
03M075,3.87,,4.18,
03M333,3.99,,3.98,7800%
01M184,2.77,,3.42,10000%
02M104,3.82,,2.86,9100%
03M421,3.41,,3.68,9000%
03M404,,,,6900%
01M448,,,,9400%
03M258,,,,9700%
02M308,3.47,,1.96,7700%
