school,_progress_category_score,_performance_grade,_overall_grade
Stuyvesant High School,39.6,A,A
"High School for Law, Advocacy and Community Justice",46.6,B,A
P.S. 38 Roberto Clemente,22.2,D,C
"Technology, Arts, and Sciences Studio",25.1,C,C
Life Sciences Secondary School,23.1,D,C
P.S. M242 - Gwendolyn Powell Brown Computer School,21.3,F,C
"James Baldwin School, The: A School for Expeditionary Learning",24.7,F,D
Bard High School Early College,33.0,B,B
Marta Valle High School,38.3,C,B
"New Explorations into Science, Technology and Math",49.3,A,A
Norman Thomas High School,23.3,F,F
Essex Street Academy,43.4,A,A
"Urban Assembly School of Design and Construction, The",38.2,B,B
New Design High School,39.5,B,A
Wadleigh Secondary School for the Performing & Visual Arts,31.9,A,B
Life Sciences Secondary School,37.9,A,A
P.S. 166 The Richard Rodgers School of The Arts and Technology,10.1,D,D
"New Explorations into Science, Technology and Math",35.4,A,B
P.S. 183 Robert L. Stevenson,29.0,C,B
Repertory Company High School for Theatre Arts,43.9,B,A
P.S. 002 Meyer London,55.8,B,A
School for the Physical City High School,,,
N.Y.C. Museum School,48.8,A,A
Quest to Learn,,,
New York Harbor School,44.3,A,A
"High School for Arts, Imagination and Inquiry",33.2,A,B
Manhattan Theatre Lab High School,29.6,F,C
Institute for Collaborative Education,40.4,F,B
Unity Center for Urban Technologies,57.1,A,A
"Urban Assembly Academy of Government and Law, The",34.1,B,B
P.S. 111 Adolph S. Ochs,36.0,D,B
P.S. 009 Sarah Anderson,29.6,A,B
Lower Manhattan Community Middle School,17.5,B,C
Leadership and Public Service High School,33.6,C,B
P.S. 158 Bayard Taylor,49.9,A,A
Art and Design High School,35.8,C,B
High School for Environmental Studies,34.2,B,B
"Urban Assembly School of Business for Young Women, the",35.3,B,B
Community Action School - MS 258,37.2,B,A
P.S. 234 Independence School,29.9,B,B
School of the Future High School,40.7,A,A
BUSINESS OF SPORTS SCHOOL,,,
P.S. 126 Jacob August Riis,44.9,A,A
P.S. 019 Asher Levy,24.4,D,C
