dbn,peer_index_,_additional_credit,school_level_,_environment_grade,_progress_grade,_overall_score,progress_report_type,district,_environment_category_score,_performance_category_score,_progress_report_grade
02M475,4.03,0.0,High School,B,B,72.2,HS,2,8.9,23.7,A
03M492,2.33,13.5,High School,C,A,85.7,HS,3,8.5,17.1,A
04M038,63.08,0.5,Elementary,C,C,29.9,EMS,4,4.6,2.6,A
01M301,2.31,0.8,Middle,B,C,40.9,EMS,1,7.1,7.9,A
02M655,2.59,0.8,Middle,D,C,32.8,EMS,2,4.3,4.6,B
03M242,57.47,0.0,Elementary,C,C,27.9,EMS,3,5.5,1.1,A
02M313,2.36,0.0,High School Transfer,A,D,43.5,HST,2,10.4,8.4,B
01M696,3.81,0.0,High School,A,C,60.9,HS,1,11.4,16.5,B
01M509,2.01,3.0,High School,C,B,62.6,HS,1,8.4,12.9,B
01M539,12.97,0.0,K-8,B,A,80.2,EMS,1,6.8,24.1,A
02M620,2.2,1.5,High School,F,F,36.0,HS,2,4.3,8.4,D
02M294,2.28,6.0,High School,A,A,84.2,HS,2,11.8,23.0,A
02M300,2.5,1.5,High School,A,B,66.7,HS,2,10.8,16.2,A
02M543,2.38,6.0,High School,C,B,70.3,HS,2,8.4,16.4,A
03M415,2.08,3.0,High School,F,C,60.0,HS,3,5.0,20.1,A
02M655,2.26,6.0,High School,D,B,72.2,HS,2,6.7,21.6,B
03M166,25.24,0.0,Elementary,B,F,19.8,EMS,3,6.5,3.2,B
01M539,3.55,0.0,High School,C,B,67.2,HS,1,8.1,23.7,A
02M183,14.61,5.0,Elementary,B,B,49.1,EMS,2,8.6,6.5,A
02M531,2.82,3.0,High School,B,A,73.9,HS,2,9.6,17.4,A
02M002,40.23,10.5,Elementary,B,A,87.5,EMS,2,8.6,12.6,A
02M690,,,High School,,,,HS,2,,,
02M414,2.97,6.0,High School,D,A,81.8,HS,2,6.1,20.9,A
02M422,2.98,,Middle,,,,EMS,2,,,
02M551,2.2,7.5,High School,B,A,80.1,HS,2,9.9,18.4,A
03M299,2.15,6.0,High School,C,C,67.6,HS,3,8.0,20.4,B
03M283,2.21,3.0,High School,D,C,48.0,HS,3,6.8,8.6,B
02M407,2.68,0.0,High School,A,B,62.4,HS,2,12.6,9.4,A
02M500,1.95,1.5,High School,A,A,89.3,HS,2,12.8,17.9,A
02M305,2.52,0.0,High School,C,C,58.3,HS,2,8.3,15.9,B
02M111,52.01,7.0,K-8,C,A,52.6,EMS,2,5.5,4.1,A
03M009,20.05,2.0,Elementary,A,B,57.7,EMS,3,10.7,15.4,A
02M896,2.41,2.8,Middle,B,D,40.4,EMS,2,8.6,11.5,A
02M425,2.38,4.5,High School,C,C,58.1,HS,2,8.2,11.8,C
02M158,18.68,7.0,Elementary,D,A,79.7,EMS,2,3.9,18.9,A
02M630,2.83,7.5,High School,F,B,61.8,HS,2,5.4,13.1,B
02M400,2.78,6.0,High School,C,C,65.4,HS,2,8.1,17.1,B
02M316,2.34,0.0,High School,B,B,62.8,HS,2,10.1,17.4,A
03M258,2.43,4.0,Middle,A,A,64.0,EMS,3,10.9,11.9,A
02M234,9.11,2.0,Elementary,A,B,55.1,EMS,2,9.1,14.1,A
02M413,2.85,6.0,High School,B,B,76.5,HS,2,10.4,19.4,A
02M393,2.45,,High School,,,,HS,2,,,
02M126,40.66,7.5,K-8,B,A,75.0,EMS,2,7.7,14.9,A
01M019,48.94,0.0,Elementary,B,B,35.7,EMS,1,6.4,4.9,A
02M289,3.37,3.8,Middle,A,B,59.1,EMS,2,9.6,13.4,B
02M440,,,High School,,,,HS,2,,,
01M378,2.49,2.5,Middle,A,B,56.5,EMS,1,11.3,12.2,
02M580,2.43,1.5,High School,B,D,50.7,HS,2,10.4,12.6,B
02M575,2.44,12.0,High School Transfer,A,B,79.5,HST,2,12.5,15.0,A
03M180,55.03,4.3,K-8,A,D,40.4,EMS,3,11.9,8.9,A
04M050,63.78,1.8,K-8,C,D,27.9,EMS,4,5.1,3.6,A
02M399,2.65,,High School,,,,HS,2,,,
02M047,1.67,0.0,High School,A,A,76.6,HS,2,11.1,15.6,A
02M600,2.74,15.0,High School,C,A,92.4,HS,2,7.5,21.7,A
02M392,2.74,,High School,,,,HS,2,,,
01M142,61.02,1.3,Elementary,A,B,50.3,EMS,1,8.7,5.9,A
02M006,12.51,4.8,Elementary,C,B,45.6,EMS,2,5.8,10.1,A
03M044,,,Middle,,,,EMS,3,,,
03M163,41.28,0.0,Elementary,B,C,39.2,EMS,3,8.0,9.0,A
03M208,61.71,1.5,Elementary,A,C,36.7,EMS,3,9.4,3.1,A
03M246,,,Middle,,,,EMS,3,,,
03M241,62.42,3.0,K-8,B,B,37.0,EMS,3,7.0,2.2,A
03M505,1.94,3.0,High School Transfer,C,C,56.4,HST,3,8.2,13.2,B
02M104,3.13,3.5,Middle,B,B,53.0,EMS,2,6.8,11.3,A
01M361,35.38,0.0,Elementary,B,B,34.3,EMS,1,8.2,1.3,B
01M345,2.72,2.3,Middle,B,B,44.6,EMS,1,6.4,8.8,A
02M296,2.28,1.5,High School,B,A,85.3,HS,2,10.2,20.7,A
04M013,2.13,1.0,Middle,D,D,22.7,EMS,4,4.1,4.4,A
03M541,3.26,0.0,High School,A,C,61.4,HS,3,11.2,18.3,A
03M479,3.51,3.0,High School,B,A,74.5,HS,3,9.3,13.7,A
02M308,2.22,6.0,High School,A,A,86.2,HS,2,10.7,17.7,A
03M075,47.63,0.0,Elementary,C,B,33.5,EMS,3,4.8,4.1,A
02M529,2.48,4.5,High School,D,C,58.5,HS,2,6.2,19.5,C
03M256,2.03,0.8,Middle,B,C,32.6,EMS,3,7.1,4.6,A
02M150,14.53,0.0,Elementary,A,B,52.4,EMS,2,9.4,8.6,A
02M408,3.25,0.0,High School,B,A,71.6,HS,2,9.3,19.6,A
04M045,2.19,1.0,Middle,B,C,35.2,EMS,4,6.6,3.6,B
02M374,2.58,3.0,High School,D,B,63.7,HS,2,6.4,17.0,
04M007,58.46,3.8,K-8,B,A,61.4,EMS,4,7.7,7.2,A
