plazaname,borocd,borocode,:@computed_region_f5dn_yrer,boro,:@computed_region_yeji_bk3q
Plaza de Las Americas,112,1,47,Manhattan,4
Post Avenue Plaza,112,1,47,Manhattan,4
Flatiron Plaza,105,1,11,Manhattan,4
Fox Square Plaza,302,3,68,Brooklyn,2
Worth Square Plaza,105,1,11,Manhattan,4
North 5th Plaza,301,3,36,Brooklyn,2
Lippman Plaza,407,4,22,Queens,3
Audubon Plaza,112,1,47,Manhattan,4
Morrison Avenue Plaza,209,2,58,Bronx,5
Corona Plaza,404,4,66,Queens,3
Herman Hochberg Plaza,405,4,54,Queens,3
Fordham Plaza,"206,207",2,35,Bronx,5
Forsyth Plaza,103,1,70,Manhattan,4
Johnny Hartman Plaza,109,1,37,Manhattan,4
Willoughby Plaza,302,3,68,Brooklyn,2
34th Avenue Plaza,403,4,65,Queens,3
Zion Triangle Plaza,316,3,55,Brooklyn,2
Douglaston Station Plaza,411,4,26,Queens,3
James Baldwin Plaza,"207, 208",2,24,Bronx,5
Murdock Plaza,412,4,41,Queens,3
Banker's Anchor Plaza,301,3,36,Brooklyn,2
Herald & Greeley Square Plaza,105,1,11,Manhattan,4
Albee Square Plaza,302,3,68,Brooklyn,2
Coenties Slip Plaza,101,1,56,Manhattan,4
Frost Street Plaza,301,3,36,Brooklyn,2
Westchester Square Plaza,210,2,43,Bronx,5
Division Street Plaza,103,1,70,Manhattan,4
Bliss Plaza,402,4,53,Queens,3
Pearl Street Plaza,302,3,68,Brooklyn,2
Times Square Plaza,105,1,11,Manhattan,4
Garment District Plaza,105,1,11,Manhattan,4
Venditti Square Plaza,405,4,54,Queens,3
Astor Place Plaza,102,1,57,Manhattan,4
33rd Street Plaza,105,1,11,Manhattan,4
12th Street Plaza,402,4,53,Queens,3
Osborn Street Plaza,316,3,55,Brooklyn,2
Louise Nevelson Plaza,101,1,56,Manhattan,4
Roberto Clemente Plaza,201,2,49,Bronx,5
Jitu Weusi Plaza,302,3,68,Brooklyn,2
25th Street Plaza,106,1,71,Manhattan,4
Myrtle Avenue Plaza,302,3,68,Brooklyn,2
James Cagney Plaza,108,1,23,Manhattan,4
Van Name/Van Pelt Plaza,501,5,4,Staten Island,1
185th Street Plaza,112,1,47,Manhattan,4
Old Fulton Plaza,302,3,68,Brooklyn,2
Haven Plaza,112,1,47,Manhattan,4
Duane Joseph Plaza,309,3,17,Brooklyn,2
Kensington Plaza,312,3,2,Brooklyn,2
Liberty Avenue Plaza,"305,409","3,4",46,"Brooklyn,Queens",3
Beach 20th Street Plaza,414,4,51,Queens,3
Brooklyn Plaza,302,3,68,Brooklyn,2
125th Street Plaza,111,1,7,Manhattan,4
Washington Empire Plaza,309,3,17,Brooklyn,2
Wyckoff Plaza,"304,405","3,4",42,"Brooklyn,Queens",2
Marcy Avenue Plaza,303,3,69,Brooklyn,2
Malcolm X Plaza,110,1,18,Manhattan,4
Lowery Plaza,402,4,53,Queens,3
Watkins Street Plaza,316,3,55,Brooklyn,2
Brooklyn Bridge Arches Plaza,101,1,56,Manhattan,4
Municipal Plaza,101,1,56,Manhattan,4
Hillel Place Plaza,314,3,60,Brooklyn,2
78th Street Plaza,403,4,65,Queens,3
New Lots Plaza,305,3,45,Brooklyn,2
29th Street Plaza,402,4,53,Queens,3
George B. Post Plaza,301,3,36,Brooklyn,2
Knickerbocker Plaza,304,3,42,Brooklyn,2
Avenue C Plaza,312,3,2,Brooklyn,2
Lou Gehrig Plaza,204,2,50,Bronx,5
Myrtle/Cooper Plaza,405,4,54,Queens,3
Union Square Plaza,"102, 105",1,11,Manhattan,4
Montefiore Plaza,109,1,37,Manhattan,4
Ruth Wittenberg Plaza,102,1,57,Manhattan,4
Vanderbilt Plaza,105,1,11,Manhattan,4
Bryan Park Plaza,207,2,24,Bronx,5
Quisqueya Plaza,112,1,47,Manhattan,4
Humboldt Plaza,301,3,36,Brooklyn,2
Fowler Square Plaza,302,3,68,Brooklyn,2
Diversity Plaza,403,4,65,Queens,3
North 10th & Union Avenue Plaza,301,3,36,Brooklyn,2
Beach 21st Street Plaza,414,4,51,Queens,3
46th Avenue Plaza,402,4,53,Queens,3
Gates Avenue Plaza,302,3,68,Brooklyn,2
Cooper Square Plaza,"103,102",1,57,Manhattan,4
Underhill Plaza,308,3,16,Brooklyn,2
Bogardus Plaza,101,1,56,Manhattan,4
Delancey Plaza,103,1,70,Manhattan,4
Gansevoort Plaza,102,1,57,Manhattan,4
Doyers Street Plaza,103,1,70,Manhattan,4
Columbus Circle Plaza,105,1,11,Manhattan,4
Pershing Square Plaza,105,1,11,Manhattan,4
