fromstreet
73 Street
Fort Washington Avenue
43 Road
Canal Street
Havemeyer Street
4 Avenue
Water Streeet
Water Street
Chambers Street
Broadway
57 Street
36 Street
West 110 Street
Atlantic Avenue
National Street
Jackson Avenue
Knickerbocker Avenue
Legion Street
Belmont Avenue
Audubon Avenue
MacDonough Street
Stephen Street
Mott Avenue
Fulton Street
Moore Street
143 Street
North 10 Sreet
124 Street
Myrtle Avenue
Broadway
7 Avenue
Liberty Street
Flatbush Avenue
41st Avenue
East 13 Street
Belmont Avenue
Norfolk Street
Adams Street
Gansevoort Street
West 165 Street
Roosevelt Avenue
Flatbush Avenue Extension
41 Street
Church Avenue
21 Street
East 189 Street
Empire Boulevard
Westchester Avenue
Broadway
46 Street
Water Street
180 Street
3 Avenue
Pell Street
Broadway
69 Street
Mosholu Parkway
Bond Street
South Eliot Place
Cooper Square
Avenue C
Livonia Avenue
Forbell Street
Myrtle Avenue
42 Street
40 Street
Grand Avenue
Ocean Avenue
Harrod Place
32 Street
East 41 Street
High Street
34 Avenue
47 Avenue
East Kingsbridge Road
Beach 21 Street
Myrtle Avenue
Nassau Avenue
Meeker Avenue
Worth Street
Frankfort Street
Van Name Avenue
East 148 Street
207 Street
Walton Avenue
Greenwich Avenue
23 Street
2 Avenue
Canal Street
Grand Avenue
