the_geom,plazaname,point_x,boroname,coundist,partner
"{'type': 'Point', 'coordinates': [-73.93810792805198, 40.84608773992304]}",Plaza de Las Americas,1001373.87743,Manhattan,10,"Community League of the Heights, Inc. (CLOTH)"
"{'type': 'Point', 'coordinates': [-73.918911869282, 40.86485149435139]}",Post Avenue Plaza,1006678.58279,Manhattan,10,Inwood Merchants Association
"{'type': 'Point', 'coordinates': [-73.98910737800905, 40.74241727022627]}",Flatiron Plaza,987268.393459,Manhattan,"2, 3",Flatiron NoMad Partnership
"{'type': 'Point', 'coordinates': [-73.9804713173478, 40.68857034245353]}",Fox Square Plaza,989665.857446,Brooklyn,35,Downtown Brooklyn Partnership
"{'type': 'Point', 'coordinates': [-73.98891993953856, 40.74263451945487]}",Worth Square Plaza,987320.323439,Manhattan,2,NYC Department of Parks and Recreation/Madison Square Park Conservancy
"{'type': 'Point', 'coordinates': [-73.95488364572503, 40.714228644519906]}",North 5th Plaza,996757.229681,Brooklyn,"34,33",NYC Department of Transportation
"{'type': 'Point', 'coordinates': [-73.82793409553322, 40.76047038434627]}",Lippman Plaza,1031917.27011,Queens,20,Flushing BID
"{'type': 'Point', 'coordinates': [-73.93946469860714, 40.83899315457707]}",Audubon Plaza,1001000.28178,Manhattan,10,NYC Department of Transportation
"{'type': 'Point', 'coordinates': [-73.87429675659163, 40.829272249379436]}",Morrison Avenue Plaza,1019037.50096,Bronx,18,Youth Ministries for Peace and Justice
"{'type': 'Point', 'coordinates': [-73.8622877408355, 40.74968964883503]}",Corona Plaza,1022406.49298,Queens,21,NYC Department of Transportation
"{'type': 'Point', 'coordinates': [-73.89944408256581, 40.70062708984495]}",Herman Hochberg Plaza,1012131.95951,Queens,30,Myrtle Avenue Business Improvement District
"{'type': 'Point', 'coordinates': [-73.89111178545583, 40.860649246489515]}",Fordham Plaza,1014369.8506,Bronx,15,NYC Department of Transportation
"{'type': 'Point', 'coordinates': [-73.9945944466309, 40.71519424407022]}",Forsyth Plaza,985748.514755,Manhattan,1,Asian Americans for Equality
"{'type': 'Point', 'coordinates': [-73.94860757552374, 40.82424599968602]}",Johnny Hartman Plaza,998473.575571,Manhattan,7,The Brotherhood Sister Sol
"{'type': 'Point', 'coordinates': [-73.988603953046, 40.69233557489861]}",Willoughby Plaza,987410.268516,Brooklyn,33,Downtown Brooklyn Partnership
"{'type': 'Point', 'coordinates': [-73.88421285915734, 40.7538199672836]}",34th Avenue Plaza,1016329.62636,Queens,25,34th Avenue Open Street Coalition
"{'type': 'Point', 'coordinates': [-73.91948841791006, 40.66852130662184]}",Zion Triangle Plaza,1006584.8559,Brooklyn,41,NYC Department of Parks and Recreation/Pitkin Avenue Business Improvement District
"{'type': 'Point', 'coordinates': [-73.74908447341386, 40.76864868087139]}",Douglaston Station Plaza,1053752.32826,Queens,19,Douglaston LDC
"{'type': 'Point', 'coordinates': [-73.88774867951929, 40.88239517453956]}",James Baldwin Plaza,1015289.9746,Bronx,11,James Baldwin Outdoor Learning Center
"{'type': 'Point', 'coordinates': [-73.77018257593953, 40.69614982333164]}",Murdock Plaza,1047977.57251,Queens,27,Addisleigh Park Civic Association
"{'type': 'Point', 'coordinates': [-73.95417447418026, 40.72298162069042]}",Banker's Anchor Plaza,996952.158821,Brooklyn,33,North Brooklyn Parks Alliance
"{'type': 'Point', 'coordinates': [-73.98789450790541, 40.74991999252464]}",Herald & Greeley Square Plaza,987604.107466,Manhattan,"3, 4",34th Street Partnership
"{'type': 'Point', 'coordinates': [-73.98302727731017, 40.69009847766713]}",Albee Square Plaza,988956.909487,Brooklyn,33,Downtown Brooklyn Partnership
"{'type': 'Point', 'coordinates': [-74.01047484947958, 40.70347352134007]}",Coenties Slip Plaza,981345.676408,Manhattan,1,Alliance for Downtown New York
"{'type': 'Point', 'coordinates': [-73.9489763279508, 40.7175832877284]}",Frost Street Plaza,998394.153646,Brooklyn,34,NYC Department of Transportation
