the_geom,point_y,fromstreet,:@computed_region_efsh_h5xi,onstreet,hrcevac,tostreet
"{'type': 'Point', 'coordinates': [-73.94806766181343, 40.63259171626162]}",169750.869807,Flatbush Avenue,17217,Hillel Place,"6, 5",Kennilworth Place
"{'type': 'Point', 'coordinates': [-73.88774867951929, 40.88239517453956]}",260778.102846,Mosholu Parkway,11606,Goulden Avenue,X,
"{'type': 'Point', 'coordinates': [-73.94616140993175, 40.680475602747954]}",187196.618228,MacDonough Street,17618,Marcy Avenue,,Fulton Street
"{'type': 'Point', 'coordinates': [-73.9384178420599, 40.744223344231735]}",210423.264083,47 Avenue,16858,29 Street,"2, 3, 4, 5, 6",Skillman Avenue
"{'type': 'Point', 'coordinates': [-73.9908671430877, 40.73006959649501]}",205260.740893,4 Avenue,11724,Astor Place,,Cooper Square
"{'type': 'Point', 'coordinates': [-73.90941576378255, 40.69995088108893]}",194300.430341,Myrtle Avenue,15310,Woodbine Street,,St. Nicholas Avenue
"{'type': 'Point', 'coordinates': [-73.97909499785223, 40.640549592869014]}",172646.558659,Avenue C,17620,McDonald Avenue,,Church Avenue
"{'type': 'Point', 'coordinates': [-73.9871195903118, 40.753380317093395]}",213753.707635,36 Street,12080,Broadway,X,41 Street
"{'type': 'Point', 'coordinates': [-73.8622877408355, 40.74968964883503]}",212438.808668,National Street,14510,Roosevelt Avenue,,104 Street
"{'type': 'Point', 'coordinates': [-73.9482781593629, 40.7502269641764]}",212608.807856,43 Road,16858,12 Street,"4,5",44 Avenue
"{'type': 'Point', 'coordinates': [-73.90758841352527, 40.66863745281728]}",182892.575272,Belmont Avenue,17614,Watkins Street,,Dead End
"{'type': 'Point', 'coordinates': [-73.89111178545583, 40.860649246489515]}",252854.03708,East 189 Street,10936,Park Avenue,,3 Avenue
"{'type': 'Point', 'coordinates': [-73.99794973339607, 40.71440270777124]}",199552.685297,Pell Street,12076,Doyers Street,,Bowery
"{'type': 'Point', 'coordinates': [-73.97554591473981, 40.686943098111406]}",189549.271917,South Eliot Place,17619,Lafayette Avenue,,Fulton Street
