title_description,pure_prov_10_24_mos
ADMINISTRATIVE ASSESSOR,0
ASSOCIATE PROJECT MANAGER,0
PHYSICIAN'S ASSISTANT,0
BOOKBINDER,1
SENIOR POLICY ADVISOR TO THE MAYOR (MA),0
PLUMBER'S HELPER,0
ADMINISTRATIVE RETIREMENTS BENEFITS SPECIALIST,0
MECHANICAL ENGINEERING INTERN,0
COMPUTER ASSOCIATE (OPERATIONS),0
BUDGET ANALYST (OMB),50
POLICE COMMUNICATIONS TECHNICIAN,74
ACTUARIAL SPECIALIST,0
EXECUTIVE DIRECTOR OF COMISSION ON GENDER EQUALITY (MA),0
BUDGET ANALYST (COMPTROLLER),3
ADMINISTRATIVE CLAIM EXAMINER,0
ADMINISTRATIVE CITY PLANNER,0
COMPUTER SERVICE TECHNICIAN,1
ASSISTANT CHEMICAL ENGINEER,0
EMERGENCY PREPAREDNESS MANAGER (OEM),13
ADMINISTRATIVE PUBLIC INFORMATION SPECIALIST (NON-MANGERIAL),0
LABOR RELATIONS ANALYST TRAINEE,0
ADMINISTRATIVE PUBLIC RECORDS OFFICER,0
INVESTMENT ANALYST,0
RESEARCH PROJECTS COORDINATOR (MA),1
STOCK WORKER,0
ASSISTANT TO THE PRESIDENT (BRONX BOROUGH PRESIDENT),0
ADMINISTRATIVE CONSTRUCTION PROJECT MGR (NON MGRL)FRMRLY M1,1
CYBER SECURITY ANALYST,2
ECONOMIST,0
ELECTRICIAN (AUTOMOBILE),0
PUBLIC RECORDS AIDE,0
COMPUTER ASSOCIATE (OPERATIONS),0
ADMINISTRATIVE ASSISTANT (CAMPAIGN FINANCE BOARD),1
ASSISTANT TO THE PRESIDENT,0
ADMINISTRATIVE INSPECTOR (ELECTRICAL)(NON MGRL)FRMRLY M1,0
ASSISTANT BUDGET ANALYST (COMPTROLLER),4
SERVICE INSPECTOR (PROJECT SCORECARD),0
ADMINISTRATIVE PROCUREMENT ANALYST,0
COMPUTER SYSTEMS MANAGER,0
INVESTMENT ANALYST,1
QUALITY ASSURANCE SPECIALIST,0
ANALYST (CAMPAIGN FINANCE BOARD),5
SENIOR PROJECT PLANNER (MA),0
MANAGEMENT AUDITOR TRAINEE,0
ADMINISTRATIVE PROJECT MANAGER,0
COMPUTER SYSTEMS MANAGER,0
ADMINISTRATIVE RETIREMENT BENEFITS SPECIALIST,0
FITNESS INSTRUCTOR,0
FINGERPRINT TECHNICIAN TRAINEE,6
ASSOCIATE PUBLIC INFORMATION SPECIALIST,0
MANAGER OF RADIO REPAIR OPERATIONS,1
ADMINISTRATIVE MANAGEMENT AUDITOR,0
SHEET METAL WORKER,0
ASSOCIATE RETIREMENT BENEFITS EXAMINER,0
RESEARCH & LIAISON COORDINATOR,0
RESEARCH PROJECTS COORDINATOR (MA) (MANAGERIAL ASSIGNMENTS),22
DIRECTOR OF CRIMINAL JUSTICE (MA),0
PSYCHOLOGIST,5
TRANSPORTATION SPECIALIST,1
ACCOUNTANT,0
ADMINISTRATIVE CLAIM EXAMINER,2
ASSISTANT MECHANICAL ENGINEER,1
POLICE ATTENDANT,3
CYBER SECURITY ANALYST,2
TELECOMMUNICATIONS ASSOCIATE (DATA),0
ATTORNEY (CAMPAIGN FINANCE BOARD),0
"LEGAL SECRETARIAL ASSISTANT, LEVEL II",0
EMERGENCY PREPAREDNESS SPECIALIST (OEM),10
SUPERVISOR,0
TELECOMMUNICATIONS ASSOCIATE (VOICE),0
CERTIFIED IT ADMINISTRATOR (LAN/WAN),0
SENIOR PHOTOGRAPHER,0
COMPUTER SYSTEMS MANAGER (NON MGRL) FORMERLY M1 AND M2,1
COMPUTER OPERATIONS MANAGER,0
SUPERVISOR OF STOCK WORKERS,0
ECONOMIST,4
AUTO BODY WORKER,0
ASSOCIATE INSPECTOR (ELECTRICAL),2
SUPERVISOR SHEET METAL WORKER,0
ADMINISTRATIVE ACCOUNTANT,0
ASSOCIATE QUALITY ASSURANCE SPECIALIST,0
PUBLIC RECORDS OFFICER,0
ASSOCIATE URBAN DESIGNER,0
PRINCIPAL POLICE COMMUNICATIONS TECHNICIAN,0
ASSISTANT MECHANICAL ENGINEER,1
ADMINISTRATIVE ACTUARY,2
TELECOMMUNICATIONS MANAGER,0
PRINCIPAL FINGERPRINT TECHNICIAN,0
PRINTING PRESS OPERATOR,1
SECRETARY (MA),0
GRAPHIC ARTIST,0
ADMINISTRATIVE ACCOUNTANT,0
HOSTLER,0
WORKERS' COMPENSATION BENEFITS EXAMINER,0
ANALYST (CAMPAIGN FINANCE BOARD)(LEVELS II AND III ONLY),9
DIRECTOR OF ADMINISTRATION (WORKERS COMP BENEFITS) (LD),0
MOTOR VEHICLE SUPERVISOR,0
PROJECT MANAGER,0
MAYORAL PROGRAM COORDINATOR (MA),0
SUPERVISOR ROOFER,0
COMPUTER SYSTEMS MANAGER (NON MGRL) FORMERLY M1 AND M2,1
STAFF ASSISTANT (OFFICE OF THE AUDITOR GENERAL-MA),3
SUPERVISOR OF MECHANICS (MECHANICAL EQUIPMENT),0
ADMINISTRATIVE INSPECTOR (ELECTRICAL),0
SPECIAL ASSISTANT TO THE BOROUGH PRESIDENT (BRONX),0
DIRECTOR OF INTERGOVERNMENTAL RELATIONS,0
TELECOMMUNICATIONS MANAGER,2
DIRECTOR OF PUBLIC RELATIONS (CFB),0
SUPERVISING BLASTING INSPECTOR,0
CUSTODIAN,1
"ADMINISTRATIVE PROCUREMENT ANALYST (FORMERLY M1,M2,M3)",0
EVIDENCE AND PROPERTY CONTROL SPECIALIST,0
PHOTOGRAPHER,3
PUBLIC HEALTH ASSISTANT,0
MEDIA SERVICES TECHNICIAN,0
DEPARTMENT LIBRARIAN,0
SECRETARY TO ASSISTANT TO THE PRESIDENT (PX),0
WELDER,0
PROJECT MANAGER INTERN,1
SUPERVISOR THERMOSTAT REPAIRER,0
CLAIM SPECIALIST,0
COMPUTER OPERATIONS MANAGER (NON MGRL) FORMERLY M1 AND M2,2
ADMINISTRATIVE ACCOUNTANT,0
PUBLIC RECORDS OFFICER,0
