step_subtotal,step_prov_25_mos,report_date,title_code
1,0,2022-08-31T00:00:00.000,10005
1,1,2022-08-31T00:00:00.000,22427
0,0,2022-08-31T00:00:00.000,52700
1,0,2022-08-31T00:00:00.000,92105
0,0,2022-08-31T00:00:00.000,06815
1,0,2022-08-31T00:00:00.000,91916
3,2,2022-08-31T00:00:00.000,8298C
0,0,2022-08-31T00:00:00.000,20403
1,1,2022-08-31T00:00:00.000,13621
47,45,2022-08-31T00:00:00.000,06088
3,0,2022-08-31T00:00:00.000,71012
1,1,2022-08-31T00:00:00.000,40731
0,0,2022-08-31T00:00:00.000,06818
3,1,2022-08-31T00:00:00.000,06711
1,0,2022-08-31T00:00:00.000,10044
1,1,2022-08-31T00:00:00.000,10053
0,0,2022-08-31T00:00:00.000,13615
0,0,2022-08-31T00:00:00.000,20510
3,2,2022-08-31T00:00:00.000,06765
0,0,2022-08-31T00:00:00.000,1003E
0,0,2022-08-31T00:00:00.000,12752
1,0,2022-08-31T00:00:00.000,10041
1,1,2022-08-31T00:00:00.000,40925
0,0,2022-08-31T00:00:00.000,05277
0,0,2022-08-31T00:00:00.000,12200
0,0,2022-08-31T00:00:00.000,05106
0,0,2022-08-31T00:00:00.000,8299A
0,0,2022-08-31T00:00:00.000,13633
1,1,2022-08-31T00:00:00.000,40910
1,1,2022-08-31T00:00:00.000,91719
0,0,2022-08-31T00:00:00.000,60215
0,0,2022-08-31T00:00:00.000,13621
0,0,2022-08-31T00:00:00.000,06603
0,0,2022-08-31T00:00:00.000,0515A
4,4,2022-08-31T00:00:00.000,1007B
2,2,2022-08-31T00:00:00.000,06710
0,0,2022-08-31T00:00:00.000,09708
1,1,2022-08-31T00:00:00.000,82976
0,0,2022-08-31T00:00:00.000,10050
1,1,2022-08-31T00:00:00.000,40925
1,1,2022-08-31T00:00:00.000,34171
0,0,2022-08-31T00:00:00.000,06601
0,0,2022-08-31T00:00:00.000,05482
0,0,2022-08-31T00:00:00.000,40501
1,1,2022-08-31T00:00:00.000,83008
1,1,2022-08-31T00:00:00.000,10050
4,1,2022-08-31T00:00:00.000,82986
0,0,2022-08-31T00:00:00.000,51225
0,0,2022-08-31T00:00:00.000,71105
0,0,2022-08-31T00:00:00.000,60816
1,1,2022-08-31T00:00:00.000,8298E
0,0,2022-08-31T00:00:00.000,1001C
1,1,2022-08-31T00:00:00.000,92340
9,9,2022-08-31T00:00:00.000,40493
0,0,2022-08-31T00:00:00.000,06850
8,5,2022-08-31T00:00:00.000,0527A
0,0,2022-08-31T00:00:00.000,06816
0,0,2022-08-31T00:00:00.000,52110
0,0,2022-08-31T00:00:00.000,22316
0,0,2022-08-31T00:00:00.000,40510
0,0,2022-08-31T00:00:00.000,1004E
0,0,2022-08-31T00:00:00.000,20410
1,0,2022-08-31T00:00:00.000,90202
0,0,2022-08-31T00:00:00.000,13633
2,2,2022-08-31T00:00:00.000,20246
0,0,2022-08-31T00:00:00.000,06604
10,8,2022-08-31T00:00:00.000,1022A
2,1,2022-08-31T00:00:00.000,06766
2,2,2022-08-31T00:00:00.000,91310
0,0,2022-08-31T00:00:00.000,20247
0,0,2022-08-31T00:00:00.000,13652
0,0,2022-08-31T00:00:00.000,90635
0,0,2022-08-31T00:00:00.000,1005D
1,1,2022-08-31T00:00:00.000,10074
0,0,2022-08-31T00:00:00.000,12202
0,0,2022-08-31T00:00:00.000,40910
0,0,2022-08-31T00:00:00.000,92501
7,6,2022-08-31T00:00:00.000,31643
1,1,2022-08-31T00:00:00.000,92343
0,0,2022-08-31T00:00:00.000,10001
6,6,2022-08-31T00:00:00.000,34190
0,0,2022-08-31T00:00:00.000,60216
0,0,2022-08-31T00:00:00.000,22124
2,0,2022-08-31T00:00:00.000,71014
1,1,2022-08-31T00:00:00.000,20410
0,0,2022-08-31T00:00:00.000,82985
0,0,2022-08-31T00:00:00.000,82984
2,1,2022-08-31T00:00:00.000,71165
0,0,2022-08-31T00:00:00.000,92123
2,2,2022-08-31T00:00:00.000,05384
1,1,2022-08-31T00:00:00.000,91415
2,2,2022-08-31T00:00:00.000,10001
0,0,2022-08-31T00:00:00.000,81901
2,0,2022-08-31T00:00:00.000,40482
2,0,2022-08-31T00:00:00.000,0660A
1,1,2022-08-31T00:00:00.000,05492
0,0,2022-08-31T00:00:00.000,91232
0,0,2022-08-31T00:00:00.000,22426
4,4,2022-08-31T00:00:00.000,06423
1,1,2022-08-31T00:00:00.000,90775
0,0,2022-08-31T00:00:00.000,1005D
0,0,2022-08-31T00:00:00.000,06393
5,0,2022-08-31T00:00:00.000,92575
1,1,2022-08-31T00:00:00.000,10077
0,0,2022-08-31T00:00:00.000,03647
0,0,2022-08-31T00:00:00.000,05026
1,1,2022-08-31T00:00:00.000,8298A
0,0,2022-08-31T00:00:00.000,06470
0,0,2022-08-31T00:00:00.000,31840
1,1,2022-08-31T00:00:00.000,80609
0,0,2022-08-31T00:00:00.000,8297A
29,29,2022-08-31T00:00:00.000,71022
1,1,2022-08-31T00:00:00.000,90610
1,1,2022-08-31T00:00:00.000,81805
0,0,2022-08-31T00:00:00.000,90622
0,0,2022-08-31T00:00:00.000,60210
0,0,2022-08-31T00:00:00.000,05107
0,0,2022-08-31T00:00:00.000,92355
0,0,2022-08-31T00:00:00.000,22425
1,0,2022-08-31T00:00:00.000,91964
1,0,2022-08-31T00:00:00.000,30726
0,0,2022-08-31T00:00:00.000,1007E
1,1,2022-08-31T00:00:00.000,1000B
0,0,2022-08-31T00:00:00.000,60216
0,0,2022-08-31T00:00:00.000,13621
1,1,2022-08-31T00:00:00.000,92005
0,0,2022-08-31T00:00:00.000,06144
1,1,2022-08-31T00:00:00.000,06405
7,7,2022-08-31T00:00:00.000,1002H
1,0,2022-08-31T00:00:00.000,92122
0,0,2022-08-31T00:00:00.000,31118
0,0,2022-08-31T00:00:00.000,13621
