step_subtotal,step_prov_25_mos,report_date,title_code
0,0,2022-08-31T00:00:00.000,22092
0,0,2022-08-31T00:00:00.000,06798
1,0,2022-08-31T00:00:00.000,05278
1,0,2022-08-31T00:00:00.000,82991
1,1,2022-08-31T00:00:00.000,10074
1,1,2022-08-31T00:00:00.000,21215
1,1,2022-08-31T00:00:00.000,60621
0,0,2022-08-31T00:00:00.000,10009
0,0,2022-08-31T00:00:00.000,91722
2,2,2022-08-31T00:00:00.000,05363
0,0,2022-08-31T00:00:00.000,60217
1,1,2022-08-31T00:00:00.000,05224
0,0,2022-08-31T00:00:00.000,8298A
0,0,2022-08-31T00:00:00.000,20310
0,0,2022-08-31T00:00:00.000,40482
3,3,2022-08-31T00:00:00.000,10010
2,2,2022-08-31T00:00:00.000,60860
0,0,2022-08-31T00:00:00.000,40410
0,0,2022-08-31T00:00:00.000,31661
1,1,2022-08-31T00:00:00.000,1000B
0,0,2022-08-31T00:00:00.000,10251
0,0,2022-08-31T00:00:00.000,13622
9,0,2022-08-31T00:00:00.000,90760
0,0,2022-08-31T00:00:00.000,40501
0,0,2022-08-31T00:00:00.000,82980
0,0,2022-08-31T00:00:00.000,1003E
0,0,2022-08-31T00:00:00.000,40502
1,1,2022-08-31T00:00:00.000,06591
0,0,2022-08-31T00:00:00.000,05454
0,0,2022-08-31T00:00:00.000,20302
2,2,2022-08-31T00:00:00.000,80609
3,3,2022-08-31T00:00:00.000,13622
1,1,2022-08-31T00:00:00.000,91638
19,11,2022-08-31T00:00:00.000,0668A
0,0,2022-08-31T00:00:00.000,60216
0,0,2022-08-31T00:00:00.000,06517
0,0,2022-08-31T00:00:00.000,90723
1,0,2022-08-31T00:00:00.000,06458
2,2,2022-08-31T00:00:00.000,13631
0,0,2022-08-31T00:00:00.000,06602
2,0,2022-08-31T00:00:00.000,8298C
0,0,2022-08-31T00:00:00.000,06311
2,2,2022-08-31T00:00:00.000,06462
30,28,2022-08-31T00:00:00.000,0608A
0,0,2022-08-31T00:00:00.000,10605
0,0,2022-08-31T00:00:00.000,09989
0,0,2022-08-31T00:00:00.000,05108
0,0,2022-08-31T00:00:00.000,10095
1,0,2022-08-31T00:00:00.000,91717
0,0,2022-08-31T00:00:00.000,10217
2,2,2022-08-31T00:00:00.000,13611
2,0,2022-08-31T00:00:00.000,82986
3,3,2022-08-31T00:00:00.000,1022A
1,1,2022-08-31T00:00:00.000,90769
0,0,2022-08-31T00:00:00.000,10035
1,0,2022-08-31T00:00:00.000,40493
0,0,2022-08-31T00:00:00.000,06763
0,0,2022-08-31T00:00:00.000,40491
1,0,2022-08-31T00:00:00.000,40731
0,0,2022-08-31T00:00:00.000,10026
1,1,2022-08-31T00:00:00.000,40561
0,0,2022-08-31T00:00:00.000,82984
1,0,2022-08-31T00:00:00.000,71141
0,0,2022-08-31T00:00:00.000,82994
0,0,2022-08-31T00:00:00.000,09709
18,18,2022-08-31T00:00:00.000,31662
1,0,2022-08-31T00:00:00.000,40491
0,0,2022-08-31T00:00:00.000,06813
