total_count,pure_prov_25_mos,agency_description
1,0,Tax Commission
2,1,Fire Department
1,1,Fire Department
3,0,Police Department
1,0,Office of the Mayor
1,0,Police Department
3,0,NYC Employees Retirement System
1,1,Fire Department
3,2,Police Department
305,128,Office of Management and Budget
80,3,Police Department
9,3,Office of the Actuary
1,1,Office of the Mayor
9,2,Office of the Comptroller
1,0,Office of the Comptroller
3,2,Office of the Comptroller
1,0,Office of the Comptroller
2,0,Fire Department
68,47,Office of Emergency Management
3,0,Office of the Comptroller
1,0,Teachers Retirement System
1,0,Fire Department
1,0,Teachers Retirement System
7,3,Office of the Mayor
1,1,Fire Department
1,0,Borough President - Bronx
1,0,Police Department
2,0,Office of the Comptroller
4,3,Office of the Comptroller
1,0,Police Department
2,2,Law Department
1,1,Teachers Retirement System
9,8,Campaign Finance Board
2,0,Borough President - Manhattan
4,0,Fire Department
15,6,Office of the Comptroller
5,3,Office of the Mayor
1,0,Office of the Comptroller
1,1,Teachers Retirement System
8,6,Office of the Comptroller
2,1,Police Department
11,4,Campaign Finance Board
1,1,Office of the Mayor
1,0,Police Department
4,3,Office of the Comptroller
3,2,Office of the Comptroller
10,4,Teachers Retirement System
5,2,Police Department
20,1,Police Department
1,1,Borough President - Manhattan
2,0,Police Department
2,2,Office of the Comptroller
1,0,Police Department
15,6,Teachers Retirement System
5,0,Office of the Comptroller
99,48,Office of the Mayor
1,0,Office of the Mayor
8,0,Police Department
4,2,Department of City Planning
2,2,Office of the Comptroller
5,3,Office of the Comptroller
2,1,Office of the Comptroller
14,2,Police Department
3,0,NYC Employees Retirement System
2,0,Fire Department
5,5,Campaign Finance Board
13,2,Law Department
116,64,Office of Emergency Management
2,0,Police Department
3,0,Teachers Retirement System
1,1,Fire Department
1,1,Police Department
1,0,Office of the Comptroller
1,0,Office of the Comptroller
1,1,Office of the Comptroller
13,4,Department of City Planning
1,0,Police Department
18,7,Fire Department
1,0,Police Department
1,1,Police Department
6,0,Law Department
2,1,Police Department
2,0,Department of City Planning
2,0,Police Department
2,0,Fire Department
3,0,Office of the Actuary
1,0,Department of City Planning
2,0,Police Department
4,0,Police Department
2,0,Office of the Mayor
5,0,Police Department
3,1,Office of the Comptroller
1,0,Police Department
5,2,Fire Department
51,31,Campaign Finance Board
1,0,Law Department
1,0,Police Department
1,1,Fire Department
5,1,Office of the Mayor
1,0,Police Department
1,0,Police Department
9,5,Office of the Mayor
5,0,Police Department
1,0,Fire Department
1,0,Borough President - Bronx
1,0,Office of the Mayor
16,0,Department of City Planning
1,1,Campaign Finance Board
2,2,Fire Department
6,2,Law Department
1,1,Office of the Comptroller
46,17,Police Department
5,1,Police Department
3,2,Police Department
5,1,Police Department
2,1,Law Department
1,1,Borough President - Bronx
1,1,Police Department
1,0,Fire Department
1,0,Police Department
4,3,Office of the Comptroller
2,0,Office of the Comptroller
1,0,Police Department
1,0,Teachers Retirement System
1,1,Office of the Comptroller
5,1,Police Department
1,1,Office of the Mayor
18,15,Office of the Mayor
7,0,Fire Department
2,0,Police Department
1,1,Office of the Comptroller
3,3,Fire Department
11,6,Department of City Planning
2,0,Law Department
6,1,Office of the Mayor
4,1,Office of the Comptroller
4,3,Police Department
2,1,Police Department
2,0,Police Department
6,4,Office of the Comptroller
1,0,Police Department
11,7,Office of Management and Budget
1,0,Police Department
1,0,Law Department
1,0,NYC Employees Retirement System
4,2,Fire Department
17,11,Law Department
3,0,Office of the Comptroller
5,3,Office of the Comptroller
1,1,Law Department
1,1,Fire Department
2,0,Teachers Retirement System
1,0,Office of the Comptroller
1,1,Teachers Retirement System
9,0,Police Department
1,1,Teachers Retirement System
3,2,Police Department
3,0,Police Department
1,1,Office of the Comptroller
1,0,Law Department
1,0,Office of the Mayor
2,1,Fire Department
3,1,Police Department
3,0,Fire Department
1,0,Police Department
199,88,Office of the Mayor
2,2,Department of City Planning
2,0,Law Department
1,0,Police Department
4,2,Campaign Finance Board
3,1,Fire Department
18,17,Campaign Finance Board
9,0,Teachers Retirement System
1,0,Office of the Comptroller
2,0,Law Department
64,23,Office of Management and Budget
1,1,Fire Department
1,1,Office of the Mayor
1,1,Borough President - Bronx
1,1,Police Department
5,0,Police Department
1,1,Police Department
2,0,Fire Department
9,3,NYC Employees Retirement System
14,5,Office of the Comptroller
1,0,Police Department
1,0,Office of the Comptroller
1,0,NYC Employees Retirement System
1,0,Office of Emergency Management
12,0,Teachers Retirement System
1,0,Teachers Retirement System
1,0,Office of the Comptroller
3,1,Office of the Comptroller
1,0,NYC Employees Retirement System
5,4,Police Department
6,4,Office of the Comptroller
1,1,Office of the Mayor
18,0,Fire Department
45,8,NYC Employees Retirement System
1,1,Office of the Mayor
