dbn,school_name,admissions_methods
01M019,P.S. 019 Asher Levy,ES: Choice District
02M414,N.Y.C. Museum School,HS: Screened
01M315,The East Village Community School,ES: Choice District
02M158,P.S. 158 Bayard Taylor,ES: Zoned School
02M290,P.S. 290 Manhattan New School,ES: Zoned School
02M400,High School for Environmental Studies,"HS: Ed. Opt., Screened"
02M059,P.S. 059 Beekman Hill International,ES: Zoned School
02M625,High School of Graphic Communication Arts,HS: Phasing Out (no new admits)
01M140,P.S. 140 Nathan Straus,"ES: Choice District, MS: Screened"
02M413,School of the Future High School,"MS: Screened, HS: Screened"
03M208,P.S. 208 Alain L. Locke,ES: School-managed Admissions
02M570,Satellite Academy High School,Transfer School: School-managed Admissions
01M137,P.S. 137 John L. Bernstein,ES: Choice District
02M374,Gramercy Arts High School,"HS: Audition, Screened"
02M288,Food and Finance High School,HS: Limited Unscreened
03M149,P.S. 149 Sojourner Truth,"ES: Zoned School, MS: Screened"
02M542,Manhattan Bridges High School,HS: Screened: Language & Academics
04M012,Tag Young Scholars,"ES: Gifted & Talented School, MS: School-managed Admissions"
03M165,P.S. 165 Robert E. Simon,"ES: Zoned School, MS: Screened, Screened: Language"
04M038,P.S. 38 Roberto Clemente,ES: Zoned School
02M393,Business Of Sports School,HS: Limited Unscreened
01M292,Henry Street School for International Studies,"MS: Screened, HS: Limited Unscreened"
02M281,The River School,ES: Zoned School
02M442,"Ballet Tech, NYC Public School for Dance","ES: School-managed Admissions, MS: School-managed Admissions"
02M300,"Urban Assembly School of Design and Construction,",HS: Limited Unscreened
02M418,Millennium High School,HS: Screened
02M042,P.S. 042 Benjamin Altman,ES: Zoned School
01M458,Forsyth Satellite Academy,Transfer School: School-managed Admissions
02M600,The High School of Fashion Industries,HS: Audition
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,HS: Screened: Language
02M586,Harvey Milk High School,Transfer School: School-managed Admissions
03M243,M.S. 243 Center School,MS: School-managed Admissions
02M276,Battery Park City School,"ES: Zoned School, MS: Limited Unscreened"
02M002,P.S. 002 Meyer London,ES: Zoned School
03M334,The Anderson School,"ES: Gifted & Talented School, MS: School-managed Admissions"
03M860,Frederick Douglass Academy II Secondary School,"MS: Screened, HS: Ed. Opt., For Continuing 8th Graders"
02M313,"James Baldwin School, The: A School for Expedition",Transfer School: School-managed Admissions
02M312,New York City Lab Middle School for Collaborative,MS: Screened
02M534,Harvest Collegiate High School,HS: Limited Unscreened
02M177,Yorkville East Middle School,"MS: Limited Unscreened, Screened"
02M305,"Urban Assembly Academy of Government and Law, The",HS: Limited Unscreened
03M421,West Prep Academy,MS: Unscreened
02M130,P.S. 130 Hernando De Soto,ES: Zoned School
03M247,M.S. M247 Dual Language Middle School,MS: Screened: Language
01M363,Neighborhood School,ES: Choice District
02M520,Murry Bergtraum High School for Business Careers,"HS: Ed. Opt., Screened"
02M580,Richard R. Green High School of Teaching,HS: Ed. Opt.
02M234,P.S. 234 Independence School,ES: Zoned School
02M041,P.S. 041 Greenwich Village,ES: Zoned School
03M087,P.S. 087 William Sherman,ES: Zoned School
02M303,"Facing History School, The",HS: Limited Unscreened
04M050,P.S. 050 Vito Marcantonio,"ES: Zoned School, MS: Screened"
03M180,P.S. 180 Hugo Newman,"ES: Zoned School, MS: Screened"
02M543,New Design High School,HS: Ed. Opt.
02M183,P.S. 183 Robert L. Stevenson,ES: Zoned School
03M242,P.S. 242 - The Young Diplomats Magnet Academy,ES: Zoned School
03M333,P.S. 333 Manhattan School for Children,"ES: Non-Zoned School, MS: Screened"
02M347,The 47 American Sign Language & English Lower Scho,"ES: Non-Zoned School, MS: School-managed Admissions"
03M541,Manhattan / Hunter Science High School,HS: Screened
02M397,Spruce Street School,"ES: Zoned School, MS: Limited Unscreened"
