dbn,school_name,material_incidents,disability,weight,ethnicity_national_origin,gender_identity_expression
01M696,Bard High School Early College,*,0,0,0,0
12X248,"Metropolitan High School, The",6,0,*,0,0
11X514,The Bronxwood Preparatory Academy,*,0,0,0,0
12X251,Explorations Academy,*,0,0,0,0
08X530,Longwood Preparatory Academy,*,0,0,0,0
13K483,The Urban Assembly School for Law and Justice,*,0,0,0,0
02M520,Murry Bergtraum High School for Business Careers,0,0,0,0,0
01M650,Cascades High School,*,0,0,0,0
07X527,Bronx Leadership Academy II High School,6,0,*,0,0
08X312,Millennium Art Academy,*,0,0,0,*
13K670,Benjamin Banneker Academy,*,*,0,0,0
08X452,Gotham Collaborative High School,*,0,0,*,0
12X480,Bronx Regional High School,0,0,0,0,0
15K423,Brooklyn Frontiers High School,*,0,0,0,0
12X478,The Cinema School,6,0,*,0,*
02M294,Essex Street Academy,*,0,*,0,0
06M467,High School for Law and Public Service,0,0,0,0,0
13K616,Brooklyn High School for Leadership and Community,0,0,0,0,0
10x353,World View High School,0,0,0,0,0
01M509,Marta Valle High School,*,0,0,*,*
02M475,Stuyvesant High School,*,0,*,*,0
11X544,High School for Contemporary Arts,*,0,0,*,0
02M438,International High School at Union Square,*,0,0,*,0
06M462,The College Academy,*,0,0,0,*
02M047,47 The American Sign Language and English Secondar,0,0,0,0,0
08X282,Women's Academy of Excellence,*,0,0,0,0
13K575,Bedford Stuyvesant Preparatory High School,*,0,0,0,0
02M308,Lower Manhattan Arts Academy,*,*,0,0,0
02M615,Chelsea Career and Technical Education High School,*,0,0,0,0
02M600,The High School of Fashion Industries,*,0,0,0,0
14K477,East Williamsburg Scholars Academy,*,0,0,0,0
13K674,"City Polytechnic High School of Engineering, Archi",*,0,0,0,0
03M541,Manhattan / Hunter Science High School,0,0,0,0,0
03M417,Frank Mccourt High School,*,0,0,0,0
02M425,Leadership and Public Service High School,*,0,0,0,0
13K350,Urban Assembly School for Music and Art,*,0,0,0,0
11X542,Pelham Preparatory Academy,0,0,0,0,0
16K455,Boys and Girls High School,*,0,0,0,0
02M544,Independence High School,0,0,0,0,0
10X374,Knowledge and Power Preparatory Academy Internatio,*,0,0,0,0
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,0,0,0,0,0
02M529,Jacqueline Kennedy Onassis High School,*,0,0,0,0
15K667,Sunset Park High School,8,0,*,0,0
13K595,Bedford Academy High School,*,0,0,0,0
04M435,Manhattan Center for Science and Mathematics,*,*,0,0,0
08X537,Bronx Arena High School,*,0,0,0,0
04M680,"Heritage School, The",0,0,0,0,0
02M414,N.Y.C. Museum School,*,0,0,0,*
11X265,Bronx Lab School,9,0,0,0,*
02M507,Urban Assembly Gateway School for Technology,0,0,0,0,0
02M392,MANHATTAN BUSINESS ACADEMY,*,0,0,0,*
11X513,New World High School,0,0,0,0,0
12X511,Bronx Envision Academy,*,0,0,*,0
05M157,The Urban Assembly School for Global Commerce,*,0,0,0,0
11X288,Collegiate Institute for Math and Science,*,0,0,0,0
03M402,The Urban Assembly School for Green Careers,6,0,0,*,*
10X434,Belmont Preparatory High School,*,0,0,0,*
02M420,High School for Health Professions and Human Servi,0,0,0,0,0
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,*,0,0,0,0
09X404,School for Excellence,*,0,0,0,0
03M403,The Global Learning Collaborative,*,0,0,0,0
08X320,Pelham Lab High School,0,0,0,0,0
11X299,Astor Collegiate Academy,*,0,0,0,0
08X332,Holcombe L. Rucker School of Community Research,*,0,0,0,0
08X293,Renaissance High School for Musical Theater & Tech,*,0,0,0,0
10X440,DeWitt Clinton High School,0,0,0,0,0
08X348,Schuylerville Preparatory High School,8,0,0,0,0
