dbn,complaints,race
10X433,6,*
15K656,*,0
10X546,*,0
10X445,18,*
08X432,*,0
07X547,6,0
08X558,21,0
13K439,10,0
13K430,*,0
12X446,*,0
02M570,*,0
11X455,17,*
14K488,*,0
06M463,*,0
02M519,*,0
08X519,*,0
02M489,*,0
02M546,*,0
02M560,*,0
11X253,7,0
07X670,13,*
02M432,*,0
11X275,6,0
12X684,*,*
12X388,*,*
09X403,9,0
10X268,*,0
16K594,*,0
10X524,*,0
11X418,12,*
07X381,*,0
11X270,*,0
02M551,*,0
03M479,*,0
07X473,*,0
02M533,6,0
09X543,*,0
02M300,*,0
02M412,*,0
02M565,*,0
08X405,*,0
14K685,*,*
02M374,*,0
05M304,*,0
02M575,*,0
09X329,*,0
12X550,*,0
10X284,6,0
05M367,*,0
14K561,*,0
02M543,*,0
09X263,11,0
13K605,20,0
09X525,6,0
05M285,*,0
03M485,13,0
10x351,*,0
10X503,*,0
06M540,*,0
09X412,7,*
02M376,*,0
14K474,*,0
02M298,10,0
07X600,9,0
02M400,14,0
14K610,*,0
14K454,*,0
