school_district,average_ride_time_minutes_1,school_district_2
20,45,20
31,48,31
17,63,17
1,66,1
23,53,23
7,96,7
23,48,23
25,65,25
31,57,31
11,53,11
5,56,5
21,54,21
24,53,24
14,63,14
9,57,9
13,62,13
26,56,26
26,64,26
8,61,8
20,52,20
10,56,10
27,53,27
2,66,2
30,51,30
6,58,6
24,57,24
15,60,15
7,60,7
19,51,19
15,61,15
27,64,27
32,44,32
18,54,18
4,85,4
14,70,14
4,65,4
30,50,30
8,44,8
12,60,12
9,63,9
18,57,18
3,65,3
5,52,5
29,67,29
29,57,29
19,59,19
6,47,6
28,52,28
1,59,1
11,63,11
16,65,16
2,53,2
17,52,17
28,66,28
21,56,21
22,54,22
12,50,12
16,57,16
13,47,13
25,59,25
22,49,22
32,37,32
3,51,3
10,57,10
