average_ride_time_minutes
45
48
63
66
53
96
48
65
57
54
56
54
53
63
57
62
56
64
61
52
56
54
66
51
58
57
60
59
50
61
64
44
55
85
70
65
50
44
60
61
57
65
53
67
57
59
47
50
60
63
65
53
51
66
56
54
50
56
47
59
51
37
50
57
