school_district_1,average_ride_time_minutes_2
20,50
31,48
17,52
1,61
23,53
7,61
23,52
25,60
31,47
11,54
5,50
21,54
24,53
14,69
9,57
13,48
26,56
26,56
8,44
20,52
10,57
27,53
2,53
30,49
6,44
24,53
15,61
7,61
19,50
15,59
27,54
32,46
18,56
4,64
14,70
4,65
30,50
8,44
12,49
9,63
18,53
3,49
5,51
29,58
29,57
19,50
6,48
28,51
1,60
11,53
16,57
2,53
17,53
28,52
21,54
22,51
12,50
16,56
13,47
25,59
22,49
32,44
3,51
10,57
