long,landmarkdi,x,:@computed_region_yeji_bk3q
-73.891863744,no,1014212.20647,3.0
-73.9030567343,no,1011045.83813,5.0
-73.9940129752,no,985909.743388,4.0
-73.8650829411,no,1021671.69286,2.0
-1.904134e-10,,31130726.7325,
-73.9773331442,no,990529.865053,4.0
-73.990191772,no,986968.490286,4.0
-74.0752537996,no,963365.570628,1.0
-73.9612364116,no,994986.847281,4.0
-73.9662277865,no,993631.725647,2.0
-73.9900081922,no,987018.999371,4.0
-73.7944291975,no,1041245.95325,3.0
-73.8211191886,no,1033859.64289,3.0
-73.8731786026,no,1019423.93062,2.0
-74.0006639866,no,984065.997075,4.0
-73.9156963094,no,1007576.90347,5.0
-73.9207867228,no,1006172.7173,5.0
-73.891843759,no,1014184.1455,5.0
-73.9820233973,no,989229.512995,4.0
-73.9372934564,no,1001620.24445,3.0
-1.904134e-10,no,31130726.7325,
-73.9613941103,no,994952.837178,2.0
-73.9818987152,yes,989263.268833,4.0
-73.9348704691,no,1002269.16539,4.0
-73.8489274927,no,1026133.12915,3.0
-73.8928259515,no,1013945.8051,3.0
-73.9409956595,yes,1000610.70808,2.0
-73.9043016141,no,1010714.19345,5.0
-73.8326888132,no,1030631.58767,3.0
-74.0026654455,no,983511.225875,4.0
-73.9697653636,yes,992625.220114,4.0
-73.9616469924,no,994873.160172,4.0
-73.9688666794,yes,992874.03753,4.0
-73.8952241808,no,1013283.74999,3.0
-73.9920685419,no,986447.452942,4.0
-1.904134e-10,yes,31130726.7325,
-73.9441000639,no,999753.47259,2.0
-1.904134e-10,no,31130726.7325,
-73.9724734772,no,991883.355784,2.0
-73.8933818392,no,1013741.38097,5.0
-73.942422007,no,1000214.68033,2.0
-73.9932135738,no,986134.524106,2.0
-73.9551797666,no,996694.546293,2.0
-73.9529037807,no,997294.747849,4.0
-73.8454821123,no,1027081.68401,3.0
-73.9882819975,no,987499.747754,2.0
-73.9576838601,no,995988.496852,2.0
-73.9020549994,no,1011406.23242,3.0
-73.877453792,no,1018164.06405,5.0
-73.9862009394,no,988076.936888,2.0
-73.9855518442,no,988256.750833,2.0
-73.9928785445,no,986224.116447,4.0
-73.9145973345,no,1007930.82959,2.0
-73.8085079434,no,1037344.53553,3.0
-73.9442456576,no,999713.252198,2.0
-73.9954454112,no,985512.143133,4.0
-73.8697203965,no,1020368.93858,3.0
-73.9322719014,no,1002985.39592,4.0
-73.9522949973,no,997462.540492,4.0
-73.8267836783,no,1032235.99293,3.0
-73.9675093857,no,993249.722146,4.0
-73.9927794126,no,986251.222364,4.0
-1.904134e-10,,31130726.7325,
-73.9344549576,no,1002383.61464,4.0
-1.904134e-10,,31130726.7325,
-73.8275847237,no,1032018.90347,3.0
-74.1359510146,no,946510.967199,1.0
-73.9639291184,no,994242.006579,4.0
-73.9157923665,no,1007558.03506,5.0
-73.9578714465,no,995927.614428,2.0
-73.9696664606,no,992652.549128,4.0
-1.904134e-10,,31130726.7325,
-74.0054649241,yes,982735.449539,4.0
-73.9671184474,yes,993376.703847,2.0
-73.793802147,no,1041415.72293,3.0
-74.0058621176,no,982623.061641,2.0
-74.0133896545,no,980534.470018,2.0
-73.8543503335,no,1024545.58344,5.0
-73.9891528294,no,987255.628163,4.0
-74.0016424005,yes,983794.746633,4.0
-74.0111597773,no,981156.312606,4.0
-73.8203976738,no,1034059.45713,3.0
-73.9904464566,no,986902.239434,2.0
-73.9396411431,no,1001005.18006,2.0
-74.0133209219,no,980553.170768,2.0
-73.9973781231,no,984976.845319,4.0
-73.9904300992,no,986902.926113,4.0
-73.914267949,no,1008027.17192,2.0
-73.9834737185,no,988830.840236,4.0
-73.998439241,yes,984682.615921,4.0
-73.9614979423,no,994909.701438,4.0
-73.9512558192,no,997745.531396,4.0
-73.9291408238,no,1003896.12539,2.0
-1.904134e-10,no,31130726.7325,
-73.8345000003,no,1030091.8896,3.0
-73.8203450357,no,1034074.03978,3.0
-74.0019105837,yes,983720.487268,4.0
-73.9954958829,no,985498.069342,4.0
-73.8918159314,no,1014191.70815,5.0
-1.904134e-10,,31130726.7325,
-73.83004449,no,1031333.43961,3.0
-73.829636794,no,1031446.88821,3.0
-74.0073519727,no,982212.640874,4.0
-73.9281497115,no,1004123.40119,4.0
-1.904134e-10,,31130726.7325,
-73.9184541236,no,1006847.71168,3.0
-73.9734730109,yes,991596.205112,4.0
-74.0112609014,no,981124.955713,2.0
-73.8499790874,no,1025720.42623,5.0
-73.7960046592,no,1040809.65688,3.0
-74.0106050182,no,981306.996032,2.0
-1.904134e-10,,31130726.7325,
-73.9918035842,no,986522.108633,4.0
-1.904134e-10,,31130726.7325,
-73.9709301212,no,992303.554091,4.0
-73.9592050078,no,995558.88321,2.0
-73.9483194761,no,998563.159682,4.0
-73.9971341725,no,985044.440328,4.0
-74.0043055286,no,983056.866219,4.0
-73.9308794505,no,1003396.33834,3.0
-1.904134e-10,,31130726.7325,
-1.904134e-10,no,31130726.7325,
-73.9865797661,no,987968.737957,4.0
-73.7948109092,no,1041146.79794,3.0
-73.8251891818,no,1032654.29524,3.0
-73.9244705694,no,1005195.71827,2.0
-73.99309117,no,986164.952195,4.0
-73.9420335065,no,1000330.07478,2.0
-73.9378350104,no,1001474.56003,3.0
-1.904134e-10,no,31130726.7325,
-73.9645136031,no,994100.794919,2.0
-73.8700549177,no,1020254.08119,3.0
-1.904134e-10,no,31130726.7325,
-1.904134e-10,,31130726.7325,
-73.8204529105,no,1034044.15466,3.0
-73.9916681017,no,986558.490778,4.0
-1.904134e-10,,31130726.7325,
-73.8820847926,no,1016856.33373,5.0
-73.9945597192,yes,985757.949728,4.0
-73.8607550286,no,1022780.81203,5.0
-73.8549578532,no,1024377.70746,5.0
-73.9720794085,no,991984.935634,4.0
-1.904134e-10,,31130726.7325,
-73.9592932705,no,995545.606662,2.0
-74.0095522016,no,981601.9272,4.0
-73.9588190206,no,995665.468955,2.0
-73.9953010872,no,985554.81726,2.0
-73.9244504745,no,1005185.28194,3.0
-73.9651178544,no,993920.641408,2.0
-73.9539418795,no,997005.952166,4.0
-73.9595913299,no,995462.25906,2.0
-1.904134e-10,,31130726.7325,
-73.9711985897,no,992228.456144,4.0
-73.9540408345,no,997012.891785,2.0
-74.0141679132,no,980317.600701,2.0
-73.9176698283,no,1007057.80542,3.0
-73.9488618228,no,998450.983397,2.0
-73.9329428476,no,1002802.12725,4.0
-1.904134e-10,,31130726.7325,
-73.968333906,no,993038.370863,2.0
-73.9664873198,no,993534.397758,4.0
-73.9676913838,no,993199.354137,4.0
-1.904134e-10,,31130726.7325,
-73.9678048406,no,993189.786242,2.0
-73.8313864334,no,1030959.75532,3.0
-73.9424675211,no,1000201.99597,2.0
-73.9379527364,yes,1001459.08729,2.0
-73.8187380573,yes,1034519.31021,3.0
-73.8917750279,no,1014203.52341,5.0
-73.9168582919,no,1007282.28037,3.0
-73.8381267395,no,1029214.30901,3.0
-73.9861949849,no,988075.56714,4.0
-73.8247184605,no,1032728.85972,5.0
-73.8290266761,no,1031616.95053,3.0
-74.0012995127,yes,983889.840603,4.0
-73.9596473211,no,995446.672477,2.0
-73.9692195374,yes,992776.340875,4.0
-73.8884428023,no,1015115.79324,5.0
-73.8989711429,no,1012195.19246,5.0
-73.8972906552,no,1012660.22401,5.0
-73.9931620915,yes,986145.274741,4.0
-1.904134e-10,no,31130726.7325,
-73.9744441976,no,991326.434326,4.0
-73.8918622833,no,1014178.92405,5.0
-1.904134e-10,no,31130726.7325,
-73.9986384365,yes,984627.404745,4.0
-73.8918243135,no,1014189.62613,5.0
-73.994173339,no,985864.376681,4.0
-73.9732092398,no,991679.318463,2.0
-73.9511335705,no,997794.756035,2.0
-73.9433305464,no,999939.898726,4.0
-73.8194753288,no,1034314.93923,3.0
-73.9419926863,no,1000334.12366,2.0
-1.904134e-10,,31130726.7325,
-1.904134e-10,,31130726.7325,
-74.0023920097,yes,983587.059713,4.0
-1.904134e-10,,31130726.7325,
-73.9660927531,no,993641.839144,4.0
-73.9599609719,no,995368.972173,2.0
-73.9977554928,yes,984872.18772,4.0
