prop_location,jurisdiction
"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",DPR
"Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.",DPR
Lands underwater bet. B. 2 St. and B. 73 St.,DPR
"ROCKAWAY AND BROOKVILLE BLVDS, HOOK CREEK BASIN",DPR
WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (1),DPR
East River and Harlem River,DPR
SOUTH FERRY TO E 125 ST ALONG EAST RIVER,DPR
SURF AVE BETWEEN SEABREEZE AVE & WEST 5TH ST (1),DPR
"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",DPR
"MANHATTAN ST DEAD END, SOUTH OF BILLOP AVE",DPR
BAILEY & 234 ST,DPR
BEACH 11TH STREET & SEAGIRT BOULEVARD & HEYSON RD,DPR
FURMAN & CRANBERRY WEST SIDE OF BQE,DPR
"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",DPR
BRONX BLVD & CARPENTER AVE & 219 ST (1),DPR
,DPR
BEACH 116 ST & OCEAN PROMENADE (S),DPR
FROM HALL OF FAME TERR TO VAN CORTLAND PK SOUTH,DPR
"65 PLACE, LAUREL HILL BLVD, BKLYN-QNS EXWY",DPR
BAILEY AVE & VAN CORTLANDT PARK SOUTH,DPR
BRUCKNER BLVD TO THROGS NECK BRIDGE,DPR
City Island Ave. bet. Fordham St. and Hawkins St.,DPR
"Corbin Pl. to W. 37 St., Boardwalk",DPR
"75 ST, ROOSEVELT TO WOODSIDE AVE",DPR
"38 ST, 24 AVE, ASTORIA BLVD NORTH",DPR
FREDERICK DOUGLASS BLVD & 110TH ST (SW),DPR
WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (2),DPR
Lands underwater bet. B. 2 St. and B. 73 St.,DPR
test,DPR
"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",DPR
"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",DPR
QUEENS BLVD TO SHORE PKWY,DPR
SPRINGFIELD BLVD BET. 112 AVE & 113 ST (2),DPR
LITTLE BAY & HILLSIDE AVE,DPR
"NORTH GANNON AVE, VICTORY BLVD, NEPTUNE AVE",DPR
FREDERICK DOUGLASS BLVD & 110TH ST (NE),DPR
DRUMGOOLE ROAD EAST & EDGEGROVE AVE,DPR
"KENT AVE, BET N 4 ST & N 5 ST",DPR
"Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.",DPR
"69 AVE , 188 ST TO 193 LA",DPR
BERT RD S/O 2 RD,DPR
"CROTONA PARK NORTH, E. 175 ST & SOUTHERN BLVD",DPR
"Corbin Pl. to W. 37 St., Boardwalk",DPR
92ND STREET & FDR DRIVE (EAST),DPR
19TH ST. BETWEEN 10 AVE & 11 AVE.,DPR
,DPR
"HILLSIDE AV, METROPOLITAN AV, 129 ST",DPR
WASHINGTON BRIDGE TO THROGS NECK BRIDGE,DPR
Lands underwater bet. B. 2 St. and B. 73 St.,DPR
"44 RD, VERNON BOULEVARD AND 43 AVE",DPR
"Corbin Pl. to W. 37 St., Boardwalk",DPR
"Corbin Pl. to W. 37 St., Boardwalk",DPR
"Court House, Worth, Pearl, Centre, Duane",DPR
SURF AVE BET. SEABREEZE AVE & WEST 5 ST (4),DPR
"RIVERSIDE PARK, 119TH ST",DPR
"Corbin Pl. to W. 37 St., Boardwalk",DPR
"246 ST, NORTH CONDUIT AVENUE",DPR
"237 ST, 130 AVE",DPR
East River and Harlem River,DPR
"OCEAN TERRACE, MILFORD DRIVE",DPR
Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,DPR
Lands underwater bet. B. 2 St. and B. 73 St.,DPR
KINGS CO LINE TO SOUTHERN PKWY,DPR
"Corbin Pl. to W. 37 St., Boardwalk",DPR
(CENTER) SEAGIRT BLVD &    ROCKAWAY FREEWAY (2),DPR
East River and Hell Gate,DPR
LILY POND & VERRAZANO-NARROWS BRIDGE,DPR
Atlantic Ocean bet. B. 149 St. and B. 126 St.,DPR
"Merrick Blvd. bet. 115 Ave., 116 Ave., and Baisley Blvd.",DPR
Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,DPR
"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",DPR
ESPLANADE AVE & HAIGHT AVE & LURTING AVE,DPR
"79 ST, 157 AV (DOT FENCE)",DPR
SHERIDAN AVE & SUTTER AVE,DPR
"Merrick Blvd. bet. 115 Ave., 116 Ave., and Baisley Blvd.",DPR
"SELFRIDGE, MANSE STS & 68 AVE",DPR
Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,DPR
"W/S BECK ST, N/S INTERVALE AVE",DPR
111TH ST. & 47TH AVE.,DPR
W. Fordham Rd. bet. Sedgwick Ave. and Un,DPR
"Foley Sq, Duane St, Centre St",DPR
,DPR
Lands underwater bet. B. 2 St. and B. 73 St.,DPR
HENRY HUDSON PKWY EAST (SERVICE ROAD) & 239 ST,DPR
Lands underwater bet. B. 2 St. and B. 73 St.,DPR
"STEUBEN ST, OLGA PLACE",DPR
UTOPIA PKWY BET. 50 AVE & 56 AVE,DPR
GIL BLOOM CIRCLE TO FT WADSWORTH,DPR
HUDSON RIVER BET. W. 137 ST & W. 145 ST,DPR
"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",DPR
"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",DPR
"ALBEMARLE RD, BUCKINGHAM RD BET CONEY ISLAND AVE",DPR
Lands underwater bet. B. 2 St. and B. 73 St.,DPR
S/S OCEAN PKWY & SEA BREEZE AVE & SURF AVE,DPR
"211 ST, 99 TO HOLLIS AVES",DPR
DEWEY PLACE & GREAVES AVENUE,DPR
1251 Prospect Place (in B-245),DPR
"Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.",DPR
COLUMBUS CIRCLE (MEDIAN),DPR
BEACH 116 ST & OCEAN PROMENADE (CENTER),DPR
Atlantic Ocean bet. B. 149 St. and B. 126 St.,DPR
CENTRAL AVE. & CEDAR ST. & MYRTLE AVE.,DPR
Bronx River bet. Burke Ave. and the New York City-Westchester Line,DPR
34TH AVE MALLS (7),DPR
"Ocean Promenade, bet. Beach 126 St. and Beach 110 St.",DPR
404-16 E. 12th Street,DPR
BOARDWALK BET BEACH 20-17 STS,DPR
SURF AVE BETWEEN SEABREEZE AVE & WEST 5TH ST (2),DPR
FREDERICK DOUGLASS BLVD & 110TH ST (NW),DPR
"81 St., 82 St., 15 Ave., 16 Ave.",DPR
Bronx River bet. Burke Ave. and the New York City-Westchester Line,DPR
BOARDWALK & BEACH 64-65 STS,DPR
East River and Harlem River,DPR
FLATBUSH AVE. & FULTON ST. & HUDSON AVE.,DPR
130 ROCHESTER AVE,DPR
W. Fordham Rd. bet. Sedgwick Ave. and Un,DPR
"HOYT AVE, 19 TO 21 STS",DPR
,DPR
Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,DPR
QUEENS BLVD TO NASSAU COUNTY LINE,DPR
QUEENS MIDTOWN TUNNEL TO QUEENS BLVD,DPR
PARKSIDE TO 3 AVES,DPR
"Corbin Pl. to W. 37 St., Boardwalk",DPR
GRAND CENTRAL PKWY & ASTORIA BLVD,DPR
CROSS BAY BLVD TO 150 ST,DPR
RICHMOND TERRACE B/W SI FERRY & SCHUYLER ST (PLANTERS),DPR
FREDERICK DOUGLASS BLVD. & 110TH ST. (SE),DPR
White Plains Rd. bet. E. 212 St. and Magenta St.,DPR
"LEFFERTS BLVD, AUSTIN ST",DPR
"Ocean Promenade, bet. Beach 126 St. and Beach 110 St.",DPR
"SPRING BLVD, BENNETT ST & SOUTHGATE PL",DPR
Bronx River bet. Burke Ave. and the New York City-Westchester Line,DPR
East River and Hell Gate,DPR
ARTHUR KILL RD & RICHMOND AVE (BUS STOP),DPR
"ROOSEVELT AVE, 60 ST, WOODSIDE AVE",DPR
Bronx River bet. Burke Ave. and the New York City-Westchester Line,DPR
East River and Harlem River,DPR
HARBOR AVE BET FOREST CT & DEAD END,DPR
"BRYANT AVE,  SENECA STREET",DPR
WEST END AVE TO KINGSBOROUGH COLLEGE,DPR
SHOREFRONT PKWY & BEACH 101 ST,DPR
5TH STREET & 48TH AVENUE,DPR
Bronx River bet. Burke Ave. and the New York City-Westchester Line,DPR
SPRINGFIELD BLVD BET. 112 AVE & 113 ST (1),DPR
"Corbin Pl. to W. 37 St., Boardwalk",DPR
BRONX PARK SOUTH & SOUTHERN BLVD (CROTONA MALLS 1),DPR
"Laurel Hill Terr, W 182 St (just Off Of Amsterdam)",DPR
,DPR
,DPR
Doscher St.,DPR
SURF AVE BET. SEABREEZE AVE & WEST 5 ST (3),DPR
34TH AVE MALLS (9),DPR
"LIBERTY AVE TO MAYVILLE ST, BRINKERHOFF AND FONDA",DPR
"CLOVE ROAD, LITTLE CLOVE ROAD,NARROWS ROAD NORTH",DPR
"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",DPR
"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",DPR
"Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.",DPR
WOODHAVEN BLVD BET. MYRTLE AVE & 83 AVE,DPR
"Bay St, Tier St, Echester Bay",DPR
East River and Harlem River,DPR
WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (3),DPR
City Island Ave bet. Centre St. and Winter St.,DPR
MOSHOLU PKWY & KAZIMIROFF BLVD,DPR
"OLGA PLACE, STEUBEN ST (NORTH), STEUBEN ST (SOUTH)",DPR
"N/S QUEENS-MIDTOWN EXWY, MAZEAU ST, 57 & 58 RD",DPR
RIVERSIDE DRIVE & 156TH ST,DPR
43 SNYDER AVE,DPR
BRONX BOULEVARD & EAST 219TH STREET & CARPENTER AVE (2),DPR
"HAMPTON BLVD EAST, 53-56 AVES",DPR
"HOLLIS COURT BLVD, JAMAICA TO HILLSIDE AVES",DPR
"43 AVE, 68 ST, W/S BKLYN-QUEENS EXWY",DPR
HARBOR AVE BET. SYLVAN & FOREST CT,DPR
Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,DPR
"BRYANT AVE, SENECA ST, LAFAYETTE ST",DPR
"MANHATTAN ST DEAD END, SOUTH OF BILLOP AVE",DPR
"Bqe, Montague St, East River",DPR
1919 PROSPECT AVE,
W. Fordham Rd. bet. Sedgwick Ave. and Un,DPR
