propnum,prop_location,category,rated
X002,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",Small Park,False
X147A,"Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.",Large Park,False
Q162,Lands underwater bet. B. 2 St. and B. 73 St.,Large Park,False
Q466,"ROCKAWAY AND BROOKVILLE BLVDS, HOOK CREEK BASIN",Large Park,False
QZ310,WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (1),Greenstreet,False
M104,East River and Harlem River,Large Park,False
M108,SOUTH FERRY TO E 125 ST ALONG EAST RIVER,Other,False
BZ304,SURF AVE BETWEEN SEABREEZE AVE & WEST 5TH ST (1),Greenstreet,False
X002,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",Large Park,False
RZ264,"MANHATTAN ST DEAD END, SOUTH OF BILLOP AVE",Greenstreet,False
X135,BAILEY & 234 ST,Small Park,False
QZ166,BEACH 11TH STREET & SEAGIRT BOULEVARD & HEYSON RD,Greenstreet,False
B233D11,FURMAN & CRANBERRY WEST SIDE OF BQE,Small Park,False
X002,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",Small Park,False
XZ293,BRONX BLVD & CARPENTER AVE & 219 ST (1),Greenstreet,False
Q001D,,Small Park,False
QZ650,BEACH 116 ST & OCEAN PROMENADE (S),Greenstreet,False
X150,FROM HALL OF FAME TERR TO VAN CORTLAND PK SOUTH,Other,False
QZ43,"65 PLACE, LAUREL HILL BLVD, BKLYN-QNS EXWY",Small Park,False
XZ332,BAILEY AVE & VAN CORTLANDT PARK SOUTH,Greenstreet,False
X191,BRUCKNER BLVD TO THROGS NECK BRIDGE,Other,False
X107,City Island Ave. bet. Fordham St. and Hawkins St.,Small Park,False
B169,"Corbin Pl. to W. 37 St., Boardwalk",Large Park,False
Q040A,"75 ST, ROOSEVELT TO WOODSIDE AVE",Small Park,False
QZ83,"38 ST, 24 AVE, ASTORIA BLVD NORTH",Small Park,False
MZ90,FREDERICK DOUGLASS BLVD & 110TH ST (SW),Greenstreet,False
QZ311,WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (2),Greenstreet,False
Q162,Lands underwater bet. B. 2 St. and B. 73 St.,Large Park,False
Q162I07,test,Small Park,False
X002,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",Large Park,False
X002,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",Small Park,False
Q220,QUEENS BLVD TO SHORE PKWY,Other,False
QZ634,SPRINGFIELD BLVD BET. 112 AVE & 113 ST (2),Greenstreet,False
Q387,LITTLE BAY & HILLSIDE AVE,Other,False
RZ16,"NORTH GANNON AVE, VICTORY BLVD, NEPTUNE AVE",Other,False
MZ92,FREDERICK DOUGLASS BLVD & 110TH ST (NE),Greenstreet,False
RZ66,DRUMGOOLE ROAD EAST & EDGEGROVE AVE,Greenstreet,False
BD07,"KENT AVE, BET N 4 ST & N 5 ST",Restrictive Declaration Site,False
X147A,"Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.",Large Park,False
QZ18,"69 AVE , 188 ST TO 193 LA",Small Park,True
Q078,BERT RD S/O 2 RD,Small Park,False
X010B,"CROTONA PARK NORTH, E. 175 ST & SOUTHERN BLVD",Small Park,False
B169,"Corbin Pl. to W. 37 St., Boardwalk",Large Park,False
M108L,92ND STREET & FDR DRIVE (EAST),Greenstreet,False
B255P,19TH ST. BETWEEN 10 AVE & 11 AVE.,Small Park,False
BZ347,,Greenstreet,False
QZ95,"HILLSIDE AV, METROPOLITAN AV, 129 ST",Small Park,True
X148,WASHINGTON BRIDGE TO THROGS NECK BRIDGE,Other,False
Q162,Lands underwater bet. B. 2 St. and B. 73 St.,Large Park,False
QZ44,"44 RD, VERNON BOULEVARD AND 43 AVE",Other,False
B169,"Corbin Pl. to W. 37 St., Boardwalk",Large Park,False
B169,"Corbin Pl. to W. 37 St., Boardwalk",Large Park,False
M030A,"Court House, Worth, Pearl, Centre, Duane",Small Park,False
BZ365,SURF AVE BET. SEABREEZE AVE & WEST 5 ST (4),Greenstreet,False
M071A,"RIVERSIDE PARK, 119TH ST",Small Park,False
B169,"Corbin Pl. to W. 37 St., Boardwalk",Large Park,False
QZ105,"246 ST, NORTH CONDUIT AVENUE",Small Park,False
Q027A,"237 ST, 130 AVE",Small Park,False
M104,East River and Harlem River,Large Park,False
RZ44,"OCEAN TERRACE, MILFORD DRIVE",Small Park,False
Q163,Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,Large Park,False
Q162,Lands underwater bet. B. 2 St. and B. 73 St.,Large Park,False
Q166,KINGS CO LINE TO SOUTHERN PKWY,Other,False
B169,"Corbin Pl. to W. 37 St., Boardwalk",Large Park,False
QZ169,(CENTER) SEAGIRT BLVD &    ROCKAWAY FREEWAY (2),Greenstreet,False
M107,East River and Hell Gate,Large Park,False
RZ60,LILY POND & VERRAZANO-NARROWS BRIDGE,Greenstreet,False
Q164,Atlantic Ocean bet. B. 149 St. and B. 126 St.,Large Park,False
Q448,"Merrick Blvd. bet. 115 Ave., 116 Ave., and Baisley Blvd.",Large Park,False
Q163,Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,Large Park,False
X002,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",Large Park,False
XZ65,ESPLANADE AVE & HAIGHT AVE & LURTING AVE,Greenstreet,False
QZ97,"79 ST, 157 AV (DOT FENCE)",Small Park,False
BZ164,SHERIDAN AVE & SUTTER AVE,Greenstreet,False
Q448,"Merrick Blvd. bet. 115 Ave., 116 Ave., and Baisley Blvd.",Large Park,False
QZ10,"SELFRIDGE, MANSE STS & 68 AVE",Greenstreet,False
Q163,Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,Large Park,False
X249,"W/S BECK ST, N/S INTERVALE AVE",Small Park,False
QZ143,111TH ST. & 47TH AVE.,Greenstreet,False
X013,W. Fordham Rd. bet. Sedgwick Ave. and Un,Small Park,False
M030B,"Foley Sq, Duane St, Centre St",Small Park,False
QZ324,,Greenstreet,False
Q162,Lands underwater bet. B. 2 St. and B. 73 St.,Large Park,False
XZ163,HENRY HUDSON PKWY EAST (SERVICE ROAD) & 239 ST,Greenstreet,False
Q162,Lands underwater bet. B. 2 St. and B. 73 St.,Large Park,False
RZ09,"STEUBEN ST, OLGA PLACE",Other,False
QZ490,UTOPIA PKWY BET. 50 AVE & 56 AVE,Greenstreet,False
R075,GIL BLOOM CIRCLE TO FT WADSWORTH,Other,False
MZ05,HUDSON RIVER BET. W. 137 ST & W. 145 ST,Other,False
X002,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",Small Park,False
X002,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",Large Park,False
BZ09,"ALBEMARLE RD, BUCKINGHAM RD BET CONEY ISLAND AVE",Small Park,False
Q162,Lands underwater bet. B. 2 St. and B. 73 St.,Large Park,False
B080B,S/S OCEAN PKWY & SEA BREEZE AVE & SURF AVE,Greenstreet,False
QZ42,"211 ST, 99 TO HOLLIS AVES",Small Park,True
RZ65,DEWEY PLACE & GREAVES AVENUE,Greenstreet,False
B245A,1251 Prospect Place (in B-245),Small Park,False
X147A,"Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.",Small Park,False
MZ68,COLUMBUS CIRCLE (MEDIAN),Greenstreet,False
QZ649,BEACH 116 ST & OCEAN PROMENADE (CENTER),Greenstreet,False
Q164,Atlantic Ocean bet. B. 149 St. and B. 126 St.,Large Park,False
BZ115,CENTRAL AVE. & CEDAR ST. & MYRTLE AVE.,Greenstreet,False
X004,Bronx River bet. Burke Ave. and the New York City-Westchester Line,Small Park,False
QZ270,34TH AVE MALLS (7),Greenstreet,False
Q050,"Ocean Promenade, bet. Beach 126 St. and Beach 110 St.",Large Park,False
M321A,404-16 E. 12th Street,Small Park,False
Q162I01,BOARDWALK BET BEACH 20-17 STS,Small Park,False
BZ308,SURF AVE BETWEEN SEABREEZE AVE & WEST 5TH ST (2),Greenstreet,False
MZ91,FREDERICK DOUGLASS BLVD & 110TH ST (NW),Greenstreet,False
BS74,"81 St., 82 St., 15 Ave., 16 Ave.",,False
X004,Bronx River bet. Burke Ave. and the New York City-Westchester Line,Greenstreet,False
Q162C,BOARDWALK & BEACH 64-65 STS,Other,False
M104,East River and Harlem River,Large Park,False
BZ111,FLATBUSH AVE. & FULTON ST. & HUDSON AVE.,Greenstreet,False
BS05,130 ROCHESTER AVE,Small Park,False
X013,W. Fordham Rd. bet. Sedgwick Ave. and Un,Small Park,False
Q066A,"HOYT AVE, 19 TO 21 STS",Small Park,False
Q372,,Small Park,False
Q163,Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,Large Park,False
Q357,QUEENS BLVD TO NASSAU COUNTY LINE,Other,False
Q360,QUEENS MIDTOWN TUNNEL TO QUEENS BLVD,Other,False
B255,PARKSIDE TO 3 AVES,Large Park,False
B169,"Corbin Pl. to W. 37 St., Boardwalk",Large Park,False
Q393,GRAND CENTRAL PKWY & ASTORIA BLVD,Other,False
Q418,CROSS BAY BLVD TO 150 ST,Other,False
RZ91,RICHMOND TERRACE B/W SI FERRY & SCHUYLER ST (PLANTERS),Greenstreet,False
MZ88,FREDERICK DOUGLASS BLVD. & 110TH ST. (SE),Greenstreet,False
X095,White Plains Rd. bet. E. 212 St. and Magenta St.,Small Park,False
QZ94,"LEFFERTS BLVD, AUSTIN ST",Small Park,False
Q050,"Ocean Promenade, bet. Beach 126 St. and Beach 110 St.",Large Park,False
QZ35,"SPRING BLVD, BENNETT ST & SOUTHGATE PL",Small Park,False
X004,Bronx River bet. Burke Ave. and the New York City-Westchester Line,Greenstreet,False
M107,East River and Hell Gate,Large Park,False
RZ116,ARTHUR KILL RD & RICHMOND AVE (BUS STOP),Greenstreet,False
Q198,"ROOSEVELT AVE, 60 ST, WOODSIDE AVE",Small Park,False
X004,Bronx River bet. Burke Ave. and the New York City-Westchester Line,Greenstreet,False
M104,East River and Harlem River,Large Park,False
RZ53,HARBOR AVE BET FOREST CT & DEAD END,Greenstreet,False
X231,"BRYANT AVE,  SENECA STREET",Small Park,False
BZ06,WEST END AVE TO KINGSBOROUGH COLLEGE,Small Park,False
QZ674,SHOREFRONT PKWY & BEACH 101 ST,Greenstreet,False
QD08,5TH STREET & 48TH AVENUE,Restrictive Declaration Site,False
X004,Bronx River bet. Burke Ave. and the New York City-Westchester Line,Small Park,False
QZ633,SPRINGFIELD BLVD BET. 112 AVE & 113 ST (1),Greenstreet,False
B169,"Corbin Pl. to W. 37 St., Boardwalk",Large Park,False
XZ314,BRONX PARK SOUTH & SOUTHERN BLVD (CROTONA MALLS 1),Greenstreet,False
M100,"Laurel Hill Terr, W 182 St (just Off Of Amsterdam)",Small Park,False
M208,,Other,False
RZ17A,,Greenstreet,False
B457,Doscher St.,Small Park,False
BZ364,SURF AVE BET. SEABREEZE AVE & WEST 5 ST (3),Greenstreet,False
QZ272,34TH AVE MALLS (9),Greenstreet,False
QZ16,"LIBERTY AVE TO MAYVILLE ST, BRINKERHOFF AND FONDA",Small Park,False
RZ07,"CLOVE ROAD, LITTLE CLOVE ROAD,NARROWS ROAD NORTH",Other,False
X002,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",Large Park,False
X002,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",Large Park,False
X147A,"Sheridan Exwy. bet. E. 174 St., E. 172 St. and Jennings St.",Large Park,False
QZ313,WOODHAVEN BLVD BET. MYRTLE AVE & 83 AVE,Greenstreet,False
X279,"Bay St, Tier St, Echester Bay",Large Park,False
M104,East River and Harlem River,Large Park,False
QZ312,WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (3),Greenstreet,False
X253,City Island Ave bet. Centre St. and Winter St.,Small Park,False
XZ120,MOSHOLU PKWY & KAZIMIROFF BLVD,Greenstreet,False
RZ08,"OLGA PLACE, STEUBEN ST (NORTH), STEUBEN ST (SOUTH)",Other,False
Q360Y,"N/S QUEENS-MIDTOWN EXWY, MAZEAU ST, 57 & 58 RD",Small Park,False
MZ187,RIVERSIDE DRIVE & 156TH ST,Greenstreet,False
BS11,43 SNYDER AVE,Small Park,False
XZ69,BRONX BOULEVARD & EAST 219TH STREET & CARPENTER AVE (2),Greenstreet,False
QZ26,"HAMPTON BLVD EAST, 53-56 AVES",Greenstreet,False
QZ40,"HOLLIS COURT BLVD, JAMAICA TO HILLSIDE AVES",Small Park,True
Q341,"43 AVE, 68 ST, W/S BKLYN-QUEENS EXWY",Other,False
RZ11,HARBOR AVE BET. SYLVAN & FOREST CT,Greenstreet,False
Q163,Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,Large Park,False
X231,"BRYANT AVE, SENECA ST, LAFAYETTE ST",Small Park,False
RZ265,"MANHATTAN ST DEAD END, SOUTH OF BILLOP AVE",Greenstreet,False
B437,"Bqe, Montague St, East River",Other,False
XS09,1919 PROSPECT AVE,,False
X013,W. Fordham Rd. bet. Sedgwick Ave. and Un,Small Park,False
