site_location,prop_name
"WARING AVE, BRONX PK E",Bronx Park
"E 174 To E 177 Sts, Bronx River, Amtrak And Bus Depot",Starlight Park
BTWN 56th PL. AND 62nd  ST,Rockaway Beach and Boardwalk
"ROCKAWAY AND BROOKVILLE BLVDS, HOOK CREEK BASIN",HOOK CREEK MARSH
WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (1),GREENSTREET
TENNIS CONCESSION/NRTH-BX KILL/SO-NYFD ACADEMY/EAST RVR/CONRAD TRESTLE,Randall's Island Park
SOUTH FERRY TO E 125 ST ALONG EAST RIVER,F D ROOSEVELT DR (7.7 MILES)
SURF AVE BETWEEN SEABREEZE AVE & WEST 5TH ST (1),GREENSTREET
KAZIMIROFF/DUNCOMB/BRONX PARK EAST/BRONX RIVER PKWY,Bronx Park
"MANHATTAN ST DEAD END, SOUTH OF BILLOP AVE",GREENSTREET
BAILEY & 234 ST,PLAYGROUND
BEACH 11TH STREET & SEAGIRT BOULEVARD & HEYSON RD,GREENSTREET
FURMAN & CRANBERRY WEST SIDE OF BQE,GRASS STRIP
"E. 226TH ST, BRONX BLVD",Bronx Park
BRONX BLVD & CARPENTER AVE & 219 ST (1),GREENSTREET
,BELL FIELD
BEACH 116 ST & OCEAN PROMENADE (S),GREENSTREET
FROM HALL OF FAME TERR TO VAN CORTLAND PK SOUTH,MAJOR DEEGAN EXWY (9.8 MILES)
"65 PLACE, LAUREL HILL BLVD, BKLYN-QNS EXWY",SITTING AREA (STATUE)
BAILEY AVE & VAN CORTLANDT PARK SOUTH,GREENSTREET
BRUCKNER BLVD TO THROGS NECK BRIDGE,THROGS NECK EXPRESSWAY
HAWKINS ST & CITY ISLAND AVE,Hawkins Park
CORBIN PL TO CONEY ISLAND AVE,Coney Island Beach & Boardwalk
"75 ST, ROOSEVELT TO WOODSIDE AVE",ELMJACK MALL
"38 ST, 24 AVE, ASTORIA BLVD NORTH",SEVEN OAKS
FREDERICK DOUGLASS BLVD & 110TH ST (SW),GREENSTREET
WOODHAVEN BLVD BET. 82 AVE & MYRTLE AVE (2),GREENSTREET
BTWN 126TH AND 138TH ST,Rockaway Beach and Boardwalk
test,PARK STRIP
DUNCOMB/NEREID AVE BRIDGE/BRONX BLVD/BRONX RIVER,Bronx Park
"E 204 ST, W/S BRONX PARK",Bronx Park
QUEENS BLVD TO SHORE PKWY,VAN WYCK EXPRESSWAY
SPRINGFIELD BLVD BET. 112 AVE & 113 ST (2),GREENSTREET
LITTLE BAY & HILLSIDE AVE,CLEARVIEW EXPWY
"NORTH GANNON AVE, VICTORY BLVD, NEPTUNE AVE",GREENSTREET
FREDERICK DOUGLASS BLVD & 110TH ST (NE),GREENSTREET
DRUMGOOLE ROAD EAST & EDGEGROVE AVE,GREENSTREET
"KENT AVE, BET N 4 ST & N 5 ST",NORTH 5th STREET PIER
"E 172 To Bridge N/o E 174 Sts, Sheridan Exwy, Bronx River",Starlight Park
"69 AVE , 188 ST TO 193 LA",MALL SIXTY-NINE
BERT RD S/O 2 RD,ERNIE'S PLACE
"CROTONA PARK NORTH, E. 175 ST & SOUTHERN BLVD",HYLAN PARK
W 10TH ST TO PIER,Coney Island Beach & Boardwalk
92ND STREET & FDR DRIVE (EAST),Greenstreet
19TH ST. BETWEEN 10 AVE & 11 AVE.,PARK
,GREENSTREET
"HILLSIDE AV, METROPOLITAN AV, 129 ST","SSG PATBOUVIER E ""BOBBY"" ORTIZ TRIANGLE"
WASHINGTON BRIDGE TO THROGS NECK BRIDGE,CROSS BRONX EXWY (6.2 MILES)
