school_bus_company_name,employee_type,month,employee_count
,,November,47
,,November,10
,,August,15
,,December,49
,,September,10
,,November,51
,,November,8
,,December,1
,,September,7
,,October,151
,,December,8
,,October,23
,Driver,July,5
,Driver&Attendant,July,1
,,September,74
,,September,0
,,October,4
,,December,164
,,October,11
,,December,75
,,December,14
,,October,231
ACCORD BUS LLC,Driver,July,24
,,October,0
,,November,122
,,December,8
,,November,7
,,September,153
,,November,2
,,November,2
,Driver&Attendant,July,3
,,December,22
,,August,7
ALLIED TRANSIT CORP.,Attendant,July,27
,,August,3
,,November,11
ANOTHER RIDE INC.,Attendant,July,5
,,September,83
,,December,1
,,September,2
,,November,7
,,December,7
,,December,7
,,August,11
,,November,7
,,August,73
ALINA SERVICES CORP.,Attendant,July,78
,,October,2
,,December,6
,Driver&Attendant,July,4
ALL AMERICAN SCHOOL BUS CORP.,Attendant,July,204
,,October,63
,,December,71
,,September,7
,,December,48
CHILDREN`S TRANS INC. (B2321),Attendant,July,13
,,August,79
,,September,7
,,November,0
,,August,59
,Driver,July,9
,,August,2
,,October,76
,,November,4
,,October,53
,,August,123
,,November,157
,,December,121
,,November,58
,,November,104
,,September,23
,,August,51
,,August,402
,,November,0
,,November,3
,,December,8
,,August,22
BOBBY`S BUS CO. INC.,Driver,July,151
,Driver,July,67
CAREFUL BUS SERVICE INC (B2192),Attendant,July,14
,Driver,July,48
,,November,386
,,August,10
,Driver&Attendant,July,5
,,September,0
,,August,571
,,August,1
,,October,7
,,October,2
,,December,66
,,October,49
,Driver,July,83
,,September,123
,Driver&Attendant,July,5
,Driver,July,211
,,October,0
,,December,0
,,November,165
,,September,2
,,November,22
,,September,400
,,September,1
,,November,75
,,October,10
,,October,108
,,September,103
,,November,1
,,August,41
,,October,1
,,October,7
,,October,566
,,September,229
,,October,169
,Driver,July,105
,,December,100
,,September,54
,,December,157
,,October,103
,,October,7
,,August,6
,,September,104
,,August,196
,,December,3
,,December,51
,Driver,July,1
,,December,58
ALL COUNTY BUS LLC (B2321),Attendant,July,49
,,August,7
,,November,58
,,September,14
,,August,0
,,October,390
,,December,2
,,August,45
B & F SKILLED INC.(B2192),Attendant,July,62
ACADEMY EXPRESS LLC,Driver,July,74
,Driver,July,38
,,October,58
,,November,72
,,November,567
,,December,567
,Driver&Attendant,July,2
,,December,252
,,August,5
,,September,573
,,September,57
,,September,55
,,September,4
,,November,9
,Driver&Attendant,July,2
,,August,64
,,December,59
,,November,103
,Driver,July,570
,,August,0
,,September,50
,,September,172
,,November,7
,,December,10
,,October,122
,,December,4
,,September,6
,,October,7
,,December,105
CAREFUL BUS,Attendant,July,124
,,August,2
,,August,10
,,October,3
,Driver,July,7
,,September,10
,,September,3
,,August,50
,,October,55
"BORO TRANSIT, INC.",Attendant,July,372
,,December,11
,,November,51
,,October,52
,Driver&Attendant,July,9
,,September,65
,,September,6
"ADDIES TRANSPORTATION, INC",Attendant,July,1
,,November,14
,,August,152
,,December,384
,,September,11
,,August,13
,,November,65
,,September,54
,,October,72
"B & F SKILLED, INC.",Attendant,July,10
,,August,219
,,August,99
,,November,243
,,August,108
,,October,8
,,October,14
,,August,5
,,December,0
,,October,10
,,August,4
