year,marshal_last_name,assessment_fee,adjusted_gross_fee_poundage,net_income_marshal_s_office
2022,Smith,12690.91,248686.83,151575.74
2019,Marchisotto,11732.23,227382.96,-6596.37
2022,Giglio,17908.48,364632.8,222765.97
2018,"Rose, J.",59940.41,1298675.78,876802.86
2021,Locascio,45067.9,968175.58,809820.72
2021,Giachetta,17949.43,365542.9,235351.66
2018,Siracusa,61662.18,1336937.42,626254.04
2022,"Essock, G.",1574.25,1650.0,-12349.0
2019,Siracusa,61575.57,1335012.72,547662.3
2020,Renzulli,9522.02,178267.05,12959.49
2023,Giachetta,64997.87,1411063.75,1071701.49
2023,Renzulli,33272.06,706045.73,431481.64
2022,Swift,26408.96,553532.55,390893.66
2022,Rivera,46131.51,991811.42,683029.89
2022,"Essock, G. Jr.",17434.87,354108.33,161708.46
2018,Moses,145778.58,3206190.7,1458653.42
2019,"Essock, G. Jr.",27015.57,567012.64,263404.69
2019,Bia,40914.69,875882.0,75585.98
2020,Rivera,31228.9,660642.23,274109.55
2021,Barone,1817.5,7055.52,-71139.3
2019,Daley,108911.28,2386917.26,482702.44
2018,"Essock, G. Jr.",30291.54,639811.98,300896.04
2023,Guida Jr.,50257.19,1083493.2,294206.73
2019,Solimine,29318.92,618198.29,160250.54
2022,"Rose, J.",45709.44,982431.99,631610.72
2023,Biegel,137187.48,3015277.35,1127417.56
2020,"Essock, G. Jr.",11350.98,218910.74,80465.04
2022,Barone,7109.16,124647.89,25573.8
2020,McCoy,19004.64,388992.0,138368.83
2023,Daley,59027.8,1278395.5,312988.03
2020,"Rose, G",26233.55,549634.55,277313.14
2018,Hammer,4922.96,76065.76,-161602.1
2021,"Essock, G. Jr.",4427.25,65050.0,62272.48
2018,Guida Jr.,56709.6,1226880.0,294059.0
2023,Pagnotta,49150.14,1058891.94,566703.36
2019,Weinheim,36687.93,781953.99,145809.73
2020,Marchisotto,5684.71,92993.51,-39017.57
2019,Giachetta,43826.57,940590.35,530495.41
2019,"Bienstock, M.",146644.37,3225430.51,1535270.01
2018,"Rose, G.",65787.76,1428616.8,960427.96
2023,Regan,51953.3,1121184.54,876736.34
2018,Blake,18010.34,366896.54,142645.38
2023,Barone,20026.0,411688.97,110456.49
2020,Swift,11052.74,212283.08,80297.16
