city,state,appl_date,plate_type
NEW YORK,NY,2006-08-20T00:00:00.000,Passenger Car
NEW YORK,NY,2006-12-07T00:00:00.000,Passenger Car
NEW YORK,NY,2003-01-28T00:00:00.000,Passenger Car
NEW YORK,NY,2002-01-12T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2003-01-14T00:00:00.000,Passenger Car
NY,NY,2001-08-23T00:00:00.000,Passenger Car
NY,NY,2002-04-09T00:00:00.000,Passenger Car
NEW YORK,NY,2006-06-06T00:00:00.000,Passenger Car
NEW YORK,NY,2006-05-15T00:00:00.000,Passenger Car
NYC,NY,2006-12-27T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2006-01-05T00:00:00.000,Passenger Car
NEW YORK,NY,2005-01-21T00:00:00.000,Passenger Car
LONG ISLA,NY,2001-11-21T00:00:00.000,Passenger Car
NY,NY,2006-12-27T00:00:00.000,Passenger Car
NEW YORK,NY,2006-12-21T00:00:00.000,Passenger Car
L.I.C.,NY,2004-06-21T00:00:00.000,Passenger Car
NEW YORK,NY,2001-04-09T00:00:00.000,Passenger Car
NEW YORK,NY,2003-09-24T00:00:00.000,Passenger Car
NEW YORK,NY,2006-07-10T00:00:00.000,Passenger Car
JACKSON HGTS,NY,2005-02-02T00:00:00.000,Passenger Car
JAMAICA,NY,2002-04-18T00:00:00.000,Passenger Car
NEW YORK,NY,2001-08-30T00:00:00.000,Passenger Car
CORONA,NY,2004-12-17T00:00:00.000,Passenger Car
NEW YORK,NY,2006-01-24T00:00:00.000,Passenger Car
NEW YORK,NY,2001-07-31T00:00:00.000,Passenger Car
NEW YORK,NY,2005-01-20T00:00:00.000,Passenger Car
NYC,NY,2001-08-23T00:00:00.000,Passenger Car
NYC,NY,2006-12-27T00:00:00.000,Passenger Car
NEW YORK,NY,2004-06-07T00:00:00.000,Passenger Car
NY,NY,2003-07-11T00:00:00.000,Passenger Car
NY,NY,2002-04-09T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2006-12-18T00:00:00.000,Passenger Car
NEW YORK,NY,2004-05-20T00:00:00.000,Passenger Car
NEW YORK,NY,2004-12-20T00:00:00.000,Passenger Car
BRONX,NY,2004-12-17T00:00:00.000,Passenger Car
NEW YORK,NY,2006-02-01T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2004-12-21T00:00:00.000,Passenger Car
NY,NY,2005-02-02T00:00:00.000,Passenger Car
WOODSIDE,NY,2006-01-05T00:00:00.000,Passenger Car
JACKSON HGTS,NY,2003-02-20T00:00:00.000,Passenger Car
NEW YORK,NY,2006-12-18T00:00:00.000,Passenger Car
NYC,NY,2003-02-20T00:00:00.000,Passenger Car
NYC,NY,2005-02-02T00:00:00.000,Passenger Car
JACKSON HGTS,NY,2006-12-27T00:00:00.000,Passenger Car
NEW YORK,NY,2003-09-24T00:00:00.000,Passenger Car
NEW YORK,NY,2005-08-17T00:00:00.000,Passenger Car
NYC,NY,2001-08-23T00:00:00.000,Passenger Car
EAST ELMHURST,NY,2005-01-13T00:00:00.000,Passenger Car
NEW YORK,NY,2003-12-23T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2003-12-12T00:00:00.000,Passenger Car
NY,NY,2003-02-20T00:00:00.000,Passenger Car
NEW YORK,NY,2004-09-20T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2005-01-04T00:00:00.000,Passenger Car
NEW YORK,NY,2001-04-16T00:00:00.000,Passenger Car
NEW YORK,NY,2001-05-08T00:00:00.000,Passenger Car
NY,NY,2006-12-18T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2001-08-23T00:00:00.000,Passenger Car
NYC,NY,2002-04-09T00:00:00.000,Passenger Car
NEW YORK,NY,2003-12-24T00:00:00.000,Passenger Car
NEW YORK,NY,2002-01-16T00:00:00.000,Passenger Car
NEW YORK,NY,2006-07-12T00:00:00.000,Passenger Car
NY,NY,2005-02-02T00:00:00.000,Passenger Car
WOODSIDE,NY,2003-02-20T00:00:00.000,Passenger Car
BROOKLYN,NY,2003-02-20T00:00:00.000,Passenger Car
NEW YORK,NY,2002-03-26T00:00:00.000,Passenger Car
BROOKLYN,NY,2001-08-23T00:00:00.000,Passenger Car
WOODSIDE,NY,2002-04-09T00:00:00.000,Passenger Car
NEW YORK,NY,2005-02-03T00:00:00.000,Passenger Car
NYC,NY,2005-02-02T00:00:00.000,Passenger Car
NEW YORK,NY,2003-01-22T00:00:00.000,Passenger Car
NYC,NY,2006-12-18T00:00:00.000,Passenger Car
BROOKLYN,NY,2005-02-02T00:00:00.000,Passenger Car
NEW YORK,NY,2005-12-21T00:00:00.000,Passenger Car
NYC,NY,2006-01-05T00:00:00.000,Passenger Car
NEW YORK,NY,2001-04-30T00:00:00.000,Passenger Car
NEW YORK,NY,2003-07-09T00:00:00.000,Passenger Car
JACKSON HGTS,NY,2001-08-23T00:00:00.000,Passenger Car
NY,NY,2006-12-27T00:00:00.000,Passenger Car
BROOKLYN,NY,2003-10-23T00:00:00.000,Passenger Car
BROOKLYN,NY,2006-12-27T00:00:00.000,Passenger Car
NEW YORK,NY,2004-08-12T00:00:00.000,Passenger Car
BROOKLYN,NY,2006-06-22T00:00:00.000,Passenger Car
NEW YORK,NY,2002-02-15T00:00:00.000,Passenger Car
NEW YORK,NY,2003-01-24T00:00:00.000,Passenger Car
NYC,NY,2006-12-18T00:00:00.000,Passenger Car
JACKSON HGTS,NY,2006-01-05T00:00:00.000,Passenger Car
NEW YORK,NY,2003-07-10T00:00:00.000,Passenger Car
NY,NY,2005-02-02T00:00:00.000,Passenger Car
MANHATTAN,NY,2002-07-12T00:00:00.000,Passenger Car
BROOKLYN,NY,2005-02-02T00:00:00.000,Passenger Car
NEW YORK,NY,2005-06-06T00:00:00.000,Passenger Car
NY,NY,2001-08-23T00:00:00.000,Passenger Car
NY,NY,2006-12-27T00:00:00.000,Passenger Car
BROOKLYN,NY,2003-07-11T00:00:00.000,Passenger Car
NEW YORK,NY,2004-12-28T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2002-04-09T00:00:00.000,Passenger Car
NYC,NY,2005-02-02T00:00:00.000,Passenger Car
BROOKLYN,NY,2003-09-24T00:00:00.000,Passenger Car
NEW YORK,NY,2003-09-27T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2001-10-31T00:00:00.000,Passenger Car
NYC,NY,2003-02-20T00:00:00.000,Passenger Car
NY,NY,2001-08-23T00:00:00.000,Passenger Car
NYC,NY,2003-02-20T00:00:00.000,Passenger Car
NEW YORK,NY,2003-10-23T00:00:00.000,Passenger Car
NEW YORK,NY,2006-07-10T00:00:00.000,Passenger Car
NYC,NY,2006-01-05T00:00:00.000,Passenger Car
NY,NY,2003-02-20T00:00:00.000,Passenger Car
BKLYN,NY,2004-12-17T00:00:00.000,Passenger Car
NEW YORK,NY,2006-01-04T00:00:00.000,Passenger Car
BROOKLYN,NY,2004-12-17T00:00:00.000,Passenger Car
NEW YORK,NY,2001-07-02T00:00:00.000,Passenger Car
BROOKLYN,NY,2006-01-05T00:00:00.000,Passenger Car
NYC,NY,2006-12-27T00:00:00.000,Passenger Car
NEW YORK,NY,2003-02-19T00:00:00.000,Passenger Car
NY,NY,2005-02-02T00:00:00.000,Passenger Car
BROOKLYN,NY,2006-12-18T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2003-02-20T00:00:00.000,Passenger Car
BRONX,NY,2003-09-24T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2001-07-02T00:00:00.000,Passenger Car
JACKSON HGTS,NY,2002-04-09T00:00:00.000,Passenger Car
NYC,NY,2006-01-05T00:00:00.000,Passenger Car
NEW YORK,NY,2003-03-04T00:00:00.000,Passenger Car
NYC,NY,2002-04-09T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2003-12-12T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2001-04-17T00:00:00.000,Passenger Car
NEW YORK,NY,2002-04-02T00:00:00.000,Passenger Car
NEW YORK,NY,2006-07-10T00:00:00.000,Passenger Car
BROOKLYN,NY,2003-01-28T00:00:00.000,Passenger Car
NY,NY,2006-01-05T00:00:00.000,Passenger Car
NY,NY,2003-02-20T00:00:00.000,Passenger Car
NEW YORK,NY,2005-01-19T00:00:00.000,Passenger Car
NY,NY,2003-02-20T00:00:00.000,Passenger Car
NY,NY,2006-01-05T00:00:00.000,Passenger Car
NYC,NY,2005-02-02T00:00:00.000,Passenger Car
NEW YORK,NY,2004-12-17T00:00:00.000,Passenger Car
NEW YORK,NY,2001-06-29T00:00:00.000,Passenger Car
BROOKLYN,NY,2001-08-23T00:00:00.000,Passenger Car
BROOKLYN,NY,2006-12-27T00:00:00.000,Passenger Car
NEW YORK,NY,2006-07-10T00:00:00.000,Passenger Car
NEW YORK,NY,2006-12-13T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2006-12-27T00:00:00.000,Passenger Car
NY,NY,2006-01-05T00:00:00.000,Passenger Car
STATEN ISLAND,NY,2004-12-17T00:00:00.000,Passenger Car
NY,NY,2001-08-23T00:00:00.000,Passenger Car
NEW YORK,NY,2004-12-14T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2003-01-14T00:00:00.000,Passenger Car
NEW YORK,NY,2004-10-28T00:00:00.000,Passenger Car
NY,NY,2003-01-28T00:00:00.000,Passenger Car
QUEENS,NY,2004-12-17T00:00:00.000,Passenger Car
NEW YORK,NY,2003-12-19T00:00:00.000,Passenger Car
NEW YORK,NY,2004-09-20T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2001-10-23T00:00:00.000,Passenger Car
NEW YORK,NY,2005-01-20T00:00:00.000,Passenger Car
NEW YORK,NY,2006-07-10T00:00:00.000,Passenger Car
NEW YORK,NY,2003-02-03T00:00:00.000,Passenger Car
BROOKLYN,NY,2006-01-05T00:00:00.000,Passenger Car
NEW YORK,NY,2003-12-23T00:00:00.000,Passenger Car
NEW YORK,NY,2003-12-30T00:00:00.000,Passenger Car
NEW YORK,NY,2004-12-17T00:00:00.000,Passenger Car
NY,NY,2006-12-18T00:00:00.000,Passenger Car
NYC,NY,2006-01-05T00:00:00.000,Passenger Car
BROOKLYN,NY,2002-04-09T00:00:00.000,Passenger Car
NY,NY,2006-12-18T00:00:00.000,Passenger Car
NYC,NY,2001-08-23T00:00:00.000,Passenger Car
NYC,NY,2006-12-18T00:00:00.000,Passenger Car
NYC,NY,2002-04-09T00:00:00.000,Passenger Car
WOODSIDE,NY,2006-12-27T00:00:00.000,Passenger Car
WOODSIDE,NY,2001-08-23T00:00:00.000,Passenger Car
NEW YORK,NY,2001-03-17T00:00:00.000,Passenger Car
JACKSON HGTS,NY,2006-12-18T00:00:00.000,Passenger Car
BROOKLYN,NY,2002-04-09T00:00:00.000,Passenger Car
NYC,NY,2006-12-27T00:00:00.000,Passenger Car
NYC,NY,2001-08-23T00:00:00.000,Passenger Car
NYC,NY,2006-12-18T00:00:00.000,Passenger Car
NEW YORK,NY,2003-09-24T00:00:00.000,Passenger Car
NYC,NY,2002-04-09T00:00:00.000,Passenger Car
NY,NY,2002-04-09T00:00:00.000,Passenger Car
BROOKLYN,NY,2006-12-18T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2004-08-12T00:00:00.000,Passenger Car
WOODSIDE,NY,2005-02-02T00:00:00.000,Passenger Car
NEW YORK,NY,2005-12-20T00:00:00.000,Passenger Car
NEW YORK,NY,2003-01-13T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2001-10-23T00:00:00.000,Passenger Car
NY,NY,2006-01-05T00:00:00.000,Passenger Car
NY,NY,2006-12-18T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2006-12-19T00:00:00.000,Passenger Car
NY,NY,2006-12-27T00:00:00.000,Passenger Car
NEW YORK,NY,2004-08-12T00:00:00.000,Passenger Car
NEW YORK,NY,2004-06-07T00:00:00.000,Passenger Car
NEW YORK,NY,2002-01-08T00:00:00.000,Passenger Car
NY,NY,2002-04-09T00:00:00.000,Passenger Car
NEW YORK,NY,2006-07-12T00:00:00.000,Passenger Car
NYC,NY,2003-02-20T00:00:00.000,Passenger Car
NEW YORK,NY,2003-01-06T00:00:00.000,Passenger Car
NEW YORK,NY,2005-06-09T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2005-02-02T00:00:00.000,Passenger Car
WOODSIDE,NY,2006-12-18T00:00:00.000,Passenger Car
LONG ISLAND CITY,NY,2001-10-31T00:00:00.000,Passenger Car
BROOKLYN,NY,2003-02-20T00:00:00.000,Passenger Car
FLUSHING,NY,2003-09-24T00:00:00.000,Passenger Car
