sce_tot,dftaid,hpp_tot
25,10101,11
68,10101,21
57,10101,37
26,10101,35
32,10101,8
0,10101,0
0,10101,0
34,10101,81
45,10101,7
27,10101,48
52,10101,20
34,10101,50
17,10101,7
8,10101,5
0,10101,0
32,10101,14
0,10101,0
26,10101,44
48,10101,36
52,10101,19
34,10101,29
36,10101,16
53,10101,45
60,10101,19
24,10101,85
8,10101,50
45,10101,29
35,10101,51
45,10101,24
17,10101,7
52,10101,29
35,10101,34
0,10101,0
16,10101,68
39,10101,23
18,10101,25
31,10101,58
37,10101,70
43,10101,39
55,10101,34
47,10101,9
11,10101,20
23,10101,70
60,10101,20
44,10101,11
14,10101,19
64,10101,27
0,10101,7
19,10101,7
40,10101,29
44,10101,44
43,10101,21
42,10101,48
44,10101,5
54,10101,6
27,10101,63
54,10101,28
49,10101,21
13,10101,18
38,10101,61
24,10101,7
49,10101,65
38,10101,9
40,10101,45
31,10101,19
36,10101,16
33,10101,47
0,10101,0
30,10101,20
42,10101,18
40,10101,36
32,10101,58
34,10101,8
0,10101,0
0,10101,0
48,10101,32
29,10101,5
0,10101,0
7,10101,66
48,10101,21
0,10101,0
33,10101,20
37,10101,14
34,10101,11
0,10101,0
23,10101,26
0,10101,0
22,10101,55
0,10101,0
37,10101,7
20,10101,40
48,10101,55
30,10101,26
30,10101,7
31,10101,8
25,10101,44
45,10101,58
79,10101,19
55,10101,13
50,10101,16
43,10101,7
14,10101,112
48,10101,70
0,10101,0
18,10101,40
37,10101,30
47,10101,29
14,10101,51
27,10101,55
74,10101,42
48,10101,22
45,10101,28
33,10101,46
0,10101,0
23,10101,10
0,10101,0
42,10101,8
33,10101,49
14,10101,62
59,10101,29
25,10101,34
25,10101,16
0,10101,0
58,10101,38
47,10101,6
28,10101,20
76,10101,34
22,10101,12
42,10101,49
0,10101,0
37,10101,55
37,10101,27
21,10101,17
13,10101,30
40,10101,19
0,10101,0
24,10101,17
26,10101,76
49,10101,24
0,10101,0
42,10101,30
23,10101,70
30,10101,17
0,10101,0
49,10101,39
29,10101,11
48,10101,21
21,10101,42
37,10101,32
30,10101,42
44,10101,38
65,10101,32
25,10101,12
73,10101,11
22,10101,36
0,10101,0
26,10101,5
52,10101,34
66,10101,18
0,10101,0
26,10101,64
48,10101,13
41,10101,25
18,10101,18
35,10101,66
0,10101,0
32,10101,71
34,10101,12
42,10101,40
0,10101,0
42,10101,17
81,10101,27
21,10101,7
29,10101,22
15,10101,7
22,10101,52
39,10101,61
30,10101,27
54,10101,37
44,10101,51
27,10101,82
38,10101,31
0,10101,0
27,10101,12
33,10101,34
34,10101,34
55,10101,21
39,10101,20
41,10101,46
0,10101,0
15,10101,14
31,10101,28
82,10101,40
34,10101,20
43,10101,23
46,10101,23
27,10101,8
30,10101,8
20,10101,37
39,10101,10
