total_daily,service_date
95,2020-01-02T00:00:00.000
118,2020-01-29T00:00:00.000
123,2020-03-23T00:00:00.000
76,2020-01-31T00:00:00.000
105,2019-08-29T00:00:00.000
144,2019-11-04T00:00:00.000
97,2019-09-12T00:00:00.000
103,2019-12-05T00:00:00.000
86,2020-01-24T00:00:00.000
81,2019-07-19T00:00:00.000
76,2019-09-06T00:00:00.000
119,2020-02-18T00:00:00.000
94,2019-10-11T00:00:00.000
