dbn,total_parent_response_rate,total_teacher_response_rate,total_student_response_rate,school_name
02M442,85,78,100,"Ballet Tech, NYC Public School for Dance"
02M011,66,100,,P.S. 011 William T. Harris
01M539_A,,,,"New Explorations into Science, Technology and Math High School"
02M296,30,90,79,High School of Hospitality Management
01M110,75,79,,P.S. 110 Florence Nightingale
03M163,41,87,,P.S. 163 Alfred E. Smith
02M281,71,100,,The River School
01M184,84,81,100,P.S. 184m Shuang Wen
01M450_A,,,,East Side Community School
02M422_A,,,,Quest to Learn
02M397,58,76,,SPRUCE STREET SCHOOL
02M438,26,67,66,International High School at Union Square
02M225,35,77,81,Ella Baker School
02M600,29,88,92,The High School of Fashion Industries
02M507,27,94,79,Urban Assembly Gateway School for Technology
02M407_A,,,,Institute for Collaborative Education
01M450,44,94,82,East Side Community School
03M250,54,100,95,M.S. 250 West Side Collaborative Middle School
03M054,52,86,97,J.H.S. 054 Booker T. Washington
01M450_B,,,,East Side Community School
01M134,47,93,,P.S. 134 Henrietta Szold
03M075,42,90,,P.S. 075 Emily Dickinson
01M015,62,100,,P.S. 015 Roberto Clemente
02M400,13,97,74,High School for Environmental Studies
03M199,44,85,,P.S. 199 Jessie Isador Straus
02M376,51,90,81,NYC iSchool
02M422,49,80,85,Quest to Learn
01M361,32,75,,The Children's Workshop School
02M104,82,99,97,J.H.S. 104 Simon Baruch
02M002,81,76,,P.S. 002 Meyer London
02M276,51,68,94,BATTERY PARK CITY SCHOOL
02M303,41,100,85,"Facing History School, The"
02M394,84,100,91,EMMA LAZARUS HIGH SCHOOL
02M167,58,93,90,J.H.S. 167 Robert F. Wagner
01M142,85,89,,P.S. 142 Amalia Castro
02M313,28,100,43,"James Baldwin School, The: A School for Expeditionary Learning"
01M378,75,100,90,School for Global Leaders
03M191,89,89,96,P.S. 191 Amsterdam
02M130,83,100,,P.S. 130 Hernando De Soto
02M527,80,100,,PS 527 - East Side School for Social Action
02M177,94,100,100,Yorkville East Middle School
01M363,66,81,,Neighborhood School
03M145,70,93,,"P.S. 145, The Bloomingdale School"
02M407,36,100,83,Institute for Collaborative Education
02M460,23,46,47,Washington Irving High School
02M089,61,100,,P.S. 89
02M411,38,76,82,Baruch College Campus High School
02M520,8,41,42,Murry Bergtraum High School for Business Careers
02M234,79,73,,P.S. 234 Independence School
02M413_B,,,,School of the Future High School
02M432,19,93,91,Murray Hill Academy
02M413_A,,,,School of the Future High School
02M158,42,53,,P.S. 158 Bayard Taylor
02M047,29,95,82,47 The American Sign Language and English Secondary School
02M139,37,100,94,Stephen T. Mather Building Arts & Craftsmanship High School
02M290,58,90,,P.S. 290 Manhattan New School
03M208,87,100,,P.S. 208 Alain L. Locke
01M140,45,88,97,P.S. 140 Nathan Straus
03M185,100,100,,P.S. 185 - The Early Childhood Discovery and Design Magnet School
01M515,64,97,82,Lower East Side Preparatory High School
01M301,26,83,88,"Technology, Arts, and Sciences Studio"
01M292,29,100,73,Henry Street School for International Studies
02M546,44,93,90,Academy for Software Engineering
01M063,49,85,,The STAR Academy - P.S.63
02M519,28,76,96,Talent Unlimited High School
01M539,45,56,85,"New Explorations into Science, Technology and Math High School"
02M459,74,82,87,Manhattan International High School
02M183,57,81,,P.S. 183 Robert L. Stevenson
02M408,33,88,83,Professional Performing Arts High School
02M305,19,95,84,"Urban Assembly Academy of Government and Law, The"
02M116,38,89,,P.S. 116 Mary Lindley Murray
02M533,42,79,75,Union Square Academy for Health Sciences
02M033,66,68,,P.S. 033 Chelsea Prep
02M343,76,83,,The Peck Slip School
02M439,70,93,99,Manhattan Village Academy
01M292_A,,,,Henry Street School for International Studies
01M137,70,65,,P.S. 137 John L. Bernstein
03M166,65,100,,P.S. 166 The Richard Rodgers School of The Arts and Technology
03M149,61,62,95,P.S. 149 Sojourner Truth
02M392,34,100,80,MANHATTAN BUSINESS ACADEMY
01M064,25,61,,P.S. 064 Robert Simon
02M300,16,93,77,"Urban Assembly School of Design and Construction, The"
02M298,86,100,94,Pace High School
