received_a_referral_for_social
<5
0
0
0
< 5
16
< 5
< 5
< 5
0
0
0
6
117
< 5
0
6
0
0
0
0
< 5
< 5
<5
40
< 5
0
0
< 5
0
0
0
8
0
< 5
0
< 5
0
0
0
9
5
<5
< 5
<5
< 5
0
0
0
< 5
6
0
< 5
12
38
0
11
19
12
14
0
25
<5
< 5
0
0
0
6
5
< 5
0
0
5
0
7
0
23
< 5
0
< 5
< 5
<5
0
< 5
0
0
6
0
0
23
94
< 5
19
< 5
5
< 5
< 5
< 5
0
< 5
0
0
< 5
11
25
6
< 5
0
0
0
0
0
0
< 5
8
11
< 5
7
0
<5
0
11
0
0
0
31
0
< 5
5
7
< 5
< 5
0
< 5
11
9
0
5
< 5
0
< 5
10
0
<5
0
< 5
5
< 5
9
5
0
< 5
24
< 5
0
0
0
0
0
11
0
< 5
0
0
< 5
21
0
< 5
< 5
15
< 5
< 5
0
< 5
67
0
< 5
0
6
< 5
5
0
0
0
0
33
8
< 5
<5
< 5
0
<5
0
14
37
< 5
0
0
0
< 5
