record_id,applicant_name,license_application_number,record_type_category,city,lottery_application_order,lottery_priority_number
11-2022-ATDL,ATLANTIC SERVICE STATION INC,570-2023-ATRD,Lottery Application,BROOKLYN,1,5
17-2022-ATDL,FOUR SEASONS ORGANIC CORP,,Lottery Application,BROOKLYN,7,6
25-2022-ATDL,ALLAN I SALMAN,,Lottery Application,BRONX,15,2
6-2022-ATDL,KENAN EXPRESS DELI INC.,5411-2022-ATRD,Lottery Application,BROOKLYN,5,3
21-2022-ATDL,ADAMZ DELI & GRILL I CORP.,,Lottery Application,BROOKLYN,11,3
2-2022-ATDL,LA CUESTA GROCERY CORP,4644-2022-ATRD,Lottery Application,BROOKLYN,1,2
4-2022-ATDL,ST. NICK CANDY GROCERY INC.,4291-2022-ATRD,Lottery Application,NEW YORK,3,1
7-2022-ATDL,CASTEL EXPRESS GOURMET DELI INC,5300-2022-ATRD,Lottery Application,BRONX,6,2
3-2022-ATDL,DELI R US FOOD MARKET  INC,5165-2022-ATRD,Lottery Application,BRONX,2,1
