applicant_name,lottery_application_order_1,record_type_sub_type,application_submission_date,lottery_selection_date,selected_from_lottery
HIMYAR DELI GROCERY CORP,3,Tobacco Retail Dealer,2022-11-30T00:00:00.000,2022-12-15T00:00:00.000,No
HARI OM NEWSSTAND INC,2,Tobacco Retail Dealer,2022-05-31T00:00:00.000,2022-06-08T00:00:00.000,Yes
ABE'S GOURMET DELI CORP.,1,Tobacco Retail Dealer,2022-11-29T00:00:00.000,2022-12-15T00:00:00.000,Yes
CHESTNUT CONVENIENCE SHOP CORP,9,Tobacco Retail Dealer,2022-11-17T00:00:00.000,2022-12-15T00:00:00.000,Yes
MMM Party Supplies & Space Corp,2,Tobacco Retail Dealer,2022-11-29T00:00:00.000,2022-12-15T00:00:00.000,No
LOUNGE 420  INC,1,Tobacco Retail Dealer,2022-05-18T00:00:00.000,2022-06-08T00:00:00.000,Yes
G & N ENTERPRISE CORP. I,8,Tobacco Retail Dealer,2022-11-14T00:00:00.000,2022-12-15T00:00:00.000,Yes
AAA MORRIS GAS INC,3,Tobacco Retail Dealer,2022-11-30T00:00:00.000,2022-12-15T00:00:00.000,Yes
