location,borough
"Caldwell Avenue, East 163 Street, East 161 Street",Bronx
"Crescent-28 streets, 36 Avenue, 37 Avenue",Queens
McDonald Avenue & Avenue F,Brooklyn
113 Avenue & 196 Street,Queens
"Rockland, Manor and Brielle avenues, Forest Hill Road",Staten Island
Beach Channel Drive & Seaside Avenue,Queens
W 27 ST.,Brooklyn
"Bailey Avenue, Weast 233-West 238 streets",Bronx
"89 Avenue, 207 & 208 streets",Queens
Mid-park at 97th Street,Manhattan
Hope Street & Metropolitan Avenue,Brooklyn
23 Avenue to Ditmars Boulevard,Queens
115 Road between 218 & 219 streets,Queens
"Arthur Avenue, East 188 Street",Bronx
E 170 Street & Teller Avenue,Bronx
"Rockaway Boulevard, 125th Avenue, & Baisley Boulevard South",Queens
Bridge & Prospect streets,Brooklyn
109 Street between 46-47 avenues,Queens
"Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue",Bronx
"Catherine Slip, Madison & South streets",Manhattan
South of Flushing Avenue,Brooklyn
Atlantic & Fountain avenues,Brooklyn
"Yellowstone Boulevard, 65 Road, 65 Avenue",Queens
"Richmond Pkwy, Bloomingdale Rd., Lenevar Ave",Staten Island
Northern extreme of park,Manhattan
"Sharon, Olive streets, Maspeth & Morgan avenues",Brooklyn
"Ocean Parkway, Avenue P, East 3 Street",Brooklyn
"Lexington Avenue, East 128 & East 129 streets",Manhattan
Central Park,Manhattan
West 144 Street & Lenox Avenue,Manhattan
"62 ST, BET WEST & CENTER DRS",Manhattan
Horatio Parkway and 50 Avenue,Queens
"Hamilton Place, West 140 to West 141 streets",Manhattan
"Brooklyn, St. Mark's, Kingston avenues, Park Place",Brooklyn
Mount Eden Parkway & Morris Avenue,Bronx
"Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue",Bronx
"159 Street, 29 Avenue, 155 Street, 32 Avenue",Queens
South of Flushing Avenue,Brooklyn
173rd Street and Fulton Avenue,Bronx
"Chester Street, Sutter Avenue",Brooklyn
Braddock Avenue & 240 Street,Queens
5th Avenue from 60th Street to 65th Street,Manhattan
93d Street near the West Drive,Manhattan
"Tompkins Avenue, Chestnut Avenue",Staten Island
East 219 Street & Bronx River Parkway,Bronx
"Broadway, Henderson Avenue",Staten Island
Central Park at 107th Street,Manhattan
101 Avenue & 82 Street,Queens
Stillwell Avenue,Brooklyn
74th Street near Fifth Avenue,Manhattan
"Tinton Avenue, East 165 Street, Union Avenue, East 166 Street",Bronx
"Union Turnpike, Clearview Expressway, 73rd Avenue, Francis Lewis Boulevard",Queens
"St. Raymond Avenue, Puroy Street",Bronx
Seaview Avenue & East 99 Street,Brooklyn
"Bronx River Parkway, Bronx Park, Westchester/NYC City Line.",Bronx
Flatlands Avenue between East 81 & East 82 streets,Brooklyn
"204 Street & 29 Avenue, Clearview Expressway",Queens
Fifth Avenue at 82nd Street,Manhattan
"East 215 Street, Barnes Avenue, East 216 Street",Bronx
"35th Street, between 35th and 36th Avenue",Queens
130th Street & 23rd Avenue,Queens
"East 156 Street, Tinton Avenue",Bronx
Mill Road & Tysens Lane,Staten Island
Mid-Park at 80th Street,Manhattan
Crotona East & Claremont Parkway,Bronx
"5th Avenue, 103rd Street to 106th Street",Manhattan
