bin,incident_date_mm_dd_yyyy
2826970.0,2024-06-07T00:00:00.000
1045571.0,2024-10-31T00:00:00.000
3429554.0,2024-04-27T00:00:00.000
1001127.0,2024-07-23T00:00:00.000
3061068.0,2024-11-15T00:00:00.000
4263101.0,2024-05-20T00:00:00.000
1036892.0,2024-01-19T00:00:00.000
4846998.0,2025-12-08T00:00:00.000
3058411.0,2024-01-05T00:00:00.000
1035336.0,2024-10-30T00:00:00.000
4625349.0,2025-07-21T00:00:00.000
4624163.0,2024-08-02T00:00:00.000
3058215.0,2024-12-13T00:00:00.000
,2024-04-18T00:00:00.000
4618910.0,2024-10-25T00:00:00.000
4623202.0,2024-03-25T00:00:00.000
4624423.0,2024-05-17T00:00:00.000
4624423.0,2025-07-02T00:00:00.000
3099358.0,2025-07-03T00:00:00.000
3429402.0,2024-10-02T00:00:00.000
2130961.0,2024-08-15T00:00:00.000
1082792.0,2024-04-29T00:00:00.000
4003495.0,2024-10-30T00:00:00.000
3861463.0,2024-10-02T00:00:00.000
3330263.0,2024-04-16T00:00:00.000
1035371.0,2025-06-28T00:00:00.000
2130757.0,2024-05-22T00:00:00.000
1060875.0,2024-11-21T00:00:00.000
1034211.0,2024-11-19T00:00:00.000
3429585.0,2024-03-30T00:00:00.000
3322003.0,2024-10-25T00:00:00.000
1080458.0,2024-11-21T00:00:00.000
3429327.0,2024-06-04T00:00:00.000
1009430.0,2025-07-21T00:00:00.000
1005723.0,2024-04-12T00:00:00.000
3429452.0,2024-11-15T00:00:00.000
3425801.0,2024-11-10T00:00:00.000
1091775.0,2024-06-18T00:00:00.000
1079205.0,2024-11-05T00:00:00.000
1005641.0,2024-11-06T00:00:00.000
1022547.0,2024-06-24T00:00:00.000
3061583.0,2024-12-21T00:00:00.000
2007633.0,2024-12-23T00:00:00.000
3192980.0,2024-06-27T00:00:00.000
3853823.0,2025-06-27T00:00:00.000
1091010.0,2024-01-08T00:00:00.000
3429452.0,2024-10-23T00:00:00.000
1083700.0,2024-07-01T00:00:00.000
1012154.0,2024-10-28T00:00:00.000
3428561.0,2024-11-04T00:00:00.000
4004536.0,2024-12-21T00:00:00.000
3429272.0,2024-05-17T00:00:00.000
1033105.0,2024-11-18T00:00:00.000
3124075.0,2025-10-07T00:00:00.000
1091777.0,2024-01-03T00:00:00.000
2130757.0,2024-07-17T00:00:00.000
1014744.0,2024-06-27T00:00:00.000
1091739.0,2024-06-07T00:00:00.000
1091823.0,2024-11-01T00:00:00.000
4003416.0,2024-03-11T00:00:00.000
1091801.0,2024-12-30T00:00:00.000
3042707.0,2025-07-22T00:00:00.000
1091738.0,2024-04-15T00:00:00.000
1044092.0,2024-07-16T00:00:00.000
3429813.0,2024-05-06T00:00:00.000
3076634.0,2024-07-08T00:00:00.000
3330263.0,2024-06-26T00:00:00.000
4624500.0,2024-04-19T00:00:00.000
1083724.0,2024-04-04T00:00:00.000
1001324.0,2024-12-04T00:00:00.000
1033308.0,2024-12-12T00:00:00.000
1085694.0,2024-11-18T00:00:00.000
1083719.0,2025-10-12T00:00:00.000
4624057.0,2024-08-06T00:00:00.000
2100971.0,2025-04-24T00:00:00.000
5046953.0,2024-06-07T00:00:00.000
4623202.0,2024-06-25T00:00:00.000
1083929.0,2024-03-11T00:00:00.000
4619459.0,2024-12-14T00:00:00.000
4623202.0,2024-02-20T00:00:00.000
2130783.0,2024-09-12T00:00:00.000
1072007.0,2024-11-07T00:00:00.000
4004604.0,2024-06-05T00:00:00.000
3023674.0,2024-05-17T00:00:00.000
3062551.0,2025-10-11T00:00:00.000
3058215.0,2024-10-31T00:00:00.000
1083699.0,2024-12-03T00:00:00.000
4209632.0,2024-08-13T00:00:00.000
3128660.0,2024-08-07T00:00:00.000
4623245.0,2024-03-19T00:00:00.000
3116905.0,2024-06-06T00:00:00.000
4620885.0,2024-01-31T00:00:00.000
1091791.0,2024-11-25T00:00:00.000
3428817.0,2024-01-19T00:00:00.000
4855669.0,2025-06-27T00:00:00.000
3330085.0,2024-12-03T00:00:00.000
3177549.0,2024-01-19T00:00:00.000
4441727.0,2024-06-12T00:00:00.000
3000603.0,2024-04-16T00:00:00.000
1081137.0,2024-08-26T00:00:00.000
