lot,fatality,address_latitude
44.0,0,40.762023
62.0,0,40.751806
47.0,0,40.763282
6.0,0,40.735419
9.0,0,40.563129
12.0,0,40.863672
33.0,0,40.746858
2.0,0,40.714055
46.0,0,40.87181
12.0,0,40.750288
28.0,0,40.748247
141.0,0,40.839368
7.0,0,40.738775
1.0,0,40.867456
1.0,0,40.573621
63.0,0,40.707847
134.0,0,40.744942
14.0,0,40.786594
29.0,0,40.842746
59.0,0,40.719292
2.0,0,40.740909
52.0,0,40.685795
1.0,0,40.740485
1.0,0,40.745817
63.0,0,40.760465
100.0,0,40.695332
11.0,0,40.696782
5.0,0,40.669079
43.0,0,40.660543
1.0,0,40.794223
9.0,0,40.808523
23.0,0,40.752027
46.0,0,40.625344
21.0,0,40.747551
81.0,0,40.75233
100.0,0,40.695332
39.0,1,40.601919
14.0,0,40.748528
37.0,0,40.726821
14.0,0,40.714156
1.0,0,40.674833
9.0,0,40.668931
21.0,0,40.728055
7.0,0,40.74201
1.0,0,40.794223
5.0,0,40.69721
16.0,0,40.677869
44.0,0,40.782362
27.0,0,40.747075
45.0,0,40.879381
38.0,0,40.762495
7.0,0,40.668453
36.0,0,40.668035
4.0,0,40.634673
141.0,0,40.839368
7509.0,0,40.764727
1.0,0,40.67921
7503.0,0,40.763336
1.0,0,40.704645
1.0,0,40.659655
6.0,0,40.70926
2.0,0,40.813898
141.0,0,40.839368
55.0,0,40.73072
1.0,0,40.731774
65.0,0,40.757406
10.0,0,40.703026
37.0,0,40.782279
1.0,0,40.745817
65.0,0,40.757406
29.0,0,40.76438
47.0,0,40.726168
33.0,0,40.649186
160.0,0,40.84647
36.0,0,40.755626
62.0,0,40.575868
11.0,0,40.760525
55.0,0,40.757978
1.0,0,40.681104
134.0,0,40.845745
1.0,0,40.793971
10.0,0,40.689285
26.0,0,40.713782
11.0,0,40.765045
141.0,0,40.839368
21.0,0,40.747551
66.0,0,40.671546
14.0,0,40.705911
92.0,0,40.872791
21.0,0,40.755641
13.0,0,40.74817
47.0,1,40.748248
100.0,0,40.805223
1.0,0,40.705189
45.0,0,40.771548
111.0,0,40.692552
10.0,0,40.803902
90.0,0,40.735687
3.0,0,40.688827
1.0,0,40.659655
34.0,0,40.847472
21.0,0,40.763195
77.0,0,40.67268
7502.0,0,40.708173
16.0,0,40.705427
50.0,0,40.667813
60.0,0,40.761118
33.0,1,40.756545
25.0,0,40.691903
51.0,0,40.752702
28.0,0,40.578698
150.0,0,40.755575
100.0,0,40.695332
,0,
29.0,0,40.76438
10.0,0,40.780061
13.0,0,40.74817
13.0,0,40.74817
64.0,0,40.661748
35.0,0,40.688373
112.0,0,40.816951
20.0,0,40.747563
27.0,0,40.747075
1.0,0,40.670372
11.0,0,40.678428
23.0,0,40.754253
141.0,0,40.839368
63.0,0,40.82741
35.0,0,40.754421
1.0,0,40.677884
14.0,0,40.575048
51.0,0,40.75472
1.0,0,40.688566
41.0,0,40.732624
35.0,0,40.721548
1.0,0,40.659655
7501.0,0,40.695235
21.0,0,40.732953
1.0,0,40.810179
17.0,0,40.719207
1.0,0,40.745817
1.0,0,40.723301
63.0,0,40.848741
17.0,0,40.59724
2.0,0,40.685271
21.0,0,40.755641
1.0,0,40.659935
1.0,0,40.732967
1.0,0,40.73937
15.0,0,40.680609
12.0,0,40.758831
1.0,0,40.731774
14.0,0,40.786643
4.0,0,40.650467
1.0,0,40.759546
141.0,0,40.839368
13.0,0,40.741786
2.0,0,40.814603
59.0,0,40.729384
111.0,0,40.751719
10.0,0,40.75543
16.0,0,40.6772
58.0,0,40.721627
46.0,0,40.772846
21.0,0,40.681393
23.0,0,40.695853
11.0,0,40.678428
6.0,0,40.697107
1.0,0,40.763909
3.0,0,40.706878
17.0,0,40.790496
108.0,0,40.742066
29.0,0,40.762605
6.0,0,40.758879
70.0,0,40.869835
100.0,0,40.59738
10.0,0,40.780061
1.0,0,40.784557
1.0,0,40.748365
10.0,0,40.780061
3.0,0,40.80723
49.0,0,40.764613
1.0,1,40.75381
7501.0,0,40.66595
12.0,0,40.712508
100.0,0,40.695332
1.0,0,40.734191
63.0,0,40.707675
106.0,0,40.632598
7.0,0,40.596108
35.0,0,40.651471
21.0,0,40.747551
1.0,0,40.793971
8.0,0,40.676365
59.0,0,40.759123
1.0,0,40.726245
14.0,0,40.606556
106.0,0,40.738263
23.0,0,40.685511
47.0,0,40.763282
