address_zipcode,check2_description,injury
10019.0,Worker Fell,1
10018.0,Other Construction Related,1
10019.0,Worker Fell,1
11222.0,Material Failure (Fell),1
10306.0,Scaffold/Shoring Installations,0
10467.0,Material Failure (Fell),1
11368.0,Material Failure (Fell),0
10007.0,Mechanical Construction Equipment,2
10468.0,Other Construction Related,1
10017.0,Other Construction Related,1
10016.0,Other Construction Related,1
10452.0,Worker Fell,1
11377.0,Other Construction Related,1
10464.0,Other Construction Related,1
11224.0,Material Failure (Fell),0
11432.0,Worker Fell,1
10011.0,Other Construction Related,1
10024.0,Worker Fell,1
10452.0,Mechanical Construction Equipment,1
10013.0,Other Construction Related,0
10010.0,Other Construction Related,0
11207.0,Other Construction Related,0
10016.0,Other Construction Related,1
10016.0,Worker Fell,1
10022.0,Worker Fell,1
11201.0,Other Construction Related,1
11433.0,Excavation/Soil Work,0
11215.0,Worker Fell,1
11215.0,Other Construction Related,0
10029.0,Worker Fell,1
10027.0,Worker Fell,1
11101.0,Worker Fell,1
11219.0,Worker Fell,1
11101.0,Other Construction Related,1
10018.0,Material Failure (Fell),1
11201.0,Scaffold/Shoring Installations,1
11214.0,Worker Fell,0
10016.0,Other Construction Related,1
10013.0,Material Failure (Fell),0
11211.0,Excavation/Soil Work,0
11231.0,Other Construction Related,1
11417.0,Excavation/Soil Work,0
10009.0,Scaffold/Shoring Installations,0
11377.0,Scaffold/Shoring Installations,0
10029.0,Scaffold/Shoring Installations,0
11221.0,Other Construction Related,1
11233.0,Other Construction Related,1
10024.0,Material Failure (Fell),0
11101.0,Other Construction Related,1
10463.0,Scaffold/Shoring Installations,0
10019.0,Material Failure (Fell),1
11215.0,Worker Fell,1
11436.0,Worker Fell,1
10302.0,Other Construction Related,0
10452.0,Worker Fell,1
10019.0,Worker Fell,1
11215.0,Excavation/Soil Work,0
10065.0,Other Construction Related,1
11201.0,Other Construction Related,1
11203.0,Other Construction Related,1
10038.0,Other Construction Related,0
10474.0,Other Construction Related,1
10452.0,Mechanical Construction Equipment,1
11367.0,Excavation/Soil Work,0
11222.0,Other Construction Related,1
10018.0,Scaffold/Shoring Installations,1
10004.0,Worker Fell,1
10024.0,Worker Fell,1
10016.0,Worker Fell,1
10018.0,Worker Fell,1
11354.0,Other Construction Related,0
10013.0,Mechanical Construction Equipment,1
11203.0,Worker Fell,2
10453.0,Worker Fell,1
10036.0,Worker Fell,1
11235.0,Worker Fell,1
11354.0,Worker Fell,1
10036.0,Material Failure (Fell),1
11217.0,Other Construction Related,1
10452.0,Material Failure (Fell),1
10029.0,Other Construction Related,1
11217.0,Worker Fell,1
11249.0,Worker Fell,1
10036.0,Other Construction Related,1
10452.0,Other Construction Related,1
11101.0,Worker Fell,1
11213.0,Other Construction Related,0
11432.0,Other Construction Related,0
10458.0,Worker Fell,1
10017.0,Mechanical Construction Equipment,0
11101.0,Other Construction Related,1
10016.0,Mechanical Construction Equipment,1
10474.0,Other Construction Related,1
10004.0,Material Failure (Fell),0
10021.0,Worker Fell,1
10004.0,Worker Fell,1
10454.0,Worker Fell,2
11368.0,Worker Fell,1
11201.0,Worker Fell,1
11203.0,Worker Fell,1
10457.0,Worker Fell,1
10065.0,Other Construction Related,1
11215.0,Scaffold/Shoring Installations,1
10038.0,Scaffold/Shoring Installations,0
11211.0,Worker Fell,1
11436.0,Excavation/Soil Work,2
10022.0,Mechanical Construction Equipment,1
11101.0,Worker Fell,0
11201.0,Worker Fell,1
10017.0,Worker Fell,1
11694.0,Worker Fell,1
11354.0,Worker Fell,1
11201.0,Other Construction Related,1
,Scaffold/Shoring Installations,0
11354.0,Worker Fell,1
11105.0,Other Construction Related,1
11101.0,Other Construction Related,0
11101.0,Worker Fell,1
11212.0,Worker Fell,1
11217.0,Worker Fell,1
10451.0,Worker Fell,1
10001.0,Material Failure (Fell),1
11101.0,Material Failure (Fell),1
11231.0,Other Construction Related,0
11231.0,Mechanical Construction Equipment,0
10017.0,Other Construction Related,0
10452.0,Other Construction Related,1
10039.0,Other Construction Related,0
10036.0,Other Construction Related,0
11215.0,Other Construction Related,1
11224.0,Other Construction Related,1
10022.0,Worker Fell,1
11201.0,Worker Fell,1
10011.0,Other Construction Related,1
10002.0,Other Construction Related,1
11203.0,Mechanical Construction Equipment,1
11206.0,Other Construction Related,0
10003.0,Worker Fell,1
10027.0,Other Construction Related,0
10002.0,Excavation/Soil Work,0
10016.0,Mechanical Construction Equipment,1
11249.0,Material Failure (Fell),0
10453.0,Material Failure (Fell),0
11223.0,Excavation/Soil Work,0
11216.0,Mechanical Construction Equipment,1
10017.0,Material Failure (Fell),1
11203.0,Other Construction Related,1
10010.0,Other Construction Related,1
10014.0,Material Failure (Fell),1
11216.0,Other Construction Related,1
11101.0,Other Construction Related,0
11222.0,Material Failure (Fell),0
10024.0,Material Failure (Fell),1
11218.0,Scaffold/Shoring Installations,0
10036.0,Material Failure (Fell),1
10452.0,Worker Fell,1
10011.0,Material Failure (Fell),1
10037.0,Mechanical Construction Equipment,1
10003.0,Other Construction Related,0
11101.0,Other Construction Related,1
10018.0,Mechanical Construction Equipment,1
11233.0,Other Construction Related,0
10002.0,Worker Fell,1
10075.0,Material Failure (Fell),0
11238.0,Other Construction Related,0
11221.0,Other Construction Related,0
11231.0,Other Construction Related,1
11435.0,Worker Fell,1
10019.0,Material Failure (Fell),0
10038.0,Scaffold/Shoring Installations,0
10024.0,Mechanical Construction Equipment,0
10016.0,Worker Fell,1
10105.0,Material Failure (Fell),0
11354.0,Worker Fell,1
10468.0,Other Construction Related,1
10304.0,Excavation/Soil Work,0
11105.0,Worker Fell,1
10029.0,Mechanical Construction Equipment,4
11101.0,Worker Fell,1
11105.0,Worker Fell,1
10454.0,Other Construction Related,1
10065.0,Worker Fell,1
11101.0,Worker Fell,0
11215.0,Other Construction Related,0
11211.0,Scaffold/Shoring Installations,0
11201.0,Other Construction Related,1
10010.0,Mechanical Construction Equipment,2
11432.0,Worker Fell,1
11204.0,Excavation/Soil Work,1
11691.0,Worker Fell,1
11226.0,Other Construction Related,0
11101.0,Worker Fell,1
10029.0,Mechanical Construction Equipment,0
11207.0,Worker Fell,1
11354.0,Excavation/Soil Work,1
11222.0,Worker Fell,1
11223.0,Worker Fell,1
11101.0,Worker Fell,1
11217.0,Worker Fell,1
10019.0,Other Construction Related,1
