site_number,bbl,site_name,zip_code,city
Q0254,4029900045.0,PS 49-Dorothy Bonawit Kole,11379,Middle Village
X0027,2027660001.0,PS 48 Joseph R. Drake,10474,Bronx
11119,1010830015.0,Clinton Senior Center,10019,New York
10590,4123220001.0,Allen AME Senior Center,11433,Jamaica
10577,1000160220.0,PS 89,10282,New York
11251,3011020012.0,Park Slope YMCA,11215,Brooklyn
B0380,3049780077.0,St. Therese Of Lisieux,11203,Brooklyn
M0111,1009130007.0,PS 116,10016,New York
11630,3011830002.0,Central Brooklyn Public Library,11238,Brooklyn
B0223,3040150001.0,PS 158,11207,Brooklyn
M0286,1003010003.0,PS 131,10002,New York
10726,1010890001.0,River Place 1,10036,New York
Q0299,4030950050.0,PS 139-Rego Park,11374,Rego Park
10861,4129730001.0,PS / IS 270-Gordon Parks School,11422,Rosedale
M0073,1003550001.0,PS 20,10002,New York
11498,4107820001.0,Church of the Nazarene,11429,Queens Village
Q0036,4094770001.0,PS 55-Maure,11419,South Richmond Hill
10785,3017980040.0,Cornerstone Sr Hsng,11216,Brooklyn
10524,1005707501.0,Yeshiva University-Cardozo School of Law,10003,New York
10862,4035610001.0,PS 239,11385,Ridgewood
10417,5032700025.0,Holy Rosary Par. Ctr,10305,Staten Island
M0245,1005850041.0,PS 3,10014,New York
11041,4052130021.0,Mary's Nativity Church,11355,Flushing
11654,4090640031.0,PS 316 - Queens Explorers Elementary,11416,Ozone Park
X0101,2044930001.0,IS 144 Michelangelo,10469,Bronx
B0071,3078610025.0,Midwood Catholic Academy,11234,Brooklyn
11153,2057890033.0,The Arbor,10463,Bronx
M0140,1016560100.0,PS/JHS 117,10029,New York
B0030,3045990001.0,PS 189,11212,Brooklyn
11737,2042930031.0,PS 357 Young Voices Academy,10462,Bronx
B0088,3031370026.0,PS 120,11206,Brooklyn
10298,5023640001.0,IS 72 Rocco Laurie,10314,Staten Island
Q0169,4080820285.0,PS 98-Douglaston School,11363,Little Neck
B0208,3071960001.0,PS 216,11223,Brooklyn
10518,1016370001.0,Dewitt Clinton Center,10029,New York
B0191,3024230001.0,PS 19,11211,Brooklyn
10185,4095560020.0,Lefferts Library,11419,South Richmond Hill
Q0185,4051470001.0,IS 237,11355,Flushing
X0052,2027930028.0,PS 70 Max Schoenfeld,10457,Bronx
11683,1015500035.0,Church of the Holy Trinity,10128,New York
B0250,3013010001.0,PS 320/PS 375,11225,Brooklyn
10007,1005240001.0,Washington Sq SE Ap,10012,New York
B0094,3066670024.0,PS 97,11223,Brooklyn
X0023,2031700001.0,"PS 79 Elem School for Math, Science, and Technology",10453,Bronx
X0204,2026960085.0,PS 333 The Museum School (PS 60),10459,Bronx
S0052,5006100127.0,PS 35 The Clove Valley School,10301,Staten Island
S0050,5000490182.0,PS 31 William T. Davis,10301,Staten Island
Q0009,4019540037.0,PS 14-Fairview,11368,Corona
11432,3053160001.0,Brooklyn Prospect Charter School,11218,Brooklyn
11433,3039520047.0,PS 89,11207,Brooklyn
10354,2048460059.0,Mt. Hebron Baptist Church,10466,Bronx
X0008,2025040082.0,PS 73 Bronx,10452,Bronx
Q0064,4114450001.0,PS 232-Lindenwood,11414,Howard Beach
11187,3012500040.0,Crown Heights Apts,11213,Brooklyn
B0101,3033240019.0,Hope Gardens Sr Ctr,11221,Brooklyn
11151,2047830015.0,Holy Rosary Church,10469,Bronx
X0005,2030080001.0,PS 66 School of Higher Expectations,10460,Bronx
11488,3061530060.0,Fort Hamilton Senior Center,11209,Brooklyn
B0157,3036060001.0,PS 184,11212,Brooklyn
11493,3071940001.0,Marlboro Memorial Post,11223,Brooklyn
10172,3012300044.0,Sr Center,11213,Brooklyn
11647,5070920039.0,PS 62,10309,Staten Island
11517,,Wyatt T. Walker Senior Housing,10026,New York
11745,4096310136.0,The Center at Maple Grove,11415,Kew Gardens
11499,1022150831.0,PS/MS 278,10034,New York
11629,3018090062.0,PAL-Wynn Center,11216,Brooklyn
X0155,2050600001.0,Mt. St. Michael Academy,10466,Bronx
Q0048,4050470001.0,PS 20-John Bowne,11355,Flushing
B0388,3078490001.0,PS 203,11234,Brooklyn
M0156,1009720001.0,Stuyvesant Town IV,10009,New York
11478,3034440016.0,Moffat Gardens,11207,Brooklyn
X0003,2030050010.0,PS 6 West Farms,10460,Bronx
11112,4004380026.0,Information Technology H. S.,11101,Long Island City
B0253,3054450001.0,PS 192,11204,Brooklyn
B0042,3057740001.0,PS 176,11219,Brooklyn
X0009,2037180001.0,JHS 123 James M. Kieran,10472,Bronx
Q0044,4114030001.0,JHS 202-Robert H. Goddard,11417,Ozone Park
11411,3010060001.0,Park Slope Public Library,11215,Brooklyn
Q0271,4088010014.0,PS 191-Mayflower,11001,Floral Park
10709,5006830001.0,The Michael J. Petrides School - Building K,10301,Staten Island
X0167,2035240020.0,PS 69 Journey Prep School,10473,Bronx
Q0273,4088550020.0,PS 97-Forest Park,11421,Woodhaven
10428,1011640015.0,National Council of Jewish Women New York Section,10023,New York
M0175,1019800001.0,Gen Grant Houses IV,10027,New York
B0023,3082300001.0,PS 279,11236,Brooklyn
S0001,5028880040.0,PS 57 Hubert H. Humphrey,10304,Staten Island
11485,1009670002.0,The River School/PS 281,10016,New York
10077,2038080035.0,Holy Family Church,10472,Bronx
11653,4012280048.0,PS 361 - The Woodside Community School,11377,Woodside
Q0182,4052000052.0,Rosenthal Senior Center,11355,Flushing
B0293,3040690001.0,MS 678 (PS 72),11208,Brooklyn
Q0005,4111510081.0,PS 34-John Harvard,11429,Queens Village
Q0282,4096840008.0,PS 82-Hammond,11435,Jamaica
M0215,1016010001.0,PS 149,10026,New York
11738,2029830015.0,East Bronx Academy,10460,Bronx
10275,1021700129.0,Inwood Tower,10040,New York
11620,1021600018.0,George Washington High School,10040,New York
B0246,3013440175.0,Hugh Gilroy Sr Ctr,11233,Brooklyn
10024,2042260030.0,Adult Behavioral Health Center,10461,Bronx
11445,3033500028.0,Hope Gardens Youth Community Center,11221,Brooklyn
X0224,2025710001.0,PS 65 Mother Hale Academy,10454,Bronx
11107,3047390001.0,PS 244,11203,Brooklyn
10450,3011480050.0,PS 22,11238,Brooklyn
X0095,2044320001.0,JHS 135 Aspire Preparatory Middle School,10467,Bronx
B0324,3059380040.0,Apt. House,11209,Brooklyn
11248,3015280033.0,Ocean Hill Comm Ctr,11233,Brooklyn
B0060,3087670026.0,Bay Academy-IS 98,11235,Brooklyn
X0201,2024680001.0,Bronx County Supreme Court House,10451,Bronx
00038,3046690037.0,PS 252 JHS,11212,Brooklyn
B0159,3072500001.0,Warbasse Bldg 4,11224,Brooklyn
