site_number,voter_entrance,bin,handicap_entrance,census_tract,:@computed_region_efsh_h5xi,:@computed_region_yeji_bk3q
00030,Thru Jarvis Ave playground entrance,2046140.0,Thru Jarvis Ave playground entrance,26602.0,11270.0,5.0
X0027,1290 Spofford Avenue,2006680.0,Side School entrance on Coster Street,93.0,12343.0,5.0
B0256,Enter on 49th Street,3012824.0,Enter on 49th Street,108.0,18180.0,2.0
10726,650 WEST 42ND STREET,1085803.0,650 WEST 42ND STREET,117.0,13094.0,4.0
11745,127-15 Kew Gardens Road,4590254.0,127-15 Kew Gardens Road,216.0,,
B0030,1100 East New York Avenue,3099537.0,1100 East New York Avenue,892.0,17614.0,2.0
10590,112-04 167th Street,4435291.0,112-04 167th Street,266.0,24668.0,3.0
11426,300 Genesee Avenue,5073549.0,300 Genesee Avenue,14604.0,10699.0,1.0
Q0044,138-30 Lafayette Street,4245993.0,138-30 Lafayette Street,58.0,24013.0,3.0
10417,85 Jerome Avenue,5133958.0,85 Jerome Avenue,64.0,10692.0,1.0
X0009,Via Yard Gate on Morrison Ave to Annex Building,2087014.0,Via Yard Gate on Morrison Ave to Annex Building,48.0,11610.0,5.0
00007,113 East 4 Street,1006208.0,113 East 4 Street,38.0,11724.0,4.0
Q0272,85-28 Britton Avenue,4037370.0,Corner Entrance on Hampton Street near Britton Avenue,271.0,14784.0,3.0
Q0048,142-30 Barclay Avenue,4114657.0,142-30 Barclay Avenue,855.0,14190.0,3.0
11620,549 Audubon Avenue,1076751.0,549 Audubon Avenue,277.0,,
Q0182,45-25 Kissena Boulevard,4117390.0,45-25 Kissena Boulevard,1205.0,14190.0,3.0
10013,136 Midland Avenue,5051625.0,136 Midland Avenue,11402.0,10693.0,1.0
S0050,55 Layton Avenue,5001150.0,Entrance on left side of Main Entrance,9.0,10369.0,1.0
B0157,273 Newport Street,3082391.0,In back on Mother Gaston Boulevard,918.0,17614.0,2.0
11499,421 West 219 Street,1064704.0,9th Avenue (Between 219th and 220th Streets),299.0,,
S0073,112 Lindenwood Road,5066295.0,Side entrance on Lindenwood Rd,15601.0,10695.0,1.0
10548,3 Washington Square Village,1077835.0,3 Washington Square Village,5501.0,12075.0,4.0
11737,800 Lydig Avenue,2048831.0,thru gate on Barnes Ave,228.0,,
B0293,605 Shepherd Avenue,3090219.0,605 Shepherd Avenue,1164.0,17215.0,2.0
11485,425 East 35 Street,1089385.0,425 East 35 Street,8601.0,,
11478,22 Moffat Street,3398683.0,22 Moffat Street,403.0,17214.0,2.0
B0365,911 Flatbush Avenue,3336215.0,Bedford Avenue & Erasmus Street,794.0,13510.0,2.0
B0094,1855 Stillwell Avenue,3177680.0,Stillwell Avenue enter on right side of the main entrance,404.0,18183.0,2.0
B0246,447 Kingsborough 4 Walk (Entrance On Bergen Street),3035751.0,447 Kingsborough 4 Walk (Entrance On Bergen Street),307.0,13516.0,2.0
10306,210 East Broadway,1077607.0,210 East Broadway,1401.0,11723.0,4.0
B0159,2770 West 5 Street,3257105.0,West Avenue,354.0,18184.0,2.0
10577,201 Warren Street,1085568.0,Chambers Street,31703.0,10368.0,4.0
B0223,400 Ashford Street,3089176.0,Enter on Belmont Avenue,1150.0,17214.0,2.0
