bin,nta,site_status,:@computed_region_92fq_4b7q,street_number
5001762.0,West New Brighton-New Brighton-St. George,A,13.0,125
5053571.0,New Dorp-Midland Beach,A,14.0,333
1044929.0,Lenox Hill-Roosevelt Island,A,1.0,337
1006580.0,East Village,A,50.0,200
4448968.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,A,41.0,9
2096696.0,Parkchester,A,31.0,18
3141046.0,Borough Park,A,,5910
4448875.0,St. Albans,A,6.0,172-17
1058248.0,Central Harlem North-Polo Grounds,A,36.0,175
5073549.0,Great Kills,A,9.0,300
1077607.0,Lower East Side,A,32.0,210
1004349.0,Lower East Side,A,50.0,442
4146992.0,Pomonok-Flushing Heights-Hillcrest,A,24.0,65-11
3387647.0,Bushwick South,A,30.0,48
3144193.0,Sunset Park West,A,7.0,260
1070711.0,Lincoln Square,A,19.0,140
4437597.0,Elmhurst-Maspeth,A,5.0,55-24
5000291.0,West New Brighton-New Brighton-St. George,A,13.0,80
2046140.0,Pelham Bay-Country Club-City Island,A,12.0,3040
4442846.0,Forest Hills,A,28.0,63-55
2095007.0,Pelham Bay-Country Club-City Island,A,12.0,3573
5031151.0,New Springville-Bloomfield-Travis,A,14.0,55
3012824.0,Sunset Park East,A,7.0,4812
1077835.0,West Village,A,32.0,3
4209721.0,Jamaica,A,6.0,90-20
2000000.0,Spuyten Duyvil-Kingsbridge,A,,3900
4438609.0,Richmond Hill,A,,94-06
5130212.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,A,14.0,715
4164007.0,Oakland Gardens,A,16.0,75-25
4259200.0,Baisley Park,A,46.0,142-10
1033304.0,Upper West Side,A,,270
2116414.0,Van Nest-Morris Park-Westchester Square,A,12.0,1640
1083681.0,Stuyvesant Town-Cooper Village,A,51.0,360
3337867.0,Crown Heights South,A,48.0,1185
3039174.0,Ocean Hill,A,,430
4137034.0,Bayside-Bayside Hills,A,20.0,200-01
3327015.0,Brownsville,A,17.0,137
5037541.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,A,9.0,144
4538307.0,Ridgewood,A,30.0,378
1046411.0,Lenox Hill-Roosevelt Island,A,1.0,1458
4166101.0,Bellerose,A,16.0,230-17
4075214.0,Forest Hills,A,28.0,68-17
4008220.0,Astoria,A,33.0,33-09
5066295.0,Great Kills,A,9.0,112
1063947.0,Washington Heights North,A,39.0,185
4134578.0,Bayside-Bayside Hills,A,20.0,32-24
2054253.0,Allerton-Pelham Gardens,A,12.0,2750
3196576.0,West Brighton,A,15.0,2928
2002299.0,East Concourse-Concourse Village,A,42.0,360
4004419.0,Queensbridge-Ravenswood-Long Island City,A,,37-15
3348859.0,Starrett City,A,25.0,47
2085870.0,North Riverdale-Fieldston-Riverdale,A,40.0,660
4222137.0,Hollis,A,16.0,191-02
3117230.0,Erasmus,A,11.0,43
1087790.0,Central Harlem North-Polo Grounds,A,,263
3204767.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,A,15.0,2525
5051625.0,New Dorp-Midland Beach,A,14.0,136
2086312.0,North Riverdale-Fieldston-Riverdale,A,40.0,5625
3331276.0,Sunset Park West,A,7.0,544
1083953.0,East Harlem South,A,35.0,2070
2003519.0,Highbridge,A,42.0,1257
3328617.0,Borough Park,A,18.0,4912
4000019.0,Hunters Point-Sunnyside-West Maspeth,A,33.0,48-09
1006208.0,East Village,A,50.0,113
4037370.0,Elmhurst,A,5.0,85-28
3136331.0,Sunset Park East,A,27.0,1002
1003143.0,Lower East Side,A,32.0,327
,Hudson Yards-Chelsea-Flatiron-Union Square,A,10.0,339
3326569.0,Cypress Hills-City Line,A,,137
3320734.0,West Brighton,A,45.0,425
