handicap_entrance,street_name,council_district
241 West 72 Street,West 72 Street,6.0
210 East Broadway,East Broadway,1.0
Corner of Nereid and Hill Avenue,Murdock Avenue,12.0
234th Street through Schoolyard,235 Street,19.0
47 Vandalia Avenue,Vandalia Avenue,42.0
Enter on right side of main entrance,Joralemon Street,33.0
112-04 167th Street,167 Street,27.0
Chambers Street,Warren Street,1.0
425 East 35 Street,East 35 Street,4.0
Side Entrance located midway on 63rd Drive,102 Street,29.0
Enter on the right side of the Main Entrance (Atlantic Ave),Warwick Street,37.0
605 Shepherd Avenue,Shepherd Avenue,42.0
530 West 55 Street,West 55 Street,6.0
140 Buttonwood Road,Todt Hill Road,50.0
Enter thru schoolyard on Thieriot Ave.,Thieriot Avenue,18.0
46 McKeever Place,McKeever Place,35.0
Entrance thru back of school on E 216 St,Barnes Avenue,12.0
Enter on Bay Ridge Parkway,Ridge Boulevard,43.0
Second floor Recreational Room,Arlington Avenue,11.0
In back of building on East 95 St,Lenox Road,41.0
316 East 88 Street,East 88 Street,5.0
Stillwell Avenue enter on right side of the main entrance,Stillwell Avenue,47.0
Through Pathway on 201st Street between School and Park,42 Avenue,19.0
Avenue M To the left of main entrance,Avenue M,46.0
2928 West 5th Street,West 5th Street,48.0
142-30 Barclay Avenue,Barclay Avenue,20.0
4912 14 Avenue,14 Avenue,44.0
260 65 Street,65 Street,38.0
On 68 Street,Bay Ridge Avenue,43.0
2nd Ave (Through walkway / Parking Lot),East 109 Street,8.0
Schoolyard entrance on Vyse Avenue,East Tremont Avenue,17.0
138-30 Lafayette Street,Lafayette Street,32.0
422 Central Avenue,Central Avenue,34.0
Side entrance on 48th Avenue,Center Boulevard,26.0
9th Avenue (Between 219th and 220th Streets),West 219 Street,10.0
Through Courtyard on 94th Street,94 Street,25.0
175 East 4 Street,East 4 Street,2.0
378 Seneca Avenue,Seneca Avenue,34.0
140 West End Avenue,West End Avenue,6.0
Wooster Street,Laguardia Place,1.0
Rear Entrance on 156th Street,155 Street,24.0
650 WEST 42ND STREET,West 42 Street,3.0
305 Macdougal Street,MacDougal Street,37.0
103-34 Lefferts Boulevard,Lefferts Boulevard,28.0
In Annex Building across from Main School Building,East 168 Street,16.0
549 Audubon Avenue,Audubon Avenue,10.0
319 East 24 Street,East 24 Street,2.0
63-60 80 Street,Penelope Avenue,30.0
Enter thru Allerton & Lodovick Aves,Gunther Avenue,13.0
Enter on 49th Street,9th Avenue,38.0
Otis Ave & Van Doren Street,Otis Avenue,21.0
90-20 170 Street,170 Street,27.0
125 Cassidy Place,Cassidy Place,49.0
Via Yard Gate on Morrison Ave to Annex Building,Morrison Avenue,18.0
East 78th Street,York Avenue,5.0
3573 Bruckner Boulevard,Bruckner Boulevard,13.0
490 Hudson Street,Hudson Street,3.0
East 3rd Street,East Houston Street,2.0
In back of building on Avenue Y,Haring Street,48.0
190 Daniel Low Terrace,Monroe Avenue,49.0
590 Sheffield Avenue,Sheffield Avenue,42.0
4715 18 Avenue,18 Avenue,44.0
85 Jerome Avenue,Jerome Avenue,50.0
5910 13 Avenue,13 Avenue,44.0
Enter on East 45th Street,Troy Avenue,45.0
Left side of main entrance through school yard,Beaver Street,34.0
137 Belmont Avenue,Belmont Avenue,41.0
350 Avenue X,Avenue X,47.0
Entrance thru schoolyard on Cypress Ave,East 141 Street,8.0
1425 Walton Avenue,Walton Avenue,
137 Jamaica Avenue,Jamaica Avenue,37.0
550 Greene Avenue,Greene Avenue,36.0
Accessible Entrance by school yard,Midland Avenue,50.0
3150 Broadway,Broadway,7.0
1100 East New York Avenue,East New York Avenue,41.0
21 Jumel Place,Jumel Place,10.0
120 East 110 Street,East 110 Street,8.0
Enter on left side of main entrance,St Marks Avenue,35.0
195 Linden Street,Linden Street,37.0
1002 44 Street entrance on 10th Avenue,44 Street,39.0
Thru School Yard on Holland Ave,Wallace Avenue,13.0
495 Gates Avenue,Gates Avenue,36.0
Schoolyard Entrance on 234th Street near Merrick Blvd,Merrick Boulevard,31.0
Back Entrance through Schoolyard on Lefferts Boulevard,118 Street,28.0
172-17 Linden Boulevard,Linden Boulevard,27.0
71-25 113 Street,113 Street,29.0
To right of Main Entrance on 9th Street,6 Avenue,39.0
3 Washington Square Village,Washington Square Village,1.0
Path to Side Entrance on Springfield Blvd near 107 Ave,Springfield Boulevard,27.0
283 Avenue C,Avenue C,4.0
Rear Pathway on 68th Avenue between School & Playground,Austin Street,29.0
thru gate on Barnes Ave,Lydig Avenue,13.0
644 Bloomingdale Road,Bloomingdale Road,51.0
48 Cedar Street,Cedar Street,34.0
Entrance thru Stebbins Ave.,Rev James A Polite Ave,17.0
To the right side of main entrance,15th Street,39.0
7 Ave & W 27 St (SW Corner),7 Avenue,3.0
Side Entrance on Juniper Avenue,Colden Street,20.0
2177 Frederick Douglas Blvd,Frederick Douglass Boulevard,
Entrance through Schoolyard on 132nd Street,97 Avenue,28.0
Entrance on 259th Street,258 Street,23.0
East 32nd Street (Through Schoolyard),East 33 Street,2.0
90-07 101 Avenue,101 Avenue,32.0
22 Moffat Street,Moffat Street,37.0
In back on Mother Gaston Boulevard,Newport Street,42.0
West 182nd Street (Through Schoolyard),Wadsworth Avenue,10.0
Enter near corner of Adee & Eastchester; take elevator,Eastchester Road,12.0
main entrance,Fort Hamilton Parkway,43.0
Entrance left of Main Entrance,Mace Avenue,13.0
Side School entrance on Coster Street,Spofford Avenue,17.0
1501 Hendrickson Street,Hendrickson Street,45.0
1640 Bronxdale Avenue - poll site is on 2nd floor,Bronxdale Avenue,13.0
