voter_entrance,location,longitude,:@computed_region_sbqj_enih
1257 Ogden Avenue,"{'latitude': '40.839332', 'longitude': '-73.92582'}",-73.92582,27.0
2770 West 5 Street,"{'latitude': '40.581281', 'longitude': '-73.971448'}",-73.971448,35.0
1458 York Avenue,"{'latitude': '40.770328', 'longitude': '-73.951105'}",-73.951105,11.0
85-52 85 Street,"{'latitude': '40.69491', 'longitude': '-73.859851'}",-73.859851,60.0
43 Snyder Avenue,"{'latitude': '40.648646', 'longitude': '-73.957172'}",-73.957172,43.0
1055 St Johns Place,"{'latitude': '40.671307', 'longitude': '-73.943295'}",-73.943295,49.0
1401 Emmons Avenue,"{'latitude': '40.583232', 'longitude': '-73.953593'}",-73.953593,36.0
90-20 170 Street,"{'latitude': '40.708346', 'longitude': '-73.790527'}",-73.790527,61.0
New Building - Visitors room,"{'latitude': '40.847702', 'longitude': '-73.839971'}",-73.839971,32.0
55 5 Avenue,"{'latitude': '40.734831', 'longitude': '-73.994364'}",-73.994364,3.0
201 Warren Street,"{'latitude': '40.716542', 'longitude': '-74.013468'}",-74.013468,1.0
138-30 Lafayette Street,"{'latitude': '40.67178', 'longitude': '-73.845032'}",-73.845032,64.0
11 Fort George Hill,"{'latitude': '40.85734', 'longitude': '-73.92818'}",-73.92818,22.0
2928 West 5th Street,"{'latitude': '40.577997', 'longitude': '-73.972775'}",-73.972775,35.0
125 Cassidy Place,"{'latitude': '40.641995', 'longitude': '-74.095965'}",-74.095965,74.0
22 Moffat Street,"{'latitude': '40.683439', 'longitude': '-73.910157'}",-73.910157,53.0
10 Grand Army Plaza,,,
341 West 24 Street,"{'latitude': '40.746219', 'longitude': '-73.99934'}",-73.99934,6.0
443 St Marks Avenue,"{'latitude': '40.676754', 'longitude': '-73.959736'}",-73.959736,49.0
85-28 Britton Avenue,"{'latitude': '40.745867', 'longitude': '-73.880148'}",-73.880148,68.0
431 6th Avenue,"{'latitude': '40.668392', 'longitude': '-73.983527'}",-73.983527,50.0
550 Greene Avenue,"{'latitude': '40.688619', 'longitude': '-73.948576'}",-73.948576,51.0
1290 Spofford Avenue,"{'latitude': '40.814373', 'longitude': '-73.886888'}",-73.886888,24.0
