bbl,:@computed_region_f5dn_yrer,latitude,community_board,borough
4029900045.0,54.0,40.719154,5.0,QUEENS
2027660001.0,8.0,40.814373,2.0,BRONX
1010830015.0,12.0,40.768313,4.0,MANHATTAN
4123220001.0,41.0,40.691478,12.0,QUEENS
1000160220.0,56.0,40.716542,1.0,MANHATTAN
3011020012.0,14.0,40.663068,6.0,BROOKLYN
3049780077.0,61.0,40.641222,17.0,BROOKLYN
1009130007.0,71.0,40.74487,6.0,MANHATTAN
3011830002.0,,,55.0,BROOKLYN
3040150001.0,45.0,40.672479,5.0,BROOKLYN
1003010003.0,70.0,40.716365,3.0,MANHATTAN
1010890001.0,12.0,40.761536,4.0,MANHATTAN
4030950050.0,40.0,40.728094,6.0,QUEENS
4129730001.0,63.0,40.674972,13.0,QUEENS
1003550001.0,70.0,40.721191,3.0,MANHATTAN
4107820001.0,,,13.0,QUEENS
4094770001.0,46.0,40.693942,9.0,QUEENS
3017980040.0,69.0,40.688619,3.0,BROOKLYN
1005707501.0,57.0,40.734831,2.0,MANHATTAN
4035610001.0,54.0,40.699112,5.0,QUEENS
5032700025.0,30.0,40.596458,2.0,STATEN IS
1005850041.0,57.0,40.732572,2.0,MANHATTAN
4052130021.0,22.0,40.754109,7.0,QUEENS
4090640031.0,,,9.0,QUEENS
2044930001.0,59.0,40.863709,11.0,BRONX
3078610025.0,5.0,40.619258,18.0,BROOKLYN
2057890033.0,48.0,40.885922,8.0,BRONX
1016560100.0,7.0,40.793035,11.0,MANHATTAN
3045990001.0,61.0,40.665508,17.0,BROOKLYN
2042930031.0,,,11.0,BRONX
3031370026.0,42.0,40.700954,4.0,BROOKLYN
5023640001.0,30.0,40.593097,2.0,STATEN IS
4080820285.0,26.0,40.769551,11.0,QUEENS
3071960001.0,32.0,40.590467,15.0,BROOKLYN
1016370001.0,7.0,40.795097,11.0,MANHATTAN
3024230001.0,36.0,40.709676,1.0,BROOKLYN
4095560020.0,62.0,40.687305,10.0,QUEENS
4051470001.0,22.0,40.749636,7.0,QUEENS
2027930028.0,50.0,40.844218,4.0,BRONX
1015500035.0,,,8.0,MANHATTAN
3013010001.0,17.0,40.664736,9.0,BROOKLYN
1005240001.0,57.0,40.727542,2.0,MANHATTAN
3066670024.0,1.0,40.601499,11.0,BROOKLYN
2031700001.0,6.0,40.854922,5.0,BRONX
2026960085.0,8.0,40.820289,2.0,BRONX
5006100127.0,4.0,40.613744,1.0,STATEN IS
