incident_id,reported_dt,incident_type,reason,facility
121707,2019-06-23T18:35:00.000,Use of Force,Assault on Staff,RNDC
168621,2022-05-07T15:02:00.000,Use of Force,Assault on Staff,GRVC
98994,2017-11-27T13:04:00.000,Use of Force,Assault on Staff,MNCT
100019,2017-12-22T10:09:00.000,Use of Force,Assault on Staff,AMKC
82023,2016-08-07T06:54:00.000,Use of Force,Assault on Staff,
112975,2018-11-21T17:10:00.000,Use of Force,Assault on Staff,OBCC
134405,2020-04-22T15:24:00.000,Use of Force,Assault on Staff,NIC
157027,2021-08-29T06:47:00.000,Use of Force,Assault on Staff,GRVC
119970,2019-05-09T08:45:00.000,Use of Force,Assault on Staff,OBCC
113752,2018-12-11T12:44:00.000,Use of Force,Assault on Staff,EMTC
95068,2017-08-12T09:50:00.000,Use of Force,Assault on Staff,
159866,2021-10-22T23:29:00.000,Use of Force,Assault on Staff,NIC
123408,2019-08-06T20:31:00.000,Use of Force,Assault on Staff,GRVC
128275,2019-11-22T22:46:00.000,Use of Force,Assault on Staff,GRVC
121519,2019-06-18T15:39:00.000,Use of Force,Assault on Staff,MDC
147778,2021-03-16T19:32:00.000,Use of Force,Assault on Staff,BXCT
129139,2019-12-13T15:20:00.000,Use of Force,Assault on Staff,OBCC
143844,2020-12-28T13:32:00.000,Use of Force,Assault on Staff,GRVC
90976,2017-04-18T22:35:00.000,Use of Force,Assault on Staff,
109932,2018-09-08T16:10:00.000,Use of Force,Assault on Staff,AMKC
95183,2017-08-15T13:01:00.000,Use of Force,Assault on Staff,
91017,2017-04-19T13:45:00.000,Use of Force,Assault on Staff,BKDC
132668,2020-03-06T09:15:00.000,Use of Force,Assault on Staff,MDC
117790,2019-03-15T07:49:00.000,Use of Force,Assault on Staff,GRVC
83682,2016-09-26T17:44:00.000,Use of Force,Assault on Staff,
162293,2021-12-17T20:06:00.000,Use of Force,Assault on Staff,VCBC
94684,2017-07-31T18:51:00.000,Use of Force,Assault on Staff,
101041,2018-01-15T21:08:00.000,Use of Force,Assault on Staff,AMKC
114634,2019-01-01T02:16:00.000,Use of Force,Assault on Staff,GRVC
82355,2016-08-16T11:52:00.000,Use of Force,Assault on Staff,
172466,2022-07-22T17:22:00.000,Use of Force,Assault on Staff,RMSC
126815,2019-10-23T13:45:00.000,Use of Force,Assault on Staff,AMKC
136896,2020-07-12T11:19:00.000,Use of Force,Assault on Staff,NIC
114626,2018-12-31T22:13:00.000,Use of Force,Assault on Staff,OBCC
171844,2022-07-11T12:29:00.000,Use of Force,Assault on Staff,BHPW
161252,2021-11-22T09:18:00.000,Use of Force,Assault on Staff,GRVC
103326,2018-03-13T19:54:00.000,Use of Force,Assault on Staff,GRVC
