student_perf_10_11,student_progress_10_11,college_enroll_2011_12,college_ready_11_12,envi_10_11
B,A,51.70%,B,A
,,,,
A,B,32.10%,A,B
,,77.60%,B,
,,,,
C,B,82.10%,A,B
B,B,39.70%,C,D
B,B,68.30%,B,C
B,C,63.20%,B,C
A,C,73.60%,A,C
,,,,
,,,,
,,,C,
A,C,52.20%,C,C
A,A,86.10%,A,B
C,C,30.20%,C,C
F,D,37.80%,C,F
,,,,
,,,,
A,C,46.40%,C,C
,,,,
A,A,94.80%,A,B
C,C,39.50%,B,C
C,B,41.70%,B,C
A,A,64.20%,A,C
B,C,62.40%,B,C
A,D,67.60%,C,B
,,,C,
A,B,88.30%,A,B
A,B,33.30%,A,C
A,B,52.80%,B,A
C,C,40.00%,D,D
B,A,31.10%,D,B
B,C,58.70%,C,C
B,B,42.00%,D,B
B,D,41.80%,D,C
A,A,58.70%,C,B
B,D,40.80%,C,F
B,A,62.50%,B,D
A,B,74.20%,A,F
C,C,60.30%,D,A
C,D,42.20%,C,F
B,A,51.70%,A,A
C,A,41.00%,D,B
,,,,
B,C,81.20%,A,B
A,A,53.10%,A,B
A,B,63.20%,B,B
B,C,37.30%,A,B
,,,,
C,B,37.40%,D,B
,,,,
F,B,25.30%,C,D
A,B,78.90%,B,A
A,A,63.20%,A,A
,,,,
A,A,97.40%,A,A
A,C,74.20%,A,F
,,,A,
,,,,
B,C,47.90%,D,F
B,C,55.10%,A,A
A,A,76.70%,A,A
A,A,,,A
B,C,47.90%,A,D
B,A,52.90%,C,B
,,,,
D,C,37.20%,C,F
A,A,85.70%,B,D
A,A,44.80%,A,A
A,B,61.30%,D,A
F,D,40.80%,B,A
,,,,
,,,,
A,A,78.70%,B,B
A,C,71.20%,F,F
,,,,
C,D,48.60%,B,C
,,,,
C,F,40.80%,D,B
A,B,51.90%,A,B
,,,A,
C,B,43.90%,D,D
B,B,50.00%,F,B
F,F,33.80%,B,F
A,B,66.30%,A,B
A,A,41.70%,C,A
A,A,63.20%,B,B
,,,D,
B,C,52.60%,A,B
C,A,58.10%,C,A
A,A,70.00%,A,A
D,B,19.50%,F,A
C,D,40.50%,C,D
A,B,31.90%,C,A
,,55.70%,A,
B,A,61.50%,A,B
A,A,82.10%,A,D
B,A,70.60%,B,C
A,B,82.80%,A,A
C,C,41.00%,D,A
B,A,88.70%,B,B
,,,,
,,,,
,,,,
,,,,
C,C,43.40%,B,A
C,D,32.30%,C,B
C,C,41.90%,A,B
C,B,49.20%,C,A
A,A,41.00%,C,A
B,D,41.40%,C,B
B,A,47.80%,C,B
D,F,37.00%,C,B
B,D,34.60%,F,B
B,C,39.10%,C,C
C,C,14.60%,C,F
,,,,
B,A,66.30%,A,B
B,D,63.40%,C,F
B,D,34.00%,C,A
,,,,
,,,,
,,,,
A,B,50.00%,B,C
A,A,90.60%,A,B
A,A,42.70%,B,A
F,D,34.40%,C,D
,,,,
B,F,42.90%,C,B
D,C,45.70%,C,B
C,C,52.40%,A,C
B,D,64.40%,B,F
A,D,30.40%,C,A
C,B,28.60%,F,D
C,F,40.30%,B,F
C,C,40.20%,D,A
,,,,
,,,,
B,C,73.60%,A,B
,,,,
B,B,50.00%,A,B
D,B,39.30%,D,B
B,C,50.90%,B,C
A,B,65.30%,C,C
C,C,30.30%,C,C
B,C,96.80%,A,A
,,,,
,,,,
F,C,32.70%,D,B
C,B,67.30%,A,D
B,F,73.00%,A,F
,,,,
B,F,41.90%,D,F
B,B,39.40%,C,B
B,D,45.70%,A,C
D,C,21.40%,D,B
C,B,29.40%,D,C
,,,,
A,C,63.90%,B,B
A,B,46.60%,B,C
B,C,72.00%,A,C
,,,,
C,C,57.10%,B,F
,,,,
B,A,61.20%,A,A
A,C,49.10%,C,B
,,,,
A,B,54.90%,D,B
D,C,33.30%,C,C
A,A,82.80%,A,C
,,,,
B,D,57.30%,A,C
D,B,37.60%,D,C
D,C,37.30%,C,C
C,A,57.40%,D,A
,,,,
,,,,
A,B,55.70%,A,A
A,B,29.50%,D,C
B,A,31.10%,F,A
D,C,28.10%,F,B
C,C,61.60%,A,B
B,C,46.50%,C,B
B,C,56.50%,B,A
A,A,53.20%,C,B
,,,,
D,C,59.30%,C,C
C,B,37.30%,C,D
C,B,54.40%,A,C
C,C,39.80%,B,C
D,D,43.20%,B,F
C,B,47.00%,F,B
,,,,
A,B,83.20%,A,B
,,,,
A,B,82.00%,A,D
A,B,59.60%,B,C
B,A,27.80%,C,A
A,A,84.20%,A,B
