college_ready_10_11,student_progress_11_12,graduation_2011_12
,B,76.40%
,,
,B,65.10%
,C,83.30%
,,
,A,95.40%
,C,78.40%
,B,93.30%
,F,73.80%
,C,78.60%
,,
,,
,A,58.00%
,C,78.50%
,B,94.30%
,D,58.60%
,F,52.60%
,,
,,
,C,68.70%
,,
,A,92.50%
,B,63.90%
,B,62.50%
,A,89.00%
,B,82.20%
,C,81.90%
,A,72.90%
,B,93.10%
,D,71.40%
,C,65.20%
,C,50.70%
,B,48.20%
,D,65.20%
,C,75.00%
,B,57.80%
,B,68.30%
,C,68.40%
,A,91.30%
,B,90.90%
,C,60.30%
,F,61.70%
,A,87.30%
,A,63.10%
,,
,C,82.10%
,B,79.40%
,A,83.10%
,F,62.40%
,,
,A,56.00%
,,
,B,72.70%
,B,74.70%
,A,92.20%
,,
,A,97.80%
,D,67.60%
,B,94.50%
,,
,C,74.20%
,A,71.40%
,A,98.00%
,,
,F,59.50%
,B,52.90%
,,
,B,66.30%
,A,100.00%
,A,54.10%
,B,77.40%
,C,74.40%
,,
,,
,B,86.90%
,F,36.50%
,,
,C,59.20%
,,
,C,57.30%
,A,81.90%
,D,72.30%
,B,72.30%
,B,70.00%
,F,50.20%
,C,77.80%
,C,67.40%
,A,88.90%
,B,94.90%
,C,72.60%
,A,85.40%
,A,76.50%
,C,57.80%
,B,69.90%
,B,75.60%
,B,75.00%
,B,73.50%
,A,95.60%
,A,88.90%
,A,100.00%
,B,73.10%
,A,97.80%
,,
,,
,,
,,
,B,65.20%
,C,49.20%
,C,69.90%
,B,63.60%
,B,47.30%
,C,68.50%
,A,79.30%
,F,52.20%
,D,66.40%
,D,44.60%
,B,56.10%
,,
,A,88.10%
,D,74.70%
,B,71.10%
,,
,,
,,
,C,81.80%
,A,100.00%
,B,78.40%
,C,54.30%
,,
,B,58.50%
,C,66.70%
,A,67.70%
,B,78.30%
,C,54.80%
,C,62.70%
,F,49.90%
,C,65.00%
,,
,,
,B,81.20%
,,
,A,74.30%
,C,64.60%
,B,82.20%
,C,89.50%
,C,42.50%
,C,96.60%
,,
,,
,F,47.30%
,B,74.40%
,F,81.60%
,,
,D,42.70%
,B,65.60%
,C,69.90%
,F,41.60%
,A,56.90%
,,
,B,70.50%
,B,66.00%
,B,88.20%
,,
,F,75.00%
,,
,B,89.50%
,B,72.10%
,,
,C,72.90%
,D,56.80%
,A,97.50%
,,
,D,53.30%
,B,61.10%
,C,64.20%
,A,86.40%
,,
,,
,B,72.70%
,B,63.50%
,A,82.10%
,C,50.00%
,C,73.80%
,D,61.00%
,C,92.50%
,A,74.70%
,,
,C,83.90%
,C,64.80%
,B,86.00%
,C,68.50%
,F,50.90%
,B,82.10%
,,
,C,91.30%
,,
,B,83.90%
,B,77.30%
,B,61.30%
,A,100.00%
