graduation_2010_11,quality_review_score,progress_rpt_11_12
68.50%,Proficient,A
,,
62.10%,Proficient,A
,Proficient,B
,Proficient,
87.50%,Proficient,A
64.10%,Proficient,C
93.10%,Proficient,B
74.20%,Proficient,C
90.80%,Proficient,B
,Well Developed,
,,
,Well Developed,A
80.00%,Developing,B
95.80%,Well Developed,A
53.10%,Proficient,C
45.70%,Underdeveloped,F
,Proficient,
,Developing,
75.90%,Proficient,B
,Proficient,
97.40%,Well Developed,A
69.80%,Developing,A
69.20%,Proficient,A
91.20%,Well Developed,A
78.80%,Well Developed,B
83.30%,Well Developed,B
,Well Developed,A
96.40%,Proficient,A
76.50%,Well Developed,B
73.30%,Well Developed,B
56.30%,Developing,C
59.30%,Proficient,B
72.80%,Proficient,C
75.00%,Proficient,B
69.20%,Well Developed,B
76.20%,Well Developed,A
71.80%,Developing,C
80.00%,Well Developed,A
92.00%,Well Developed,B
73.10%,Proficient,B
65.80%,Developing,D
77.60%,Well Developed,A
59.00%,Well Developed,A
,Proficient,
83.20%,Well Developed,B
74.50%,Well Developed,A
84.30%,Well Developed,A
64.40%,Proficient,C
,Well Developed,
47.30%,Proficient,A
,Well Developed,
59.70%,Proficient,B
93.90%,Well Developed,B
81.10%,Outstanding (only an option in 2007-8),A
,Proficient,
100.00%,Well Developed,A
86.40%,Developing,C
,Well Developed,A
,,
77.80%,Proficient,C
66.30%,Proficient,A
97.80%,Well Developed,A
91.70%,Proficient,
56.40%,Proficient,C
70.20%,Proficient,B
,Proficient,
59.30%,Proficient,B
98.00%,Proficient,A
62.20%,Well Developed,A
67.50%,Well Developed,B
60.80%,Proficient,B
,,
,,
91.50%,Well Developed,A
86.50%,Developing,F
,,
79.10%,Proficient,C
,,
60.90%,Developing,C
76.20%,Proficient,A
,Developing,B
69.40%,Proficient,B
65.50%,Proficient,A
50.60%,Developing,D
83.10%,Proficient,B
71.90%,Proficient,B
91.20%,Well Developed,A
,Well Developed,B
71.60%,Proficient,B
80.60%,Proficient,A
77.50%,Proficient,A
50.00%,Developing,B
57.50%,Developing,B
85.50%,Developing,A
,Developing,A
70.90%,Proficient,A
95.20%,Well Developed,A
89.90%,Proficient,A
98.40%,Proficient,A
59.00%,Proficient,B
98.60%,Well Developed,A
,Well Developed,
,Proficient,
,Developing,
,Well Developed,
55.30%,Proficient,A
55.60%,Developing,C
67.10%,Proficient,B
58.50%,Proficient,A
59.00%,Proficient,B
65.50%,Developing,B
72.20%,Proficient,A
59.00%,Developing,D
63.00%,Proficient,C
57.50%,Developing,D
53.70%,Underdeveloped,B
,,
84.70%,Well Developed,A
82.60%,Well Developed,D
64.00%,Well Developed,A
,Proficient,
,,
,,
74.10%,Proficient,B
100.00%,Well Developed,A
79.30%,Proficient,A
48.90%,Proficient,B
,Proficient,
67.60%,Well Developed,B
58.60%,Proficient,C
68.30%,Proficient,A
67.80%,Proficient,A
69.60%,Proficient,B
62.30%,Developing,C
57.10%,Underdeveloped,F
65.70%,Well Developed,B
,,
,Proficient,
82.90%,Well Developed,B
,,
54.50%,Well Developed,A
58.30%,Proficient,B
79.10%,Proficient,B
78.90%,Developing,B
50.80%,Underdeveloped,C
97.60%,Well Developed,B
,Developing,
,,
51.40%,Developing,D
70.70%,Developing,B
91.70%,Proficient,C
,,
61.30%,Developing,C
71.70%,Well Developed,B
69.00%,Proficient,B
51.40%,Developing,D
63.50%,Proficient,A
,,
80.30%,Proficient,B
72.60%,Proficient,B
82.40%,Proficient,B
,Well Developed,
70.00%,Developing,C
,,
80.60%,Proficient,B
74.50%,Well Developed,B
,Developing,
86.60%,Proficient,B
61.50%,Proficient,C
95.30%,Proficient,A
,Developing,
57.30%,Proficient,C
51.40%,Proficient,B
60.70%,Well Developed,B
83.30%,Well Developed,A
,,
,,
71.60%,Well Developed,A
68.60%,Proficient,B
81.10%,Proficient,A
46.40%,Proficient,C
70.70%,Proficient,B
66.30%,Proficient,C
78.30%,Proficient,B
70.00%,Proficient,A
,,
77.10%,Well Developed,C
57.30%,Proficient,C
68.90%,,A
61.30%,Proficient,B
53.10%,Proficient,C
73.50%,Proficient,B
,,
92.50%,Proficient,B
,,
87.00%,Proficient,B
82.00%,Proficient,A
71.30%,Well Developed,B
97.30%,Well Developed,A
