school,principal,_2011_12_progress_report_grade,_2012_13_overall_percentile,_2012_2013_additional_credit,_2012_2013_performance_category_score,_2009_10_progress_report_grade
P.S. 163 Alfred E. Smith,Donny Lopez,B,54.75,1.9,18,C
P.S. 015 Roberto Clemente,Irene Sanchez,C,39.18,4.4,6.1,C
WEST PREP ACADEMY,Roberto Padilla,C,70.51,3.1,11.5,.
Quest to Learn,Elisa Aragon,B,43.54,5.9,13.2,.
P.S. 007 Samuel Stern,Sameer Talati,B,88.41,4.7,16.5,A
Manhattan Theatre Lab High School,Lisa Ostrom,,.,.,.,C
P.S. 290 Manhattan New School,Sharon Hill,A,89.34,3.5,18.8,A
MANHATTAN BUSINESS ACADEMY,Karen Polsonetti,,54.47,4.81,14.2,
Academy for Software Engineering,Seung Yu,,.,.,.,
School of the Future High School,Stacy Paige Goldstein,C,87.36,3.7,18.8,B
Richard R. Green High School of Teaching,Nigel Pugh,B,18.97,4.07,8.3,C
P.S. 130 Hernando De Soto,Lily Woo,A,95.74,3.3,20.4,A
MURRAY HILL ACADEMY,Anita Manninen Felix,,.,.,.,
"High School for Law, Advocacy and Community Justice",Doreen Conwell,A,62.33,5.04,14.8,A
Institute for Collaborative Education,Peter Karp,C,48.88,1.4,15.5,C
High School of Hospitality Management,Yves Mompoint Jr,A,70.46,6.34,12.8,A
P.S. 126 Jacob August Riis,Jacqueline Getz,A,97.56,6.2,21.2,A
Urban Academy Laboratory High School,Herb Mack,A,.,5.47,8.2,A
P.S. 059 Beekman Hill International,Adele Schroeter,B,84.1,2.7,16.3,B
P.S. 89,Veronica Najjar,B,53.28,4.2,14.6,B
School for Global Leaders,Carry Chan,B,87.64,4.1,17.7,B
Manhattan / Hunter Science High School,Susan Kreisman,A,74.25,1.96,11.7,B
P.S. 006 Lillie D. Blake,Lauren Fontana,B,94.75,4.5,21.2,B
P.S. 033 Chelsea Prep,Linore Lindy,A,85.41,2.2,18.5,A
Jacqueline Kennedy Onassis High School,Edward Demeo,B,21.41,3.44,9.1,B
High School for Environmental Studies,Shirley H. Matthews,B,57.99,3.29,14.5,B
INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,Gaylea Prichard-Silvers,,.,.,.,
P.S. 124 Yung Wing,Alice Hom,B,84.59,2.1,22.6,A
Institute for Collaborative Education,Peter Karp,A,87.26,5.48,15,B
New York City Lab Middle School for Collaborativ,Megan Adams,A,99.16,8,22.6,A
Tompkins Square Middle School,Sonhando Estwick,A,80.06,5.9,21.9,A
"Urban Assembly Academy of Government and Law, The",David Glasner,A,44.44,7.35,11.8,B
EMMA LAZARUS HIGH SCHOOL,Melody Kellogg,,.,.,.,
Earth School,Alison Gail Hazut,C,33.11,1.6,8,D
P.S. 116 Mary Lindley Murray,Jane Hsu,C,87.54,2.2,20.3,B
"Urban Assembly School of Business for Young Women, the",Patricia Minaya,B,26.02,3.68,12.4,B
P.S. 198 Isador E. Ida Straus,Nancy Emerick,D,1.48,2.2,3.7,B
Chelsea Career and Technical Education High School,Brian Rosenbloom,B,61.79,4.81,10.2,C
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Kim Bruno,A,88.89,0.27,17.9,A
University Neighborhood Middle School,Laura Peynado,B,92.7,3.6,12.2,B
Henry Street School for International Studies,Christine Loughlin,C,7.05,3.43,7.9,D
Life Sciences Secondary School,Genevieve Stanislaus,B,22.47,3.8,7.6,C
P.S. 241 Family Academy,Diana Diaz,F,38.52,2.8,7.8,C
M.S. 131,Phyllis Tam,A,98.03,6,16.4,B
"New Explorations into Science, Technology and Math High School",Dr. Olga Livanis,A,86.99,0.02,16.5,B
Stuyvesant High School,Jie Zhang,A,91.6,0.01,18.4,A
Repertory Company High School for Theatre Arts,Manuel Urena,A,84.28,3.65,14.9,A
Food and Finance High School,Roger Turgeon,A,48.51,5.36,15.5,A
INNOVATION DIPLOMA PLUS,Casey Jones,C,.,10.42,11.5,
Lower Manhattan Community Middle School,Kelly Mcguire,B,93.26,6.6,18.9,C
