principal,school_level,_2012_2013_environment_category_score,_2012_2013_overall_score,progress_report_type,_2010_11_progress_report_grade
Keith Ryan,Middle,6.3,44.1,EMS,B
Peter Mcfarlane,K-8,10.1,53.8,EMS,B
Michael Lerner,High School,10.7,71.1,HS,B
Robert O'brien,Elementary,4.9,51.2,EMS,C
Mara Ratesic Koetke,Elementary,10.3,90.8,EMS,A
Philip Martin Jr,High School,.,.,HS,
Katy Rosen,Elementary,8,77.2,EMS,A
Jennifer Rehn,Middle,9.4,78.3,EMS,A
Erin Carstensen,High School,12.3,54.8,HS,B
Denise Dicarlo,High School,7.9,54.8,HS,C
Mandana Beckman,K-8,6.9,57.9,EMS,D
Barbara Darrigo,K-8,6.7,62.7,EMS,C
George Morgan,Middle,8.4,66.1,EMS,B
Karla L. Chiluiza,High School,11.7,50.8,HS,
Diane Brady,Elementary,8.9,62,EMS,A
Christine Loughlin,Middle,8.1,61.5,EMS,C
Brooke Jackson,High School,11.5,79.7,HS,A
Bernardo Ascona,High School,.,.,HS,
Nancy Amling,High School,.,.,HS,
Robert Gentile,High School,10.7,66.4,HS,B
Alan Cheng,High School Transfer,12.4,48,HST,C
Nancy Harris,K-3,2.8,28.4,EC,
Anne Geiger,High School,7.4,52.5,HS,C
Robin Sundick,Elementary,6.8,52.9,EMS,F
Susan M. Green,Elementary,5.2,36.1,EMS,D
Maria Velez Clarke,Elementary,8,50.9,EMS,B
Samantha Kaplan,K-3,7.4,40.2,EC,
Monica Berry,Elementary,2.6,64.2,EMS,B
Jacqueline Flanagan,Elementary,8.7,65.9,EMS,B
Darryl Alhadeff,Elementary,3,61.9,EMS,B
John Wenk,High School,10.9,57.6,HS,A
David Getz,Middle,13.4,84.7,EMS,A
Milo Novelo,Elementary,4.9,36.8,EMS,C
Eric Strauss,High School,6.9,59,HS,B
Alicia Perez-Katz,High School,10,84.6,HS,A
Ivelisse Alvarez,Elementary,2.7,28.6,EMS,C
Melodee Khristan,High School Transfer,7.2,85.7,HST,A
Tara Napoleoni,Elementary,4.8,65.2,EMS,B
Darlene Cameron,Elementary,4.2,41.5,EMS,B
Ingrid Roberts Haynes,High School Transfer,7.4,45.5,HST,
Dimitri Saliani,High School,12,84.1,HS,A
Roger Bradley,YABC,8.9,50.1,YABC,B
Jean Mctavish,High School Transfer,9.5,50.2,HST,C
Ron Smolkin,High School Transfer,14.7,48.7,HST,C
Santiago Mayol,High School,6.2,41.8,HS,
Jeanne Rotunda,Middle,13.1,75.8,EMS,B
Christine Olson,High School Transfer,9,65,HST,C
Esteban Barrientos,K-8,9.3,63.1,EMS,D
Darlene Miller,High School,6.1,79.7,HS,A
Jennifer Bonnet,Elementary,6.4,62.4,EMS,C
