dbn,_2012_2013_progress_category_score,_2012_2013_college_and_career_readiness_grade,_2012_2013_college_and_career_readiness_score
03M054,23.5,.,.
01M650,34,B,6.3
02M534,.,.,.
03M245,22.7,.,.
03M299,32.9,C,4.6
03M243,23.9,.,.
01M448,32.6,A,8
03M334,48.9,.,.
01M137,25.7,.,.
03M859,44,.,.
02M429,.,.,.
01M539,47.2,.,.
02M570,52.4,C,3.5
02M418,47.2,A,8.4
03M191,20,.,.
03M333,34.4,.,.
02M543,25.1,C,5
03M415,19,.,.
02M625,.,.,.
02M300,27.5,B,5.3
03M307,26,C,4.1
03M402,18.2,F,2
01M188,32.9,.,.
02M003,37.6,.,.
02M051,38.3,.,.
03M479,39.4,A,7.9
03M166,35.3,.,.
02M419,30.3,B,6.3
03M415,9.1,C,5
02M413,34.6,B,6.3
03M076,31.3,.,.
02M393,25.5,A,9
03M258,31.8,.,.
02M347,.,.,.
02M460,.,.,.
02M655,32,C,4
02M002,51.7,.,.
02M040,40.3,.,.
03M165,35.3,.,.
02M104,51.5,.,.
03M185,19.1,.,.
02M425,27.3,B,6.8
01M450,31.6,B,6.5
02M260,56.5,.,.
02M042,53.7,.,.
02M440,.,.,.
02M520,9.6,C,4.6
03M242,35.9,.,.
02M041,28.9,.,.
02M212,29.4,.,.
