cross_street_1,cross_street_2,name
85 Rd,--,Woodhaven Blvd Congested Corridors
B 38th St,B 32nd St,Edgemere Ave
W 31 St,W 33 St,33rd Street Plaza
91 Av,--,Woodhaven Blvd Congested Corridors
Queens Blvd south service road,--,Woodhaven Blvd Congested Corridors
Junius St,Pacific St,East New York Ave and Junius St
Sagamore St,Birchall Ave,White Plans Rd Congested Corridors
Ocean Av,Empire Blvd,Flatbush Avenue Congested Corridors
Olinville Avenue,--,Gun Hill Rd Congested Corridors
Sagamore St,--,White Plans Rd Congested Corridors
Jamaica Ave,Fulton St,East New York Bus Depot
89 Av,--,Woodhaven Blvd Congested Corridors
86 Rd,--,Woodhaven Blvd Congested Corridors
Gatling Pl,Dahlgren Pl,92nd St and Dahlgren Pl
Walton Ave,--,Mt. Eden Ave and Walton Av
