area_sf,cross_street_1,area_acres,boro
901,Wetherole St,0.021,Q
200,Unionport Rd,0.005,BX
1000,East New York Ave,0.023,BK
600,Washington Av,0.014,Bk
1050,Maple Parkway,0.0214,SI
3660,Sagamore St,0.084,BX
400,West 19th St,0.009,BK
429,W 181 St,0.01,M
459,Queens Blvd south service road,0.011,Q
2270,Beverley Rd,0.052,BK
45,85 Rd,0.001,Q
0,Broadway,0.0,M
150,Alabama Ave,0.003,BK
1950,Atlantic Ave,0.045,BK
2430,42nd St,0.05578,M
