area_sf,project_type,on_street,cb
21315,Street closed to traffic; park expanded,Unionport Rd,11.0
850,Curb extension,Alabama Ave,5.0
360,Planted median/ pedestrian refuge,Boston Rd,11.0
214,Removed superfluous island and widened the median refuge island,Boerum Pl,
297,Service road median extension w/truffle paint,Woodhaven Blvd SB service road,9.0
320,Planted median/ pedestrian refuge,Church Ave,14.0
10168,Pedestrian Plaza w/ plantings,9 Av/Dyer Av,4.0
0,"Installed flush median, one-way conversion",Murdock Av,12.0
270,Concrete median/ pedestrian refuge,Coney Island Ave,14.0
2448,2 curb extensions w/ truffle paint,Woodhaven Blvd,6.0
0,Concrete curb extension NE corner,Broadway,12.0
0,"One-way conversion, closed existing slip ramp",142nd St,12.0
4670,"One-way conversion, roadway restriping, signal bagged",Hylan Boulevard,2.0
320,Curb extension w/ truffle paint,Woodhaven Blvd,6.0
700,2 painted curb extensions,9 Av,4.0
